name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-181a-5p	8858.87498101491	8464.121649223332	3435.4320804092285	11458.050094613292	30418.099287611785	21171.399301147256	6125.703976890449	6789.790484018735	17636.10139502835	10923.59698443559	8352.026402348512	7847.462776032311	11138.3035304906	6926.004364389932	10095.761893322413	7640.79090026686	5989.770482338897	17819.063891301346	7849.138413676037	18570.592128432785	6598.133637464031	13268.073180840354	11714.969476083303	9415.165309706155	3242.693373307329	1564.650061257526	15717.163650882956	23156.65514087133	1801.022258915568	11782.044196682446	11943.163689276134	17691.848491895482	2955.9331238828236	2784.8663495770243	11670.676864742105	28182.520291778746	3547.8779802336703	8763.611717519658	4624.248277902461	17770.893052457213	9874.350349128408	14869.261595841765	12775.28400753216	14025.959533258474	8436.904822308326	3892.384021890237	9112.266464824443	6241.2363231436775	514933.9422601966
hsa-miR-25-3p	7128.38038947116	11377.8552184013	8391.015129097033	8079.2603809405055	7371.183777013714	6475.141239018276	5584.702467697392	5396.2994357538555	7065.652171374182	6827.962636268086	9068.440574457349	9880.177867667597	8135.42411737735	9917.591412054395	6451.164703626179	6899.96404015606	7266.205005307202	9477.168703536567	7274.5547765353285	10021.272443190801	13275.926721081192	9362.72671653279	6831.712945476003	8495.485915047078	4966.661472912782	2830.2562428826736	4643.589590684819	6159.01305571278	6740.249502792007	8403.617111597023	9439.229272331777	7018.481802293383	5257.740914590331	7120.211126658282	9029.198577338462	11137.572974052364	12239.490749787903	7949.067285496295	12436.96620015221	8800.087345780108	7923.254615135794	7703.164589249579	6882.725799651419	7457.52871965584	8715.350526014872	8431.113491410324	7685.308119599789	6088.241649566488	381113.3895224287
hsa-miR-10b-5p	7026.013887351228	7233.186077217665	2711.151192824694	3398.375008119737	14020.406372404332	28512.590680884226	4951.32839162157	6177.596260049832	7703.3126813858025	11719.930634301723	7279.246825861631	11561.194510649837	456.9646950939936	401.190474242177	2962.293334905673	8426.229596844187	3783.0722831790285	7621.706051197052	5009.338955456363	8686.15677496241	9497.93176877	10128.87564388482	8010.479189145658	5925.099914589662	2946.828496873897	2984.4251168430587	5772.725976359436	28148.11138800441	3234.0496070594745	7094.056114888947	3877.4403836376805	12783.706094032072	1227.995183520414	7913.843537924729	5397.759958380647	8051.225729153207	1685.8906895141765	6381.871572475733	830.2753358488366	713.916082154133	18464.543664196648	9025.286105395617	7185.021202719297	20711.63037705789	6760.352301879694	2213.646332034495	3093.6043313355913	8782.209716265857	358484.08650249924
hsa-miR-30e-5p	5811.2461842051825	10526.971851071023	4719.560015186585	11252.241292133273	3685.591888506857	12841.592607238745	3877.265708497588	3489.078968773814	10485.194247040894	8737.162737158449	9338.246940045896	5960.524142824231	9929.793672627235	6521.402445724438	8234.787251090445	6359.214507228469	5792.441823752808	6829.143227998873	4725.201301408282	10764.33600211089	10537.39039540229	14050.405573427539	3844.1747994885836	5400.168753254573	5338.641707992829	1865.334035293738	7958.402148859326	9497.38054170344	3565.3795769955686	7349.56067632618	7920.753358245688	10392.86716069746	2021.9203900128812	4087.3772254065916	10635.4454821492	6891.129174350722	8453.735597679148	5796.561033141872	5063.883218598816	13345.1689449573	11212.799736653511	7468.640354606311	5781.649828212129	9199.522936035766	7648.9034808188035	2312.5083233293703	7523.379368250383	4846.9343495123885	349891.01498602633
hsa-let-7f-5p	5793.387680302739	4106.054211296831	3754.1326547233666	11546.396093647738	9979.816996801033	11405.421697427442	3320.224722075032	6327.862115024017	7480.131502881735	9052.480852623616	5782.880463809113	7418.220766043394	28172.22191655203	7292.955648369747	5474.854779955668	8134.765598596214	4462.584481723481	6448.38510495919	5225.9249193191	3737.3425692008605	12708.20744874109	6882.946180110126	6013.180706623089	3726.3867119948754	1100.645995526208	981.7605101349633	5020.702994350429	11405.44064036568	1163.3617539323654	7724.007016363505	2754.4290004625555	6555.537708007183	621.3327702984526	2964.9834393099413	7907.943860561827	3911.340686533619	2182.607942685546	2765.7833265964036	8584.038962766124	25216.880076538928	4776.812707382502	10633.040662203859	2598.9396838590674	5107.214845178396	3833.8879559239012	4355.041374731378	8362.368833575296	3663.9858424722674	318438.8544125619
hsa-miR-150-5p	17367.812299891568	4447.491486085415	1210.3257040663332	5134.284939267634	10554.194953451453	5126.924331036971	7431.095093984455	3953.5759848621065	1706.2674086574677	4193.880985095807	2801.1978297623127	1916.501691210801	1907.968821641449	1865.2763893493507	4994.026375021053	4985.710693592388	2172.4945650049463	9262.41279680307	8049.427860840364	1495.9401362265019	4221.950646115824	2833.2905721447037	13138.896292801544	10197.878050576875	520.8081481043694	574.5797394764709	2810.5254697388855	14038.847921198969	259.54741604334026	3514.58939055354	3003.575026330588	1666.2151503309653	573.5821962847753	946.9090572191938	3055.921003266519	41931.74209765896	1071.3968985714027	16660.719320673	1476.8548687081152	1268.1935380919986	4534.268762008611	7653.5673190833295	26105.510304669722	6332.954379014765	8373.17169457105	1025.2665142040312	6371.265608649435	2799.6447999949523	287538.48253193736
hsa-miR-21-5p	4338.893206703003	4049.8254537423627	2776.6931320230815	7939.225525644822	8073.201279586448	12536.335948827884	2158.1831242466606	2951.8036183675395	7189.447068922225	5925.879879017305	6874.997697897905	3600.576581572632	9806.95093993581	3433.203906666292	6012.446973679564	4344.922497073193	2378.4680981576644	2928.53264005964	2435.0150111946555	5088.595200997875	6718.594263354129	6335.234561566243	2341.853613481551	3385.079162849475	7370.115856530608	2112.9882902726545	8037.480586891646	8798.590079589685	1157.2666279879572	4977.132742228737	5768.118209169383	22194.225545595556	1275.458103473768	4630.9983963856685	7416.448648621609	5687.277553945003	2015.685295800381	2819.5768800808737	2825.757039962813	14603.090309205354	5288.646725942486	6539.7543376355425	3673.5898319838147	3831.0587771100963	3405.0815722158213	1912.8088733637173	5009.244208410368	7436.802947592226	262411.15682556375
hsa-miR-15a-5p	4750.028234239036	6244.1019081872455	5600.786441511192	6996.520019598352	3885.0286790104747	3855.0215876583807	2884.988478573535	5199.369825246376	4075.8886079497347	4426.457569242443	4228.5011289508675	5221.4476927562355	3889.812012838148	5126.7094592415715	5145.227828189614	3986.6759315086642	4308.906175297007	3818.77628867735	3322.386630127423	4350.983318959079	7476.330458469256	4494.266711401448	3747.250852004259	3601.1892840391206	7018.015162179442	4615.225652388552	3741.317576414402	6629.791274910338	5701.431937491187	5999.1509879776695	9414.955234628802	6664.860601323861	15089.756696442697	9161.174821211307	6345.450634545064	2340.749180693738	8362.226266631193	3176.417639700865	5258.005546776429	5226.921364894103	3527.288479848393	6412.218500065185	4703.3961587263075	4695.911577768501	4748.4274005422885	1737.240515715883	4943.480041195667	7578.756768437041	253728.82514418574
hsa-miR-10a-5p	3405.3552145440544	3376.4352729093234	1779.9770224937774	3903.6756048510165	4519.237672811979	12803.435524937388	2334.723244907995	2288.236452527121	4384.207975427881	4020.2523831061512	3148.3548257584966	4164.313515210703	3287.0059605685465	1136.103194165379	3528.569047544684	3832.562314624301	1978.9245475347825	4941.041462080919	2453.939998328293	5577.065449561631	4590.132720408944	4852.276539896188	3982.433959870635	3288.168794602997	2221.493902712035	1282.5538237980977	5527.7124552429	13820.895041940841	1076.8055835121058	3235.056186974874	2377.5071372413636	7339.138315036932	663.0426090453394	2134.2921411998086	3429.344645260046	29397.824580362492	766.9360933677709	3477.478152099744	745.3109655461718	5006.198836983185	7879.249233906317	3538.410960146468	3710.8262193815794	6815.199489059313	3663.4173084324498	477.06449706012825	3251.6037770966977	3894.266485176078	209308.05713925595
hsa-miR-126-5p	2857.360624391156	2814.1476973646327	2470.830749097274	7809.636160720844	1882.683302354152	15288.27097541065	1673.29331757265	2131.9770876679254	8785.934096735202	5371.768846741677	4083.008276517454	5052.224671085494	11101.256304447501	4654.892865316658	5708.000804461786	6395.715100701082	2526.55855812513	3828.7099319403533	2539.628134516706	2153.9575357984363	5778.224216083047	6692.060234068167	2611.245173401218	2493.1807404210563	1120.0598893551328	820.5939000515536	3637.608149486768	10771.566605058653	1127.261924111511	5292.708909019551	2002.945249907961	7807.236887845739	380.27866774747883	1396.5205520139189	5447.032870284683	2333.995043050286	2366.403047590346	2375.6272412388716	2906.469817470348	13752.308816432378	7428.3369509185695	3507.2355331848253	1859.8174135765469	5719.187875321704	2761.562612538472	445.38794139992893	3085.538914601713	3316.9876137404985	208367.23783088772
