name	SRX2464402	SRX2464388	SRX2464389	SRX2464386	SRX2464387	SRX2464384	SRX2464385	SRX2464382	SRX2464383	SRX2464380	SRX2464381	SRX2464368	SRX2464369	SRX2464401	SRX2464400	SRX2464403	SRX2464367	SRX2464405	SRX2464404	SRX2464407	SRX2464406	SRX2464399	SRX2464398	SRX2464395	SRX2464394	SRX2464397	SRX2464396	SRX2464391	SRX2464390	SRX2464393	SRX2464392	SRX2464373	SRX2464372	SRX2464371	SRX2464370	SRX2464377	SRX2464376	SRX2464375	SRX2464374	SRX2464379	SRX2464378
hsa-miR-377-5p	33.5831746865749	34.43687876653362	25.73613670858329	35.170773087564235	35.610731569816345	37.73302732768488	43.41055469578044	24.785473306285883	38.647070439222546	17.828994536081762	31.241518415898806	33.74409987322691	29.48622092957463	27.09581078694263	25.974560707647083	30.473452927462375	27.26412725626504	29.666810092605164	26.658867795909977	35.019819406414065	26.19132573658359	30.166570520391904	29.83067397892203	26.74859297051257	16.979416565337893	29.230159800674667	32.72237070094625	27.12135662518758	37.20246382784393	22.253385203501644	25.15239773293055	32.311374184591614	28.620533923336748	31.759540369186386	35.745728089584944	34.34671556229867	32.002013532094665	28.72478824239599	31.86743148502231	39.63659990786692	24.864735837046467
hsa-miR-30b-3p	1.905428351011342	1.3913890410720653	2.21863247487787	0.7993357519900962	0.5015595995748781	1.8406354793992625	1.2505098060512883	0.9625426526712965	2.256763237326864	0.4457248634020441	1.5186849229950807	0.5817948254004639	0.0	0.6690323651096945	0.7696166135599136	1.0630274277021758	3.170247355379656	0.43627661900889947	2.172204042629702	0.9056849846486396	1.3285455083774285	0.0	0.5473518161270097	1.0699437188205028	0.0	3.044808312570278	0.34811032660581115	0.9952791422087185	0.0	0.7417795067833881	1.5048443088078107	0.7260982962829576	1.455281385932377	0.2810578793733309	0.9469067043598661	0.6605137608134359	0.8649192846512073	0.0	2.8236964606981796	0.5872088875239544	1.1050993705353984
hsa-miR-1468-5p	0.952714175505671	0.0	1.331179484926722	0.3996678759950481	0.5015595995748781	0.0	0.5359327740219807	0.48127132633564823	0.0	1.5600370219071542	0.0	2.6180767143020875	3.347084537951715	0.6690323651096945	0.5772124601699352	0.0	3.6457844586866046	0.21813830950444973	0.3949461895690367	0.6037899897657597	0.0	0.9282021698582125	0.0	0.0	0.0	0.6089616625140556	1.0443309798174336	0.0	0.0	0.7417795067833881	0.0	0.0	0.0	0.983702577806658	0.7101800282698996	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-610	0.0	0.6956945205360326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3170247355379656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43245964232560363	0.0	0.0	0.0	0.0
hsa-miR-150-3p	0.4763570877528355	0.0	0.0	0.3996678759950481	0.0	0.0	0.5359327740219807	0.48127132633564823	0.0	0.6685872951030661	0.43390997799859454	0.0	0.0	0.0	0.0	0.0	0.0	0.21813830950444973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4835590135667762	0.0	0.0	2.4254689765539617	0.2810578793733309	0.0	0.0	0.0	0.4385463853800915	0.0	0.0	0.0
hsa-miR-342-3p	43.348494985508026	19.479446575008915	60.790529811653634	44.562968173447864	11.034311190647317	59.820653080476035	24.116974830989133	111.89558337303822	41.75011989054698	74.65891461984238	27.553283602910753	63.706533381350795	22.7920518536712	52.18452447855617	51.179504801734254	29.94193921361129	150.2697246449957	52.13505597156349	107.82030975234701	46.4918292119635	85.59628918260289	29.7024694354628	58.84032023365354	39.8019063401227	45.46101854590468	37.45114224461442	45.602452785361265	55.735631963688235	59.92492676461088	40.05609336630296	62.34354993632358	49.01163499909964	42.688253987349725	39.62916099163965	51.369688711522734	38.640055007586	48.2192501193048	48.8979219698802	87.13120507297239	36.99415991400913	52.76849494306528
hsa-miR-7-5p	246.99114999984522	235.492595201447	185.47767489978997	215.0213172853361	324.75984072473375	283.9180226973365	246.88636456612585	314.02954043401064	182.5157268188101	244.9258124394234	292.67228016005214	226.89998190618095	224.41404902076272	275.6413344251942	225.30526361966474	189.9275670827888	278.82325490564045	215.6297189451483	246.84136848064804	202.2696465715295	187.1351244657351	212.09419581260164	238.37171592331282	191.9479031563983	278.243342425537	244.80258833065045	225.57549164056587	232.39767970573587	197.5963198520813	260.3646068809692	214.7627806427148	222.18607866258498	198.40336228211402	201.3779705709916	196.7198678307622	209.38286217785912	234.39312614047725	203.70479600905247	167.40486159853486	239.2876216660116	249.19990805573252
hsa-miR-548a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4344648019793065	0.0	0.0	0.0	0.31702473553796556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4215868190599963	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7852-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3187699559954014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
