name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
hsa-miR-10a-5p	9756.09756097561	0.0	0.0	1118.5682326621923	6181.74325159695	8189.464364763169	2698.1450252951095	37135.278514588856	62937.06293706293	22012.578616352203	11363.636363636364	21978.021978021978	25641.02564102564	38834.95145631068	53475.93582887701	0.0	0.0	0.0	21156.558533145275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13175.230566534914	0.0	0.0	0.0	0.0	0.0	62937.06293706293	0.0	0.0	0.0	0.0	398591.36180791183
hsa-let-7f-5p	10975.609756097561	33783.78378378379	20895.5223880597	17897.091722595076	14011.951370286422	11509.517485613102	8937.60539629005	7957.559681697613	0.0	15723.270440251574	0.0	27472.527472527472	7692.307692307692	9708.73786407767	5347.593582887701	0.0	0.0	16722.408026755853	9167.842031029619	5194.805194805195	19073.56948228883	0.0	0.0	0.0	4750.593824228029	23632.680621201893	22397.891963109352	0.0	0.0	0.0	0.0	17699.11504424779	0.0	0.0	0.0	14925.373134328358	18709.073900841908	344186.43185931223
hsa-miR-182-5p	9349.59349593496	13513.513513513513	23880.597014925374	20693.51230425056	3090.871625798475	1660.0265604249666	843.1703204047217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26755.852842809363	7757.404795486601	0.0	35422.34332425069	0.0	0.0	0.0	0.0	43214.04456448346	27667.98418972332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	32740.879326473336	261515.16701280768
hsa-miR-143-3p	8943.08943089431	13513.513513513513	10447.76119402985	11744.96644295302	4739.336492890996	1217.352810978309	337.2681281618887	21220.159151193635	20979.020979020977	6289.30817610063	14204.545454545454	0.0	0.0	0.0	5347.593582887701	0.0	2739.7260273972606	20066.889632107024	5641.748942172073	0.0	24523.16076294278	0.0	0.0	19230.76923076923	0.0	18906.144496961515	15810.276679841896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8419.083255378859	234321.7143847409
hsa-miR-9-5p	7723.577235772357	20270.27027027027	19402.985074626868	26845.637583892614	3296.929734185041	221.33687472332886	843.1703204047216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23411.37123745819	3526.093088857546	0.0	16348.773841961853	0.0	0.0	0.0	16627.0783847981	22282.241728561785	13175.230566534912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	28063.610851262856	216963.6799276388
hsa-miR-27b-3p	8943.08943089431	13513.513513513513	7462.686567164179	16592.095451155852	5426.196854179546	4814.077025232404	674.5362563237774	13262.59946949602	10489.510489510489	6289.30817610063	0.0	0.0	20512.82051282051	0.0	0.0	0.0	0.0	6688.963210702341	6346.967559943582	0.0	13623.978201634878	0.0	0.0	0.0	11876.484560570072	18230.92505064146	22397.891963109352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15902.71281571562	203048.35710870853
hsa-let-7a-5p	7317.073170731707	13513.513513513513	7462.686567164179	6040.2684563758385	7418.091901916341	4515.272244355909	3204.0472175379427	7957.559681697613	13986.013986013984	25157.232704402515	8522.727272727272	0.0	15384.615384615383	9708.73786407767	13368.98395721925	0.0	0.0	16722.408026755853	1410.4372355430182	0.0	5449.591280653951	0.0	0.0	0.0	0.0	14179.608372721137	3952.5691699604745	0.0	0.0	0.0	0.0	0.0	0.0	1077.5862068965516	0.0	0.0	6548.175865294667	192897.20008017475
hsa-miR-126-5p	8536.585365853658	0.0	0.0	4474.272930648769	3709.0459509581706	14829.570606463036	3372.6812816188867	5305.039787798409	10489.510489510489	0.0	0.0	0.0	0.0	0.0	10695.187165775402	0.0	0.0	6688.963210702341	7052.186177715092	0.0	5449.591280653951	10582.010582010582	0.0	0.0	0.0	2700.8777852802164	9222.66139657444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	2806.361085126286	120839.9182310181
hsa-miR-16-5p	4065.040650406504	0.0	0.0	4474.272930648769	8448.382443849167	15382.912793271358	4047.217537942664	0.0	0.0	6289.30817610063	0.0	0.0	10256.410256410256	0.0	8021.390374331551	0.0	0.0	16722.408026755853	2820.8744710860365	0.0	8174.386920980927	0.0	0.0	0.0	0.0	2700.8777852802164	0.0	0.0	0.0	0.0	0.0	17699.11504424779	0.0	0.0	0.0	0.0	1870.9073900841906	110973.50480139592
hsa-miR-25-3p	1219.5121951219512	0.0	0.0	4474.272930648769	4945.3946012775605	6750.774679061531	3372.6812816188867	10610.079575596817	0.0	6289.30817610063	0.0	10989.010989010989	0.0	0.0	5347.593582887701	22388.059701492537	0.0	0.0	7052.186177715092	0.0	0.0	0.0	0.0	0.0	0.0	4051.3166779203243	3952.569169960474	0.0	0.0	0.0	0.0	0.0	0.0	2693.965517241379	1076.4262648008612	0.0	2806.361085126286	98019.5126055818
