name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-miR-26a-5p	31998.99295065458	16201.88531029065	15987.045168021563	5971.2809819439835	1291.8616023048662	108195.09369958218	108058.60805860806	4889.919941775837	6790.945406125166	8178.900507298893	75173.90031966142	5785.216805212312	3693.980438166485	71487.81671074664	124093.56955972573	11176.101942761647	6093.477969733494	13404.329680722025	5480.212271513302	12473.643324825214	11295.355494236275	10048.663338178601	11788.82121595512	74933.03923113282	57226.15127139232	15699.199861222543	11179.878851725047	3179.5136203488873	7454.28621457338	4103.356653181651	47509.106767225894	16548.463356973996	16423.540407918015	9403.913241316548	8574.928542262149	10655.383284946569	2270.312047145203	37571.31214343928	7893.01615966622	7233.528107999194	13446.88480502017	115920.84150472455	72913.05853827503	39459.36898485229	106666.66666666667	8515.81508515815	4198.365736827275	1368539.5537820382
hsa-miR-22-3p	26334.34038267875	21234.289080911232	30006.95561448507	15639.069238424718	16024.3702587688	17465.76759194142	16761.77186381268	64524.19941775837	37017.310252996	32922.66280153225	14452.298410697402	22298.3599191193	12638.524266431245	22879.857274761733	13066.413298448213	35826.19594735743	17912.146779161645	23046.401184186183	19354.167389268496	21240.705804017314	38244.320086649306	36276.30664222966	31080.511175841744	28422.876949740035	26183.663553420072	33783.637270420884	31353.7002897024	16756.896107244134	36546.01395802587	25975.52862225565	28628.597814375862	44541.156243283905	37186.634175651765	25936.599423631123	34066.3827801435	33078.01593674718	13573.567771229831	26568.867155664222	44042.09608618489	22274.83376989724	32848.8185951207	11633.683960301894	18877.727745064083	16695.95782073814	22262.44343891403	26048.375554601404	15610.030994646379	1239143.0506984843
hsa-let-7f-5p	22557.90533736153	13624.312647289866	39995.58546193768	28140.84640538363	5155.740830945018	25809.511989961255	27009.58923019175	14809.634279475982	18974.70039946738	21741.381095351488	55537.42139780589	43641.87822961132	17958.785400645866	23677.991830858075	29195.330356068807	14361.813244203051	12220.436587652337	23087.51875989392	24608.927890118277	34735.32349350794	21688.11408824819	22893.888643114453	16669.772429327553	26409.327241216324	17319.008799870433	17065.290456881412	26115.41693316779	32508.378448053623	18820.821972634265	19336.455764799917	22574.52157405982	18590.15688802923	19527.990119170812	19229.99140502553	27293.939217173196	18500.216196182595	6013.911699352719	22534.63732681337	19498.240807049227	30027.920900377074	31504.130114618685	33090.76965308023	23675.09525458954	24068.95974558541	23855.203619909502	20259.052526119936	27309.101155254997	1103224.9478474369
hsa-let-7a-5p	19981.117824773417	7479.870384917517	25241.661025580517	16878.346997772616	5487.060616015497	41347.37103379806	46540.58553475459	11692.594614264915	12942.743009320908	7790.661559167616	41844.55337445412	21596.270501011008	10193.295077016004	32418.347704971893	48812.54792944782	9165.44808857322	9511.852149457616	15119.960527127325	9612.916652214632	13436.910442792148	11243.778528509169	15344.75131138216	10282.362864232404	39590.357649283134	23508.610916158286	11598.759676475056	14522.30457629457	22492.910543954626	14109.362883658107	9903.930332076136	20971.21748499307	12201.80528691167	12144.07317154588	11579.200161787752	23966.050282914308	11710.11180431157	1897.1596947154862	20961.69519152404	11789.706386026091	15155.220056993177	13664.596273291929	57947.57857977686	27069.6224454451	23393.170976650767	40069.38159879336	12999.141262344352	15724.147647224567	912935.1226347052
hsa-miR-21-5p	16968.781470292044	14557.148468185389	39244.8811024649	13032.557698687266	2494.515370179473	4980.763661936871	6914.853853629364	26860.443959243086	15912.117177097203	16564.861786934467	51691.72932330827	37463.491350258366	12382.965871337965	9311.569821123961	7276.8179357632625	13108.418633799876	9039.775010044195	10382.187866203409	13683.18823488606	28565.08711574742	31900.353302215233	13161.221007394299	11484.783397573583	13203.088073105404	14846.407169464988	25478.673807923326	15801.948907031869	11944.65927644582	19836.405933411712	5900.8995979289	11800.31809553127	24768.96625832796	31712.120706345762	20046.513979473177	28116.432363063643	31626.41299647909	11544.778282291565	18418.907905460474	17560.793349316562	31482.97400765666	25933.277838253183	2947.643667914661	12209.90647731209	14687.421541551596	7239.8190045248875	22899.670817232003	6621.583544660468	833612.137019013
hsa-miR-423-5p	12865.055387714	8370.974076983503	25953.136547406863	11421.259655940476	13999.022017815136	4227.857526992926	4240.279750483832	24495.08733624454	13581.890812250333	19049.591054974637	5160.731169240466	20669.512469108064	13149.641056617802	11972.018341445093	3192.947040779502	20576.56152078546	12053.033346725593	8326.309080816596	16856.85546807256	18555.099323049606	25169.55927482786	18675.34601529419	16496.503565088613	15156.766976524343	16196.08054850726	15438.992128716092	15578.08796418225	19077.081722093324	20536.808664982367	13392.728009024906	10876.814940228824	17246.93745970342	23066.39516640518	17923.049699175892	25549.787085107626	13404.163320773367	7076.610955463239	11409.942950285249	18977.48855746178	17177.110618577473	17801.114170455272	919.9500802282046	8746.103221337029	8619.96819817558	4404.22322775264	20323.457850293402	12848.689771766694	680806.6251258791
hsa-miR-92b-3p	11706.948640483384	8984.681853888453	11799.185613470709	19193.403156248518	1954.312372796236	14379.679808050305	9812.309132037022	20810.589519650654	13981.358189081224	15322.497152914382	6894.106523794516	12469.108065603235	8820.636727613473	11106.068430909196	10962.686454950079	15719.657405473157	10981.65260479443	15192.944224008554	8914.016163157712	16490.95549883476	10366.970111148361	18596.34708967958	18242.26910289228	13077.044272884828	15926.145872698806	20296.203135503176	22899.65762444035	11085.33127094612	20928.700669551657	6946.367103724427	18393.10450977374	20846.76552761659	16022.966251627331	21588.55351635573	12774.893542553813	14670.455247390204	6666.0226065114475	15199.674001629992	11753.899803842201	13449.526496070925	15688.032272523531	12914.958103048672	11170.765500519572	15273.244622981003	9110.105580693817	11879.204236439102	7410.538179768949	638674.543790576
hsa-miR-9-5p	9617.321248741187	4958.758837391988	858.5836630004783	758.2579024690773	90.85983136415298	28155.37996938735	32177.950545297455	682.3144104803494	2663.115845539281	724.712703178383	15507.518796992485	1067.1759155246014	720.210022535604	22426.016056589306	34681.184590400604	1984.541466471694	1740.9937056381414	3268.8472687650333	797.7524192709236	554.8773721007658	670.5005544523815	758.3896859002717	1794.8038956071437	24168.89869229557	14144.57701236301	3968.1679207233783	1290.4924940742692	1718.6560109993984	1725.9924456562524	285.12750158059816	13262.531424760142	4137.115839243499	3605.1674066161486	1011.1734668082308	349.9970833576387	1883.9953054543212	1328.3740701381507	11287.693561532193	1136.4697823582528	423.13117066290545	512.2622782864826	34877.280561003194	21042.604780048496	11005.1050297096	31372.549019607835	1073.42206955775	1437.0245139475908	353707.87614788354
hsa-miR-30d-5p	10133.434038267875	7192.655145326002	12063.643872538365	4407.374058101512	2641.5430972960116	9109.336863442684	10069.107007882518	8574.417758369724	12117.177097203728	5383.580080753702	7565.226689478186	3987.8678948550887	4437.423042074205	8873.378300129893	8200.16465175027	8408.188844787968	4720.771394134191	6517.135749676199	4751.8296278311545	6702.91865497725	9748.046522423087	8128.9894457435375	8669.981659654182	8539.467464944068	9663.661393942666	8066.439707699981	6913.352646826443	3437.312021998797	8654.976611551643	4186.0023058137085	7362.37237699451	7602.621964324092	8779.250258704142	8367.46043783811	8049.93291722569	7474.210883933536	4371.558303545551	6723.716381418093	9138.462496497183	6085.029216199879	7619.901389511429	8348.4875497712	9179.078628333911	9707.925349401625	8386.123680241328	8444.2536138543	4367.427444350521	351873.2165416198
hsa-miR-101-3p	7628.398791540786	6186.174391201886	13291.744555058036	5497.36979290081	5121.190495070441	9233.442270301577	10469.877816816592	6368.267831149928	7190.412782956058	5797.701625427063	13948.606546305884	13929.454055268478	5227.330808726158	6745.019483872988	11102.715626127752	4595.7802381449765	5323.42306147047	7688.986657346683	4578.405188859215	3972.9219842414827	5957.139541480775	9005.877520065727	7659.79148890262	9201.197416102095	8529.935755547158	4943.946917622568	9691.86199631288	1976.4544126493083	5403.106786402181	5739.740575296388	8516.751321122569	7360.842467225446	4840.27105517909	4878.911977349714	7233.273056057867	7041.818518747298	4250.797024442083	7579.4621026894865	7752.903446772738	5581.301632077373	9092.655439585067	11065.549414631247	7620.367163145133	6611.431918989037	8024.132730015083	5939.602118219551	12735.981966751198	348132.32976616896
