name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
hsa-miR-221-3p	219.03896653433063	5629.34295012754	19664.410499192465	12945.416997313396	6094.251411209535	8847.954061088009	5447.5562877539805	17252.7315566941	6175.672856248696	19843.700376570934	24579.722688518414	8990.07890411902	8654.289819299029	161.38482210831728	4607.473023988586	4679.778774094316	562.4406596577908	15047.347256453497	585.1946787908282	5212.24435708291	175200.0309468457
hsa-miR-320a-3p	2904.565741618175	16761.928845775274	7955.382717745405	7308.601640918336	2221.2649296118407	8049.161072549933	8372.584398943542	8289.967456722188	8413.668743107508	9494.445056579261	12204.394944756574	8297.890604480861	8177.682678898105	1712.2286425314499	18173.11925215971	19366.461117941955	885.593303127759	8176.783166243537	1534.5505033453983	9551.443042873761	167851.7178599306
hsa-miR-423-3p	5548.157459147988	7718.356935526431	9850.69842561428	11721.62573021139	3482.8964764240686	6986.627336794971	13091.707852828116	4388.374002338763	14012.100980596704	4714.698365167945	5866.607104841609	5784.007503205211	5822.044993303898	5943.171492423685	7639.4875300972035	8312.334326013679	3929.9530792318665	9550.525359968868	9047.497225064748	14355.757763152083	157766.62994195352
hsa-miR-23a-3p	95.82954785876966	2143.988037646231	12821.935372514208	7997.667147897087	6373.809917353508	8701.607405774294	6545.853926414058	18735.070644808795	8887.961610682245	18172.57232732937	22518.906807846804	9925.398177547175	9690.59132020122	17.54182849003449	1917.3032906275082	981.7717707890172	300.713201380856	12866.454793098976	589.8820694183802	7277.264896859402	156562.12409453798
hsa-miR-122-5p	0.0	0.0	19750.711987276693	24829.57750518677	4.50991742115706	5964.101355512137	13750.686436024162	6241.733332249498	19486.751512622574	5720.3998608653565	4868.481208360526	5787.449340457937	6416.628840880359	0.0	0.0	0.0	2.8526153490674084	23187.18381112985	1.4582993063495184	18927.51446618667	154940.04048882908
hsa-miR-191-5p	306.15673731503034	2990.5884422552554	13426.04578910382	13193.99959844349	2978.57496080318	9873.014183588395	14783.086216364634	7304.2795646231325	13853.536407260588	8383.996491387263	7004.331028802563	9626.818795873238	9691.529149613802	449.0708093448829	3002.288873695788	2585.332329744412	518.2251217472459	14593.332468543262	1609.3374487928613	14554.529793718804	150728.07421102165
hsa-miR-30a-5p	2267.5511194633546	901.5744568563638	11958.920491671906	12582.103964892487	5817.849847260372	11057.72520279465	3690.280065897858	5202.412154135395	2428.541623200501	5494.495107602498	5147.67726332027	13088.446612801914	13757.957482565751	12751.15512940607	1575.458517879968	981.7717707890172	17650.795190300345	13036.710338565314	1648.0865446472915	3202.4382702416187	144241.95115429297
hsa-miR-151a-3p	4278.727084914936	2023.0451227020844	4080.8275079828877	2763.091220253745	6043.514840221518	15019.854996439532	4766.611751784733	10532.562106698222	7051.950761527227	9032.409297823753	9300.718580846453	14364.507774249896	14296.271565387342	18327.702406388034	1634.909782705627	1407.2062047975915	2094.295102106989	2999.740562978337	3958.240974377264	5941.075135827555	139917.26278001373
hsa-miR-181a-5p	450.5233288944755	3408.391239335034	4487.677380379973	4158.97813429197	9063.581041299345	15322.684871937174	2921.4717188358045	16189.024071607488	3071.145420404757	14316.122982925759	15956.054540949337	15739.521756713735	16355.74495541559	1648.9318780632418	3656.252786778039	2552.6066040514447	216.79876652912304	4540.147879102348	165.62113550683816	3180.3524890675385	137401.632982089
hsa-miR-7-5p	6016.104342198601	1121.4706658457208	4339.731972235579	4761.312898568736	5738.982666357912	6501.33929363348	5118.066996155959	3340.9240552338215	3755.4767369079896	3355.489012900199	3531.8300952407553	6496.467814519397	6765.501382360557	32164.696719327214	1902.4404744210935	1832.6406388061655	16834.234046629754	4442.858995978726	12689.912235381213	4925.129201819869	135634.61024452274
