name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-3620-3p	1.3290224275857212	2.939157215924881	3.126888028586826	2.545011572610232	0.9216544557691883	2.948908125179486	2.3648542549782072	1.6750494073454794	2.892571121558995	2.1897539013291243	3.211957247715401	2.9952811591797994	3.0440176365308496	2.086335096247854	1.205102312809763	0.0	0.8701872120768062	1.2542403177485253	3.9929165660118953	2.046184289178768	3.7122776902505197	0.9963031176516418	0.9435337166693086	2.137141561288767	2.5042460385957974	2.0828383254428475	2.1929847004229392	0.9749258812598772	1.254695698652206	3.1692862738499596	3.4098963791792913	1.822763583006375	1.1298745613262016	0.7677827604746204	3.1417831018624636	2.019106196202808	2.319610005074423
hsa-miR-5100	0.4430074758619071	1.5202537323749383	2.1752264546690965	4.647412436940423	4.45466320288441	16.48364028946482	5.108085190752928	4.231703765925421	2.6126448839887697	7.770094488587215	5.857098510539849	29.728165504859508	7.863712227704695	0.1738612580206545	2.410204625619526	3.1246972949495517	4.350936060384031	4.19274620504507	7.9858331320237905	2.046184289178768	4.009259905470561	2.7896487294245973	3.1934987333422753	1.3060309541209134	1.9676218874681266	1.2817466618109832	0.8771938801691757	4.874629406299386	3.1849967735017537	5.186104811754479	3.4098963791792913	4.101218061764344	1.4526958645622592	5.374479323322342	6.997607817784577	6.965916376899688	1.4359490507603572
hsa-miR-330-3p	0.719887148275599	2.2297054741499096	3.8066462956709186	1.3278321248401208	1.0752635317307195	1.209808461612097	2.270260084779079	2.7329753488268347	2.3327186464185443	3.955684466917128	6.61285315706112	4.567803767749194	1.1415066136990686	0.927260042776824	2.4855235201701364	3.1246972949495517	0.0	1.9709490707476827	0.0	7.639088012934067	5.791153196790811	5.778558082379523	2.9031806666747957	4.63047338279233	5.723990945361823	8.171134969045017	5.5555612410714454	12.186573515748465	6.27347849326103	0.0	0.667153639404644	5.012599853267532	7.586300626047354	2.687239661661171	3.2845914246743937	8.783111953482216	4.307847152281071
hsa-miR-522-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19303010748495478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6737-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07167087529991574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22238454646821465	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6790-3p	0.0	0.0	0.0	0.0	0.30721815192306273	0.0	0.18918834039825658	0.0	0.18661749171348355	0.0	0.0	0.37441014489747493	0.0	0.231815010694206	0.22595668365183058	0.0	0.0	0.07167087529991574	0.0	0.0	0.2969822152200416	0.0	0.0	0.0	0.0	0.3204366654527458	0.0	0.0	0.0	0.0	0.22238454646821465	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6813-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5762338679727199	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4482-3p	0.38763154137916866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9446933081515886	0.14976405795898998	2.283013227398137	0.4056762687148605	0.0	0.0	0.0	0.0	0.0	0.2728245718905024	0.0	0.0	0.0	2.2558716480270324	0.0	0.3204366654527458	0.0	0.0	0.0	0.0	0.29651272862428624	0.45569089575159377	0.0	1.9194569011865508	0.0	0.0	0.0
hsa-miR-544b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17632099024689257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4749203469530594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-627-5p	0.11075186896547677	0.3040507464749877	0.0	0.22130535414002014	0.0	0.22683908655226817	0.0	0.7052839609875703	1.3063224419943849	0.2119116678705604	1.1336319697819064	0.14976405795898998	0.0	0.115907505347103	0.1506377891012204	0.0	0.8701872120768062	0.17917718824978934	0.0	0.0	0.2969822152200416	0.3985212470606567	1.379010816670528	3.2057123419331512	0.0	0.3204366654527458	7.309949001409797	0.0	0.38606021496990955	0.8643508019590799	0.0	0.0	0.6456426064721152	0.3838913802373102	0.0	0.0	0.3313728578677747
hsa-miR-493-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17632099024689257	0.0	0.0	0.0	0.0	0.0	0.2897687633677575	0.22595668365183058	0.0	0.0	0.17917718824978934	0.0	0.0	0.44547332283006236	0.0	0.7983746833355688	0.9498406939061188	0.35774943408511395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-132-3p	0.9967668206892909	1.1148527370749548	6.525679364007289	1.5491374789801409	1.228872607692251	3.3269732694332665	3.6891726377660032	1.586888912222033	2.799262375702253	3.178675018058406	5.290282525648896	2.7706350722413142	2.7903495001532788	3.361317655065987	2.1089290474170856	0.0	2.6105616362304187	1.6484301318980619	0.0	4.9108422940290435	3.1183132598104364	2.9889093529549258	1.8870674333386173	6.055234423651507	5.187366794234152	4.8065499817911865	1.6081887803101553	2.9247776437796316	6.369993547003507	0.0	2.7427427397746476	2.278454478757969	5.003730200158893	3.6469681122544464	5.569524589665276	6.158273898418565	1.4359490507603572
hsa-miR-6895-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2209152385785165
hsa-miR-4750-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8701872120768062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-324-3p	10.742931289651246	28.37806967099885	89.86404290851705	55.658296566215064	37.48061453461366	29.489081251794865	56.37812543868046	14.987284170985868	60.18414107759844	49.23414416859354	76.89803528353931	28.23052492526961	18.010437682807527	56.38900135136561	29.374368874737975	14.061137827272983	20.88449308984335	30.352615689514312	9.982291415029739	57.56598466889601	39.64712573187555	35.866912235459104	44.128346133456894	72.90027325729463	67.97239247617165	63.927114757822785	28.508801105498208	66.78242286630159	55.11009568695459	42.06507236200855	66.78949212262047	85.21419750554804	52.1356404726233	58.15954410595249	78.25896090093772	44.016515077221214	32.916370548198955
