name	mean Cancer	noSamples_Cancer	stddev Cancer	mean Normal	noSamples_Normal	stddev Normal	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-5193	0.009010117172248963	142.0	0.10736793761168717	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988682	0.5542993355504223	1.0
hsa-miR-3155a	0.004211105941276719	142.0	0.050181118772992334	0.014870966482700422	50.0	0.10515361242715321	3.5313684077470295	1.8202273371848825	0.9435030104836941	0.34662186083996827	1.0
hsa-miR-5192	0.0	142.0	0.0	0.012835083931822597	50.0	0.09075774885290254	1.0128350839318225	0.018399284738492075	1.693449765668748	0.0920086754627516	1.0
hsa-miR-520a-3p	0.02231358774435151	142.0	0.1323232698275535	0.0	50.0	0.0	0.0	-Infinity	-1.1903618097353095	0.23538936646069852	1.0
hsa-miR-6803-3p	0.004521269180542571	142.0	0.05387714033256807	0.0	50.0	0.0	0.0	-Infinity	-0.592381697598868	0.5542993355504223	1.0
hsa-miR-3912-3p	0.2485495725845387	142.0	0.660165345176248	0.19331320189912432	50.0	0.46137057065860393	0.7777651753288494	-0.36259345577625846	-0.5461028992248816	0.5856358582249577	1.0
hsa-miR-92b-3p	1558.961847515383	142.0	484.71816768779917	1764.406823561948	50.0	333.6142198417147	1.1317831968588556	0.17859762356499004	2.772423458149853	0.006118077473201863	1.0
hsa-miR-202-5p	0.008443471690616114	142.0	0.07377609377199916	0.029855469427575963	50.0	0.14850108964589603	3.535923435469875	1.8220870359103922	1.3202568466649776	0.1883375464834427	1.0
hsa-miR-448	0.3931942862006417	142.0	0.594666745066464	0.6185041257204724	50.0	0.781003282532934	1.5730241954860407	0.6535408617512236	2.1148047185752556	0.03575025836144602	1.0
hsa-miR-27a-5p	2.823919328724706	142.0	4.800727983430031	2.230161730658299	50.0	2.445512521156831	0.7897398866792167	-0.34055053778848066	-0.836178694834002	0.40410474882719827	1.0
hsa-miR-6748-5p	0.015231969676571762	142.0	0.1473015364111057	0.0	50.0	0.0	0.0	-Infinity	-0.7299524892068542	0.46631823516806736	1.0
hsa-miR-1912-5p	1.5483570306607108	142.0	1.1231944849269706	1.4003499423651107	50.0	0.9638035895409992	0.90441023267583	-0.14495077976921522	-0.8300389877343787	0.40755843946808323	1.0
hsa-miR-653-5p	0.0036830367386303116	142.0	0.04388844797632162	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988687	0.5542993355504223	1.0
kshv-miR-K12-1-5p	0.00494376756081855	142.0	0.058911789590429815	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988677	0.5542993355504223	1.0
hsa-let-7b-3p	240.5007576059582	142.0	63.01143133452995	250.22192967508684	50.0	45.963409941155135	1.040420546554186	0.05716679547306481	1.0004657443379321	0.318357612027212	1.0
hsa-miR-6837-5p	0.0	142.0	0.0	0.021357185037583288	50.0	0.15101810367131047	1.0213571850375833	0.030487488121647588	1.693449765668744	0.0920086754627516	1.0
