name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-let-7d-5p	9172.463012843062	6811.978792914544	2795.552884101835	9887.975075864932	5466.1071092571765	2558.8784726752606	36692.95534765681
hsa-miR-122-5p	20204.372612015766	10507.024396854358	2163.5191554212233	654.7839689552367	1895.6550128228037	42.57509426170219	35467.93024033109
hsa-miR-185-5p	2913.896882711842	5552.0712509980585	2107.560132862708	990.2124927504873	12565.91703720101	10809.018150028778	34938.67594655288
hsa-miR-106b-3p	5279.475605850082	8022.810973965832	2744.197387044439	7120.373835422317	4408.673789925864	6239.468762165501	33815.00035437404
hsa-miR-27b-3p	4987.625767110171	2238.3831767382794	710.1696151052975	4466.339056679514	7142.065047810127	9835.63027445177	29380.21293789516
hsa-miR-744-5p	7501.930843819161	3843.113792780455	1163.2860847139661	6274.929899207387	7075.8118903374525	2294.1766939144313	28153.249204772852
hsa-miR-103a-3p	5200.272504445465	2670.124570833505	238.21636450402497	4580.347066171726	4262.954835102255	8561.644493764514	25513.55983482149
hsa-miR-24-3p	4218.459224541079	3303.6475767226807	1930.4484481639583	4129.451023444968	4379.800161565679	7170.2667604619655	25132.07319490033
hsa-miR-199b-3p	5670.460452308326	2129.9673958054354	450.3828391963264	11257.584276139536	1860.4283419652334	3190.663305481209	24559.486610896067
hsa-miR-222-3p	6369.388482915377	2752.262318427319	956.8165876877194	10095.2235687644	2432.4765506246517	1344.042506974111	23950.21001539358
hsa-miR-26b-5p	4464.127122455959	2527.139248918099	896.0794548286412	4126.716752596671	5319.290618852613	6141.279951024451	23474.633148676436
hsa-miR-1307-3p	5368.167820547612	3567.1620540189133	1801.0259797342885	5418.955325265904	4903.19799495446	1286.566129720813	22345.07530424199
hsa-miR-143-3p	1018.816053348081	674.3327700722177	1214.9723740229397	1042.754832565077	2140.4476602799805	15096.951028973506	21188.274719261804
