name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-219a-2-3p	0.0	9193.408499566349	3019.4376297414606	0.0	4064.4505733778487	23952.095808383234	0.0	5822.416302765648	626.0060812019317	46677.81489503646
hsa-miR-378c	4427.792915531336	2688.638334778838	1839.9698056237025	9941.646855413876	5370.881114820729	0.0	0.0	9461.426491994178	10325.746735825434	44056.102253988094
hsa-miR-30d-5p	6811.989100817439	346.9210754553339	6605.019815059445	432.24551545277717	5951.516911017564	0.0	20030.816640986133	0.0	1743.8740833482384	41922.38314213693
hsa-miR-423-3p	2043.5967302452318	3469.210754553339	2264.5782223060955	1728.9820618111087	13354.623312527217	0.0	15408.320493066258	0.0	1565.0152030048293	39834.32677751408
hsa-miR-125a-5p	1362.3978201634877	1734.6053772766695	11700.32081524816	0.0	5516.0400638699375	0.0	16949.15254237288	0.0	670.720801287784	37933.23742021892
hsa-miR-24-3p	0.0	5377.276669557676	6416.304963200604	0.0	3048.3379300333863	11976.047904191617	4622.496147919877	2911.208151382824	1140.2253621892328	35491.89712847521
hsa-miR-30c-5p	16348.773841961854	5377.276669557676	6793.734666918286	0.0	1016.1126433444622	0.0	3081.6640986132516	0.0	871.9370416741192	33489.49896206965
hsa-miR-3178	6130.790190735695	6071.118820468343	754.8594074353651	4106.332396801383	435.47684714762664	0.0	0.0	14556.040756914119	983.7238418887498	33038.342261391284
hsa-miR-129-5p	0.0	6418.039895923677	2264.5782223060955	0.0	0.0	20958.08383233533	0.0	2911.208151382824	89.42944017170453	32641.339542119633
hsa-miR-21-5p	1362.3978201634877	10928.013876843019	8492.168333647858	0.0	2612.86108288576	0.0	3081.6640986132516	4366.812227074236	1095.5106421033804	31939.428081330992
hsa-miR-124-3p	1362.3978201634877	3642.671292281006	1321.0039630118888	2593.473092716663	5080.56321672231	0.0	10785.824345146379	4366.812227074236	1430.8710427472724	30583.61699986324
hsa-let-7i-5p	4087.1934604904636	520.3816131830008	1887.148518588413	2809.5958504430514	3483.814777181013	0.0	16949.15254237288	0.0	648.3634412448579	30385.650203503683
hsa-miR-340-5p	2043.5967302452318	1561.1448395490027	0.0	0.0	580.6357961968355	5988.023952095808	3081.6640986132516	16011.64483260553	961.3664818458237	30228.076731151483
hsa-miR-218-5p	0.0	5550.737207285342	8303.453481789016	0.0	435.47684714762664	0.0	0.0	14556.040756914119	626.0060812019317	29471.71437433804
hsa-miR-342-3p	12942.779291553134	0.0	1132.2891111530478	0.0	290.31789809841774	14970.059880239522	0.0	0.0	89.42944017170453	29424.875621215826
hsa-miR-185-5p	14986.376021798365	0.0	2075.863370447254	3241.841365895829	1016.1126433444622	0.0	6163.328197226503	0.0	1922.7329636916475	29406.25456240406
hsa-miR-744-5p	0.0	5030.3555941023415	2264.5782223060955	2593.473092716663	0.0	0.0	13867.488443759632	4366.812227074236	0.0	28122.70757995897
hsa-miR-127-3p	1362.3978201634877	0.0	3963.011889035667	3674.086881348606	290.31789809841774	11976.047904191617	3081.6640986132516	2911.208151382824	760.1502414594885	28018.88488429336
hsa-miR-181b-5p	0.0	6938.421509106678	2830.7227778826195	0.0	2467.702133836551	0.0	13867.488443759632	0.0	827.2223215882669	26931.557186173744
hsa-miR-139-5p	3405.9945504087195	5030.3555941023415	754.8594074353651	0.0	9580.490637247785	0.0	6163.328197226503	0.0	1967.4476837774996	26902.476070198216
hsa-miR-92a-3p	7493.188010899183	520.3816131830008	2642.007926023778	4322.455154527772	5516.0400638699375	0.0	3081.6640986132516	0.0	2817.0273654086927	26392.764232525613
hsa-miR-30a-5p	12261.58038147139	3295.750216825672	1887.148518588413	0.0	3628.973726230222	0.0	0.0	2911.208151382824	871.9370416741192	24856.59803617264
hsa-miR-186-5p	19073.56948228883	0.0	4340.44159275335	0.0	1161.271592393671	0.0	0.0	0.0	178.85888034340906	24754.14154777926
hsa-miR-101-3p	7493.188010899183	3816.131830008673	5472.730703906397	2377.3503349902744	435.47684714762664	0.0	3081.6640986132516	0.0	1833.3035235199427	24509.84534908535
hsa-miR-1180-3p	2043.5967302452318	346.9210754553339	0.0	1945.1048195374972	0.0	0.0	20030.816640986133	0.0	44.714720085852264	24411.153986310048
hsa-miR-92b-3p	0.0	4856.895056374675	566.1445555765239	0.0	0.0	8982.035928143712	9244.992295839755	0.0	178.85888034340906	23828.926716278074
hsa-miR-27a-3p	2043.5967302452318	1040.7632263660016	4529.156444612191	3241.841365895829	4064.4505733778487	4491.017964071856	3081.6640986132516	0.0	648.3634412448579	23140.85384442707
hsa-miR-204-5p	0.0	346.9210754553339	754.8594074353651	0.0	290.31789809841774	0.0	3081.6640986132516	16011.64483260553	89.42944017170453	20574.836752379604
hsa-miR-99b-5p	0.0	693.8421509106678	6227.590111341763	0.0	1596.7484395412978	0.0	6163.328197226503	2911.208151382824	827.2223215882669	18419.93937199132
hsa-miR-369-3p	0.0	0.0	2264.5782223060955	0.0	0.0	0.0	15408.320493066258	0.0	0.0	17672.898715372354
hsa-miR-328-3p	0.0	0.0	754.8594074353651	648.3682731791657	1887.0663376397154	0.0	13867.488443759632	0.0	245.93096047218745	17403.713422486064
hsa-miR-10396b-5p	0.0	3353.5703960682276	0.0	0.0	0.0	13972.055888223555	0.0	0.0	59.619626781136354	17385.245911072918
hsa-miR-335-3p	0.0	0.0	0.0	648.3682731791657	0.0	0.0	0.0	16011.64483260553	0.0	16660.013105784696
hsa-miR-671-5p	1362.3978201634877	1561.1448395490027	943.5742592942065	864.4910309055543	0.0	5988.023952095808	0.0	4366.812227074236	871.9370416741192	15958.381170756413
hsa-miR-203a-3p	0.0	0.0	566.1445555765239	0.0	1887.0663376397154	0.0	0.0	13100.436681222707	156.50152030048292	15710.149094739429
hsa-miR-191-5p	2724.7956403269754	1214.2237640936687	1132.2891111530478	864.4910309055543	2903.1789809841775	5988.023952095808	0.0	0.0	849.579681631193	15676.582161190425
hsa-miR-370-3p	0.0	6764.960971379011	0.0	0.0	0.0	0.0	7704.160246533129	0.0	424.7898408155965	14893.911058727736
hsa-miR-197-3p	0.0	0.0	3019.4376297414606	0.0	580.6357961968355	0.0	10785.82434514638	0.0	201.2162403863352	14587.114011471012
hsa-miR-103a-3p	0.0	2659.72824515756	7171.164370635969	1873.0639002953676	1161.271592393671	0.0	0.0	0.0	1639.5397364812497	14504.767844963815
hsa-miR-126-5p	0.0	867.3026886383348	2642.007926023778	1945.1048195374972	0.0	8982.035928143712	0.0	0.0	44.714720085852264	14481.166082429176
hsa-miR-433-3p	0.0	346.9210754553339	0.0	0.0	0.0	5988.023952095808	7704.160246533129	0.0	0.0	14039.105274084272
hsa-miR-487b-3p	8855.585831062672	2254.9869904596703	1509.7188148707303	0.0	0.0	0.0	0.0	0.0	1207.2974423180112	13827.589078711084
hsa-miR-486-3p	0.0	1561.1448395490027	0.0	2377.3503349902744	435.47684714762664	0.0	9244.992295839755	0.0	134.1441602575568	13753.108477784213
