name	SRX732315	SRX732316	SRX732317
hsa-miR-4999-5p	0	6	3
hsa-miR-5001-3p	0	2	0
hsa-miR-106b-5p	1414	719	2220
hsa-miR-4772-3p	10	0	2
hsa-miR-27b-5p	30	12	4
hsa-miR-548e-3p	3	10	4
hsa-miR-548s	0	0	5
hsa-miR-3130-3p	18	28	12
hsa-miR-199b-5p	403	406	132
hsa-miR-21-3p	674	3017	851
hsa-miR-143-5p	26	40	11
hsa-miR-1246	15	4	31
hsa-miR-548l	2	4	0
hsa-miR-335-5p	312	641	233
hsa-miR-548k	11	7	2
hsa-miR-224-3p	0	5	4
hsa-miR-411-5p	17	11	9
hsa-miR-517a-3p	0	12	0
hsa-miR-500b-3p	0	2	2
hsa-miR-23a-3p	1887	2790	2046
hsa-miR-3677-3p	2	3	2
hsa-miR-498-5p	0	3	0
hsa-miR-1228-5p	13	45	13
hsa-miR-4755-5p	5	0	2
hsa-miR-3200-3p	29	6	25
hsa-miR-129-2-3p	0	3	0
hsa-miR-382-5p	42	59	20
hsa-miR-195-3p	2	8	0
hsa-miR-579-3p	2	0	0
hsa-miR-1304-5p	19	17	19
hsa-miR-766-5p	2	6	6
hsa-miR-4749-5p	2	0	0
hsa-miR-3934-5p	0	0	3
hsa-miR-30a-3p	227	103	57
hsa-miR-4446-3p	35	0	0
hsa-miR-5589-3p	28	0	2
hsa-miR-4638-3p	2	0	3
hsa-miR-452-5p	23	232	11
hsa-miR-548aw	2	3	0
hsa-miR-19a-5p	7	3	0
hsa-miR-6859-5p	0	2	0
hsa-miR-320a-3p	6857	10513	10453
hsa-miR-106b-3p	2563	2713	7267
hsa-miR-27b-3p	43426	22826	15521
hsa-miR-4685-3p	4	2	2
hsa-miR-199b-3p	1284	2123	1278
hsa-miR-330-5p	3	2	0
hsa-miR-143-3p	8825	9761	6564
hsa-miR-548ac	0	0	2
hsa-miR-522-5p	0	3	0
hsa-miR-335-3p	23	9	3
hsa-miR-4761-3p	3	0	0
hsa-miR-26a-5p	34218	5659	7217
hsa-miR-580-3p	0	0	2
hsa-miR-411-3p	15	8	4
hsa-miR-34b-3p	0	2	0
hsa-miR-3614-5p	7	4	2
hsa-miR-181b-5p	433	865	836
hsa-miR-493-5p	38	8	14
hsa-miR-132-5p	8	21	15
hsa-miR-498-3p	0	2	0
hsa-miR-324-5p	91	48	155
hsa-miR-1228-3p	0	0	2
hsa-miR-4755-3p	0	3	0
hsa-miR-329-3p	11	5	0
hsa-miR-877-5p	8	11	36
hsa-miR-382-3p	4	0	0
hsa-miR-3940-3p	0	0	9
hsa-miR-5590-3p	3	2	0
hsa-miR-574-3p	359	71	72
hsa-miR-1304-3p	28	30	13
hsa-miR-766-3p	8	3	2
hsa-let-7g-5p	11501	5221	8854
hsa-miR-33a-5p	28	7	15
hsa-miR-16-2-3p	1763	2496	4959
hsa-miR-126-5p	5452	4481	4589
hsa-miR-202-5p	2	25	7
hsa-miR-19a-3p	83	71	30
hsa-miR-3160-3p	0	3	0
hsa-miR-181a-2-3p	127	67	114
hsa-miR-3928-3p	0	5	0
hsa-miR-5100	38	0	30
hsa-miR-330-3p	55	14	22
hsa-miR-135a-2-3p	0	2	0
hsa-miR-592	6	4	0
hsa-miR-522-3p	0	4	0
hcmv-miR-US5-2-3p	0	2	0
hsa-miR-3614-3p	0	0	2
hsa-miR-2116-5p	0	2	0
hsa-miR-627-5p	8	4	0
hsa-miR-493-3p	20	10	2
hsa-miR-132-3p	21	95	33
hsa-miR-511-5p	4	22	5
hsa-miR-324-3p	105	64	101
hsa-miR-708-3p	0	3	0
hsa-let-7b-5p	36374	20201	49617
hsa-let-7f-2-3p	32	19	5
hsa-let-7g-3p	3	8	0
hsa-miR-126-3p	16777	9980	10595
hsa-miR-2355-5p	21	10	9
hsa-miR-323a-3p	37	49	27
hsa-miR-505-5p	60	19	32
hsa-miR-28-5p	503	118	138
hsa-miR-202-3p	2	2	0
hsa-miR-450a-5p	175	69	63
hsa-miR-942-5p	32	40	63
hsa-miR-200a-5p	5	18	5
hsa-miR-7977	309	82	97
hsa-miR-7976	16	19	62
hsa-miR-7975	12	2	4
hsa-miR-1-3p	202	356	139
hsa-miR-744-5p	1272	152	290
hsa-miR-365a-5p	0	0	2
hsa-miR-2116-3p	5	0	2
hsa-miR-6837-5p	2	0	2
hsa-miR-627-3p	2	0	0
hsa-miR-3691-5p	0	0	2
hsa-let-7b-3p	42	33	31
hsa-miR-598-3p	49	19	48
hsa-miR-424-5p	114	149	93
hsa-miR-206	62	252	56
hsa-miR-616-5p	2	5	2
hsa-miR-7113-5p	2	0	3
hsa-miR-2355-3p	12	21	8
hsa-miR-520g-3p	0	1	0
hsa-miR-505-3p	209	78	52
hsa-miR-28-3p	510	403	193
hsa-miR-942-3p	2	0	2
hsa-miR-200a-3p	233	598	929
hsa-miR-450a-1-3p	0	2	0
hsa-miR-151b	389	411	789
hsa-miR-3679-5p	0	2	0
hsa-miR-17-5p	845	652	832
hsa-miR-744-3p	10	2	0
hsa-miR-29a-3p	4550	7423	4637
hsa-miR-10396b-5p	3	0	0
hsa-miR-548ah-5p	13	0	0
hsa-miR-3912-3p	5	0	4
hsa-miR-365a-3p	14	3	0
kshv-miR-K12-2-5p	0	2	0
hsa-miR-30c-5p	2164	388	408
hsa-miR-30c-1-3p	20	2	0
hsa-miR-301a-5p	7	0	0
hcmv-miR-UL36-5p	0	5	0
hsa-miR-424-3p	47	173	126
hsa-miR-6826-5p	0	2	0
hsa-miR-616-3p	0	3	2
hsa-miR-543	35	10	6
hsa-miR-145-5p	2	17	12
hsa-miR-664a-5p	48	27	33
hsa-miR-190a-5p	2	0	5
hsa-miR-582-5p	34	8	2
hsa-miR-221-5p	62	32	9
hsa-miR-15b-5p	824	439	1201
hsa-miR-4326	0	5	5
hsa-miR-4686	3	0	0
hsa-miR-4681	2	0	0
hsa-miR-1255a	2	0	0
hsa-miR-17-3p	117	76	234
hsa-miR-139-5p	208	354	237
hsa-miR-151a-5p	6822	2238	3491
hsa-miR-192-5p	33420	8964	7039
hsa-miR-197-3p	118	45	49
hsa-miR-3942-5p	0	0	3
hsa-miR-215-5p	207	872	1427
hsa-miR-576-5p	3	2	18
hsa-miR-1306-5p	2	10	4
hsa-miR-516b-5p	0	10	0
hsa-miR-148b-5p	22	0	2
hsa-miR-3173-3p	0	0	3
hsa-miR-186-5p	513	737	639
hsa-miR-454-5p	4	6	8
hsa-miR-301a-3p	94	11	27
hsa-miR-4672	0	3	2
hsa-miR-548b-3p	0	2	3
hsa-miR-3689b-5p	1	1	0
hsa-miR-203a-3p	1195	319	411
hsa-miR-3680-3p	0	2	0
hsa-miR-4687-3p	0	3	0
hsa-miR-140-5p	45	34	34
hsa-miR-145-3p	50	115	99
hsa-miR-664a-3p	4	0	2
hsa-miR-524-5p	0	17	0
hsa-miR-885-5p	207	201	41
hsa-miR-582-3p	19	14	0
hsa-miR-221-3p	3496	7093	5880
hsa-miR-4659a-3p	5	0	6
hsa-miR-6815-5p	15	2	15
hsa-miR-15b-3p	107	118	361
hsa-miR-4306	12	3	38
hsa-miR-4676-5p	0	0	2
hsa-miR-134-5p	40	42	35
hsa-miR-320e	64	142	246
hsa-miR-181d-5p	41	24	18
hsa-miR-320d	204	474	674
hsa-miR-1225-5p	0	2	0
hsa-miR-320c	285	537	810
hsa-miR-139-3p	26	77	35
hsa-miR-320b	476	1193	1225
hsa-miR-151a-3p	1542	1865	1546
hsa-miR-192-3p	2	4	0
hsa-miR-4757-3p	2	2	0
hsa-miR-210-5p	2	0	0
hsa-miR-215-3p	0	0	4
hsa-miR-1306-3p	5	4	10
hsa-miR-6809-5p	2	0	0
hsa-let-7i-5p	25919	16566	30347
hsa-miR-6501-5p	2	0	0
hsa-miR-652-3p	812	531	1109
hsa-miR-148b-3p	2243	1453	1833
hsa-miR-1843	61	38	32
hsa-miR-5581-5p	2	0	0
hsa-miR-1277-3p	0	2	0
hsa-miR-204-5p	13	6	3
hsa-miR-454-3p	61	43	11
hsa-miR-130b-5p	63	58	39
hsa-miR-193a-5p	598	1747	422
hsa-miR-18b-5p	21	5	40
hsa-miR-92a-3p	89500	90392	133954
hsa-miR-140-3p	5869	3076	7464
hsa-miR-524-3p	0	7	0
hsa-miR-885-3p	81	97	30
hsa-miR-1185-1-3p	9	0	2
hsa-miR-548at-5p	0	2	2
hsa-miR-548ay-3p	0	0	3
hsa-miR-4676-3p	0	0	3
hsa-miR-519b-5p	0	3	0
hsa-miR-629-5p	215	294	570
hsa-miR-9985	56	38	53
hsa-miR-495-3p	8	5	6
hsa-miR-2117	6	0	0
hsa-miR-210-3p	221	222	599
hsa-miR-6786-3p	0	0	2
hsa-miR-1301-3p	121	111	114
hsa-miR-6804-5p	0	3	0
hsa-let-7d-5p	5035	1999	3197
hsa-let-7i-3p	45	63	75
hsa-miR-3605-5p	4	15	2
hsa-miR-2110	87	114	117
hsa-miR-489-3p	0	0	2
hsa-miR-128-3p	539	441	1076
hsa-miR-378a-5p	32	24	14
hsa-miR-4746-3p	0	2	0
hsa-miR-526b-5p	0	7	0
hsa-miR-5581-3p	0	3	0
hsa-miR-204-3p	3	5	9
hsa-miR-4637	0	3	0
hsa-miR-4636	0	3	0
hsa-miR-128-1-5p	4	7	3
hsa-miR-642a-5p	0	0	3
hsa-miR-1185-5p	2	0	0
hsa-miR-130b-3p	103	218	193
hsa-miR-362-5p	13	10	16
hsa-miR-1295b-3p	6	2	2
hsa-miR-29c-5p	2	7	2
hsa-miR-193a-3p	17	4	0
hsa-miR-92a-1-5p	15	24	7
hsa-miR-4787-3p	0	4	0
hsa-miR-3064-5p	0	0	3
hsa-miR-432-5p	58	32	15
hsa-miR-624-5p	11	29	40
hsa-miR-490-3p	0	0	4
hsa-miR-874-3p	20	13	19
hsa-miR-31-5p	17	9	53
hsa-miR-3689e	1	1	0
hsa-miR-99b-5p	1340	1993	1013
hsa-miR-3150a-5p	0	5	0
hsa-let-7d-3p	422	672	601
hsa-miR-3605-3p	10	26	21
hsa-miR-10399-5p	11	12	12
hsa-miR-502-5p	0	0	2
hsa-miR-520d-5p	0	2	0
hsa-miR-676-3p	0	13	0
hsa-miR-378a-3p	5310	2309	1373
hsa-miR-25-5p	16	14	26
hsa-miR-6775-3p	0	0	2
hsa-miR-1296-5p	23	30	18
hsa-miR-200c-3p	87	166	150
hsa-miR-589-5p	127	199	253
hsa-miR-196a-5p	8	17	6
hsa-miR-642a-3p	3	3	6
hsa-miR-362-3p	17	13	17
