name	SRX258935	SRX258931	SRX258933	SRX258932	SRX258926	SRX258927	SRX258937	SRX258936	SRX258930	SRX258934	SRX258939	SRX258938	SRX258928	SRX258929
hsa-miR-221-3p	1648.8082427845004	874.985177846714	1708.982123888009	1512.9326848156668	2587.8184771871965	2734.1354680416325	4174.082883109928	3303.534160735892	946.4005927149503	1600.4621592386163	1213.244175654432	1299.4511083260206	1977.5104822047376	1718.7843392395919
hsa-miR-6815-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4639239944041488	0.0	0.0
hsa-miR-605-3p	0.0	0.0	0.0	0.0	0.5831046591228474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-15b-3p	7.540281598099849	1.4344019308962523	3.179501625838156	12.04016461313059	33.528517899563724	37.477553534342874	20.673523713516154	14.529738411873174	3.4008234851153243	2.57901360834952	7.14023055804472	9.278479888082975	17.545297405006096	14.36128198377175
hsa-miR-4306	2.8276055992874434	0.0	0.6359003251676313	1.0320141096969078	1.3119854830264064	0.7396885565988724	3.1994739080441663	4.292877258053438	0.0	2.210583092871017	2.8263412625593682	3.2474679608290415	3.886616513767173	2.611142178867591
hsa-miR-3121-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4291596322252316	0.0	0.0	0.0	0.0	0.0
hsa-miR-134-5p	760.3117278084014	36.81631622633714	86.80039438538167	96.32131690504472	111.37298989246383	119.58298331681772	124.04114228109691	114.91702198481511	41.29571374782894	718.4395051830805	548.6077145431026	537.9198715116105	494.3776205511844	583.8078721584789
hsa-miR-320e	30.43603249233012	0.4183672298447403	12.241081259476902	11.997164025226553	7.361696321425947	4.746334904842765	9.536893379747035	8.503199184221232	0.18218697241689238	28.230988248540278	13.759819304565346	19.658779262875804	16.684689462671937	14.14368680219945
hsa-miR-181d-5p	1054.3827101342954	619.6616341471812	252.66439586660545	163.63157050416527	525.3772978696855	447.75813959451756	297.1408844855377	229.83404396963024	625.7515212612198	1116.2216517280374	933.1884659889001	879.6772140560001	963.2886490883515	1026.2514080221545
hsa-miR-495-5p	0.6283567998416542	0.0	0.0	0.6880094064646052	0.5831046591228474	0.7396885565988724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-320d	280.8754895292194	51.99706999498915	211.8108280713717	680.3602161705899	125.4237296606847	241.4683940296519	205.5761603237858	295.6188498636469	84.89912914627185	293.1566523041925	151.8432363514351	173.02708119866168	131.4284491720084	138.30505165865037
hsa-miR-320c	600.3425591820469	98.71075954451044	238.48684671215386	167.0478648307889	148.10650090056347	118.08012402722001	160.2256686220726	117.12321494930194	109.40125263665036	618.5913266263541	340.28582116249856	351.1506988501344	301.5586093679768	299.7715561443749
