name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
hsa-miR-3168	548.6985363928927	532.471052937304	449.3260109835247	1530.8419630796939	1543.5982617741313	212.06980126030052	205.348179246144	144.24602602198308	1428.5963170090072	801.6168782992078	254.82756667987994	322.9773543185799	70.20499859590002	149.54886093617588	8194.371807534726
hsa-let-7d-5p	443.89095078975595	406.6142586066685	574.1387918122816	562.8095452498874	453.0125333467559	302.9568589432865	912.6585744273068	980.8729769494851	618.4776738270701	614.0044174206697	353.9271759442777	683.2213264431498	842.4599831508003	398.796962496469	8147.842029407865
hsa-miR-185-5p	573.3591447701015	755.1407659838129	574.1387918122816	675.3714542998649	369.12132346772705	515.026660203587	501.9622159350187	605.833309292329	657.676963013293	614.0044174206697	481.34095928421766	509.3104433485298	631.8449873631002	481.8796630165667	7946.011099211099
hsa-miR-382-5p	425.39549450684945	367.8890911203191	680.229655516725	180.09905447996397	318.78659754030974	454.4352884149297	638.8610020991148	663.5317197011223	609.7667206745763	460.5033130655023	368.0842629820488	558.9992670898498	1439.2024712159507	564.9623635366644	7730.7463019439265
hsa-miR-1298-5p	443.89095078975595	609.9213879100027	549.1762356465302	742.9085997298514	1006.6945185483465	393.8439166262724	273.797572328192	750.0793353143121	357.1490792522518	503.14250871971547	594.5976555863865	509.3104433485298	210.61499578770008	648.0450640567622	7593.172263644609
hsa-miR-19b-3p	604.1849052416122	851.9536846996864	642.7858212680978	652.8590724898694	587.2384691532021	605.913717886573	45.63292872136534	375.03966765715603	470.3914702346731	426.39195654213177	693.6972648507842	372.66617805989983	596.7424880651503	515.1127432246058	7440.610368094808
hsa-miR-656-3p	573.3591447701015	551.8336366804787	461.8072890664004	405.22287257991894	587.2384691532021	696.8007755695588	228.1646436068267	346.19046245275945	601.0557675220823	571.3652217664566	594.5976555863865	621.1102967664998	579.1912384161752	564.9623635366644	7382.899837473512
hsa-miR-34c-5p	591.854601053008	445.3394260930179	580.3794308537194	540.297163439892	503.34725927417327	424.13960252060104	319.4305010495574	548.1348988835358	583.6338612170944	596.9487391589845	467.1838722464465	583.8436789605098	544.0887391182252	548.3458234326449	7276.967597301409
hsa-miR-105-5p	635.0106657131231	658.3278472679394	617.8232651023465	405.22287257991894	302.008355564504	333.2525448376151	479.14575157433603	750.0793353143121	635.8995801320581	494.61466958887286	453.02678520867545	434.7772077365498	561.6399887672002	382.18042239244943	7143.009291779901
hsa-miR-335-5p	505.5424717327776	367.8890911203191	655.2670993509736	517.7847816298964	536.9037432257848	515.026660203587	273.797572328192	375.03966765715603	418.1257513197094	767.5055217758372	509.6551333597599	596.2658848958398	579.1912384161752	498.49620312058624	7116.490820136594
hsa-miR-490-3p	437.72579869545376	648.6465553963521	517.973040439341	472.7600180099054	469.7907753225617	605.913717886573	365.0634297709227	288.49205204396617	540.0790954546246	596.9487391589845	778.6397870774109	521.7326492838598	298.37124403257513	398.796962496469	6940.933865069001
hsa-miR-1307-5p	493.21216754417327	309.801339890795	517.973040439341	427.7352543899144	402.6778074193386	666.5050896752302	342.24696541024	259.6428468395696	479.10242338716705	656.6436130748829	891.8964833795798	521.7326492838598	263.2687447346251	398.796962496469	6631.235387965186
hsa-miR-186-5p	406.90003822394294	377.57038299190646	480.5292061907139	427.7352543899144	604.016711129008	393.8439166262724	775.7597882632108	375.03966765715603	322.305266642276	443.44763480381704	552.1263944730732	422.3550018012198	561.6399887672002	481.8796630165667	6625.148914976279
hsa-miR-10a-5p	413.06519031824513	517.9491151299229	514.8527209186221	540.297163439892	419.45604939514436	484.73097430925833	456.3292872136534	403.88887286155267	557.5010017596126	430.65587610755307	537.9693074353021	360.2439721245699	351.02499297950015	531.7292833286253	6519.693807321453
hsa-miR-136-5p	450.05610288405813	425.9768423498432	661.5077383924114	540.297163439892	352.3430814919213	181.77411536597188	182.53171488546135	432.7380780659493	426.83670447220334	545.7817043739286	467.1838722464465	409.93279586588983	526.5374894692502	614.811983848723	6218.3093871519495
hsa-miR-4488	388.40458194103644	900.3601440576231	386.9196205691463	900.4952723998199	687.9079210080367	0.0	319.4305010495574	403.88887286155267	313.59431348978205	272.8908521869643	325.61300186873547	583.8436789605098	157.96124684077506	448.6465828085276	6089.956590042067
hsa-miR-502-3p	397.6523100824897	488.90523951516093	567.8981527708438	551.5533543448897	276.8409926007953	363.54823073194376	273.797572328192	476.0118858725442	435.5476576246973	451.97547393465965	403.47698057647654	316.7662513509149	684.4987363100253	332.3308020803908	6020.803640124024
hsa-miR-132-3p	517.872775921382	745.4594741122256	530.4543185222167	427.7352543899144	402.6778074193386	151.47842947164324	365.0634297709227	230.79364163517295	322.305266642276	503.14250871971547	382.2413500198199	447.1994136718798	351.02499297950015	598.1954437447035	5975.644107020711
hsa-miR-93-5p	357.5788214695256	542.1523448088914	586.6200698951573	315.17334533993693	335.5648395161155	181.77411536597188	228.1646436068267	490.43648847474253	435.5476576246973	494.61466958887286	325.61300186873547	571.4214730251798	561.6399887672002	465.26312291254715	5891.564582264401
hsa-miR-339-3p	579.5242968644036	687.3717228827015	530.4543185222167	697.8838361098605	369.12132346772705	454.4352884149297	68.449393082048	317.3412572483628	348.4381260997578	409.3362782804465	424.71261113313324	236.0219127712699	245.7174950856501	365.5638822884299	5734.371742250937
hsa-miR-132-5p	579.5242968644036	609.9213879100027	642.7858212680978	180.09905447996397	402.6778074193386	272.66117304895783	319.4305010495574	230.79364163517295	444.2586107771912	443.44763480381704	325.61300186873547	360.2439721245699	263.2687447346251	398.796962496469	5473.522610480903
hsa-miR-99b-3p	369.90912565812994	455.02071796460524	468.0479281078383	202.61143628995947	335.5648395161155	90.88705768298594	616.044537738432	490.43648847474253	548.7900486071186	272.8908521869643	311.4559148309644	335.3995602539099	438.7812412243752	398.796962496469	5334.636711032611
hsa-miR-7-5p	209.6151712062736	261.39488053285834	318.27259111333	180.09905447996397	453.0125333467558	181.77411536597188	821.392716984576	663.5317197011223	278.7505008798062	375.224921757076	339.7700889065066	149.06647122395992	702.0499859590002	382.18042239244943	5316.13517384965
hsa-miR-142-5p	536.3682322042885	735.7781822406382	567.8981527708438	202.61143628995947	201.3389037096693	212.06980126030052	159.7152505247787	144.24602602198308	243.90668826983048	400.8084391496039	552.1263944730732	335.3995602539099	333.47374333052517	648.0450640567622	5273.785874556167
hsa-miR-409-3p	437.72579869545376	406.6142586066685	268.34747878182725	450.24763619990995	234.89538766128084	333.2525448376151	410.696358492288	375.03966765715603	391.99289186222757	281.418691317807	311.4559148309644	459.6216196072098	544.0887391182252	348.9473421844104	5254.344329853044
hsa-miR-4497	357.5788214695256	319.48263176238237	355.7164253619571	697.8838361098605	671.129679032231	302.9568589432865	296.6140366888747	432.7380780659493	409.41479816721545	264.3630130561217	311.4559148309644	260.8663246419299	105.30749789385004	415.4135026004885	5200.921418624637
hsa-miR-451a	314.4227568094105	261.39488053285834	468.0479281078383	1238.1809995497524	385.8995654435328	60.59137178865729	205.348179246144	1182.8174133802613	287.4614540323002	68.22271304674108	84.94252222662665	211.1775009006099	193.0637461387251	232.63156145627357	5194.202592659731
hsa-miR-34a-5p	345.2485172809213	474.38330170777994	468.0479281078383	360.19810895992794	167.78241975805776	393.8439166262724	205.348179246144	201.94443643077634	487.81337653966096	392.2806000187612	566.2834815108442	571.4214730251798	280.8199943836001	265.86464166431267	5181.280375260077
hsa-miR-26a-1-3p	437.72579869545376	309.801339890795	474.2885671492761	405.22287257991894	352.3430814919213	272.66117304895783	342.24696541024	461.5872832703459	296.17240718479417	255.83517392527907	297.29882779319325	285.7107365125899	456.3324908733502	432.0300427045081	5079.256760530623
hsa-miR-137-3p	295.927300526504	455.02071796460524	505.4917623564653	337.68572714993246	436.23429137095013	272.66117304895783	136.898786164096	288.49205204396617	322.305266642276	247.30733479443643	523.812220397531	347.8217661892399	351.02499297950015	299.09772187235177	4819.781113500812
hsa-miR-330-5p	345.2485172809213	309.801339890795	280.82875686470294	247.63619990995048	302.008355564504	151.47842947164324	159.7152505247787	317.3412572483628	374.5709855572397	315.5300478411775	382.2413500198199	260.8663246419299	438.7812412243752	365.5638822884299	4251.6119383286305
hsa-miR-323b-3p	351.41366937522344	285.5981102118267	277.70843734398403	405.22287257991894	360.73220247982414	348.4003877847794	296.6140366888747	201.94443643077634	235.19573511733654	289.9465304486496	283.1417407554221	242.2330157389349	140.40999719180004	332.3308020803908	4050.8919742277417
hsa-miR-329-3p	419.23034241254726	319.48263176238237	349.47578632051926	157.58667266996846	251.67362963708663	302.9568589432865	319.4305010495574	288.49205204396617	165.50810989738497	341.1135652337054	353.9271759442777	198.75529496527992	280.8199943836001	299.09772187235177	4047.5503371359146
hsa-miR-361-5p	320.5879089037126	377.57038299190646	237.14428357463805	225.12381809995497	318.78659754030974	302.9568589432865	159.7152505247787	201.94443643077634	235.19573511733654	255.83517392527907	438.8696981709043	335.3995602539099	175.51249648975008	448.6465828085276	4033.2887837750704
hsa-miR-10b-5p	339.0833651866191	319.48263176238237	212.18172740888667	315.17334533993693	251.67362963708663	393.8439166262724	68.449393082048	115.39682081758647	383.28193870973365	247.30733479443643	212.35630556656662	422.3550018012198	210.61499578770008	398.796962496469	3889.9973690169445
hsa-miR-122-5p	283.5969963378996	203.30712930333425	99.85022466300549	450.24763619990995	385.8995654435328	90.88705768298594	730.1268595418454	663.5317197011223	217.77382881234865	17.05567826168527	127.41378333993997	161.48867715928995	70.20499859590002	182.78194114421495	3684.1660961870152
hsa-miR-181c-5p	203.45001911197147	271.0761724044457	312.0319520718922	315.17334533993693	285.23011358869815	333.2525448376151	296.6140366888747	259.6428468395696	235.19573511733654	272.8908521869643	198.1992185287955	186.33308902994992	245.7174950856501	216.01502135225405	3630.822442183954
hsa-miR-455-5p	258.936387960691	145.21937807381016	255.8662006989516	247.63619990995048	352.3430814919213	60.59137178865729	182.53171488546135	375.03966765715603	278.7505008798063	213.19597827106588	212.35630556656662	273.2885305772599	333.47374333052517	315.7142619763713	3504.943323068195
hsa-miR-192-5p	203.45001911197147	164.58196181698486	205.94108836744883	337.68572714993246	419.45604939514436	121.18274357731458	182.53171488546135	317.3412572483628	313.59431348978205	281.418691317807	226.51339260433772	186.33308902994992	263.2687447346251	182.78194114421495	3406.0807338733375
hsa-miR-181a-3p	228.11062748918013	261.39488053285834	224.66300549176236	180.09905447996397	302.008355564504	151.47842947164324	182.53171488546135	317.3412572483628	235.19573511733654	264.3630130561217	283.1417407554221	136.64426528862995	280.8199943836001	332.3308020803908	3380.1228758452376
hsa-miR-146b-5p	465.4689831198135	203.30712930333425	312.0319520718922	123.81809995497524	226.50626667337795	136.33058652447892	114.08232180341335	201.94443643077634	100.17596125368038	191.8763804439593	389.31989353870546	173.91088309461995	368.57624262847514	290.789451820342	3298.138588661844
hsa-miR-212-5p	166.4591065461585	280.75746427603303	299.5506739890165	112.56190904997749	268.4518716128924	181.77411536597188	114.08232180341335	144.24602602198308	304.88336033728814	272.8908521869643	268.98465371765104	186.33308902994992	140.40999719180004	232.63156145627357	2974.017002585373
hsa-miR-873-3p	265.1015400549931	232.3510049180963	230.9036445332002	247.63619990995048	117.44769383064042	212.06980126030052	45.63292872136534	57.69841040879324	200.35192250736077	349.64140436454807	212.35630556656662	223.5997068359399	280.8199943836001	249.24810156029312	2924.858658855648
hsa-miR-191-5p	326.7530609980148	183.94454556015955	68.64702945581628	360.19810895992794	184.56066173386353	272.66117304895783	273.797572328192	144.24602602198308	165.50810989738497	213.19597827106588	184.0421314910244	136.64426528862995	105.30749789385004	265.86464166431267	2885.370802613183
hsa-miR-23a-3p	345.2485172809213	208.14777523912792	246.5052421367948	135.074290859973	234.89538766128084	90.88705768298594	114.08232180341335	274.0674494417679	143.7307270161501	221.72381740190852	148.64941389659663	105.58875045030496	280.8199943836001	224.3232914042638	2773.744036659089
hsa-let-7a-3p	203.45001911197147	261.39488053285834	193.45981028457314	90.04952723998198	369.12132346772705	151.47842947164324	159.7152505247787	173.09523122637972	226.4847819648426	213.19597827106588	70.78543518885553	260.8663246419299	175.51249648975008	216.01502135225405	2764.6245097686115
hsa-miR-4508	135.63334607464765	246.8729427254773	162.25661507738394	506.52859072489866	453.0125333467559	60.59137178865729	91.26585744273068	331.7658598505611	139.37525043990314	153.50110435516743	113.25669630216886	62.11102967664998	87.75624824487504	132.93232083215634	2676.859766882034
hsa-miR-29c-3p	249.68865981923773	183.94454556015955	251.70577467132637	217.61969082995645	167.78241975805776	257.5133301017935	136.898786164096	201.94443643077634	110.33873993158998	243.0434152290151	141.57087037771106	157.34794184751325	157.96124684077506	199.3984812482345	2676.758338810242
hsa-miR-421	240.44093167778448	174.2632536885722	274.5881178232651	112.56190904997749	302.008355564504	0.0	205.348179246144	346.19046245275945	148.08620359239708	162.02894348601006	198.1992185287955	86.95544154730997	193.0637461387251	182.78194114421495	2626.5167039404596
hsa-miR-130a-3p	166.4591065461585	164.58196181698486	218.42236645032452	135.074290859973	318.78659754030974	121.18274357731458	205.348179246144	201.94443643077634	139.37525043990314	136.44542609348215	226.51339260433772	161.48867715928995	263.2687447346251	116.31578072813679	2575.2069542277604
hsa-miR-140-5p	123.30304188604332	106.4942105874608	237.14428357463805	157.58667266996846	167.78241975805776	151.47842947164324	205.348179246144	115.39682081758647	182.93001620237285	204.66813914022325	169.8850444532533	260.8663246419299	140.40999719180004	332.3308020803908	2555.6243817215122
hsa-miR-6131	154.12880235755415	183.94454556015955	131.05341987019472	270.148581719946	184.56066173386353	60.59137178865729	205.348179246144	288.49205204396617	148.08620359239708	85.27839130842635	198.1992185287955	248.4441187065999	210.61499578770008	166.1654010401954	2535.0559432845994
hsa-miR-20a-5p	160.2939544518563	183.94454556015955	156.0159760359461	180.09905447996397	201.3389037096693	90.88705768298594	273.797572328192	115.39682081758647	113.2423909824213	162.02894348601006	169.8850444532533	136.64426528862995	263.2687447346251	315.7142619763713	2522.5575359876707
hsa-miR-425-3p	197.2848670176693	358.20779924873176	324.5132301547679	180.09905447996397	67.1129679032231	60.59137178865729	182.53171488546135	173.09523122637972	270.0395477273123	136.44542609348215	127.41378333993997	111.79985341796996	70.20499859590002	216.01502135225405	2475.354867231713
hsa-miR-299-3p	160.2939544518563	174.2632536885722	118.57214178731903	90.04952723998198	234.89538766128084	212.06980126030052	228.1646436068267	57.69841040879324	182.93001620237285	179.08462174769534	268.98465371765104	149.06647122395995	140.40999719180004	249.24810156029312	2445.730981748703
hsa-miR-4492	129.4681939803455	111.33485652325447	137.29405891163256	529.0409725348942	436.23429137095013	0.0	296.6140366888747	187.51983382857802	130.6642972874092	144.9732652243248	70.78543518885553	12.422205935329995	105.30749789385004	99.69924062411725	2391.3581859924166
hsa-miR-378c	213.62252006757004	160.70944506834994	138.85421867199202	142.9536244934714	130.03137531249476	219.64372273388267	205.348179246144	115.39682081758647	108.88691440617433	141.98852152852987	148.64941389659663	189.43864051378242	210.61499578770008	135.42480184775926	2261.5631943920343
hsa-miR-500a-3p	107.89016165028791	227.51035898230262	193.45981028457314	146.33048176497073	92.28033086693176	181.77411536597188	91.26585744273068	158.6706286241814	139.37525043990314	230.25165653275116	162.80650093436773	167.69978012695495	175.51249648975008	166.1654010401954	2240.9928305458725
hsa-miR-378d	174.4738042687513	127.79305270495294	146.65501747378931	150.83295812696983	109.05857284273753	196.9219583131362	205.348179246144	173.09523122637972	121.95334413491524	156.05945609442023	113.25669630216886	130.43316232096495	228.1662454366751	171.1503630714013	2205.1980415634066
hsa-miR-145-3p	215.78032330057582	203.30712930333425	168.4972541188218	67.5371454299865	218.11714568547507	151.47842947164324	45.63292872136534	201.94443643077634	209.0628756598547	196.1403000093806	56.62834815108443	186.33308902994992	175.51249648975008	83.0827005200977	2179.0546023220954
hsa-miR-628-3p	166.4591065461585	145.21937807381016	124.81278082875687	202.61143628995947	218.11714568547507	212.06980126030052	114.08232180341335	201.94443643077634	87.10953152493946	221.72381740190852	113.25669630216886	74.53323561197998	140.40999719180004	99.69924062411725	2122.0489255755647
hsa-miR-106b-3p	191.11971492336716	174.2632536885722	199.70044932601098	157.58667266996846	167.78241975805776	60.59137178865729	159.7152505247787	115.39682081758647	139.37525043990314	119.3897478317969	184.0421314910244	124.22205935329995	157.96124684077506	149.54886093617588	2100.6952503899747
hsa-miR-26b-5p	123.30304188604332	101.65356465166712	159.136295556665	90.04952723998198	167.78241975805776	90.88705768298594	182.53171488546135	230.79364163517295	217.77382881234865	174.82070218227403	56.62834815108443	229.8108098036049	140.40999719180004	116.31578072813679	2081.896730165284
hsa-miR-30a-3p	138.71592212179874	261.39488053285834	177.85821268097854	202.61143628995947	117.44769383064042	0.0	114.08232180341335	144.24602602198308	104.53143782992736	132.18150652806085	42.471261113313325	285.7107365125899	175.51249648975008	149.54886093617588	2046.3127926914497
hsa-miR-125a-3p	98.64243350883466	232.3510049180963	174.73789316025963	90.04952723998198	117.44769383064042	90.88705768298594	45.63292872136534	115.39682081758647	235.19573511733654	127.91758696263953	155.7279574154822	173.91088309461995	210.61499578770008	116.31578072813679	1984.828298985666
hsa-miR-199a-3p	189.0646642252664	122.62969704010636	178.89831918788482	165.09079993996698	201.3389037096693	100.98561964776214	197.74269112591645	76.93121387839098	63.880323118288935	113.70452174456848	169.8850444532533	140.78500060040662	140.40999719180004	110.77693402679695	1972.1237298900778
hsa-miR-708-5p	104.80758560313681	106.4942105874608	112.33150274588118	67.5371454299865	201.3389037096693	121.18274357731458	182.53171488546135	201.94443643077634	130.6642972874092	170.5567826168527	141.57087037771106	111.79985341796996	35.10249929795001	99.69924062411725	1787.561786591697
hsa-miR-9985	100.69748420693539	85.51807819902153	141.45448493925778	67.5371454299865	69.90934156585739	146.4291484892551	171.12348270512	173.09523122637972	87.10953152493946	126.49628044083241	134.49232685882552	186.33308902994992	137.4847889169709	152.3182842868458	1779.998697820177
hsa-miR-127-5p	129.4681939803455	280.75746427603303	131.05341987019472	112.56190904997749	117.44769383064042	151.47842947164324	114.08232180341335	57.69841040879324	104.53143782992736	144.9732652243248	127.41378333993997	124.22205935329995	0.0	83.0827005200977	1678.7710889586308
hsa-miR-22-5p	104.80758560313681	116.17550245904815	156.0159760359461	45.02476361999099	134.2259358064462	212.06980126030052	114.08232180341335	173.09523122637972	69.68762521995157	76.75055217758371	141.57087037771106	86.95544154730997	140.40999719180004	83.0827005200977	1653.9543048491162
hsa-miR-181c-3p	129.4681939803455	164.58196181698486	168.4972541188218	112.56190904997749	167.78241975805776	0.0	68.449393082048	144.24602602198308	69.68762521995157	153.50110435516743	70.78543518885553	99.37764748263996	105.30749789385004	99.69924062411725	1553.9457085928002
hsa-miR-497-5p	129.4681939803455	87.1316268442861	106.09086370444334	90.04952723998198	0.0	302.9568589432865	45.63292872136534	115.39682081758647	165.50810989738497	59.69487391589845	84.94252222662665	74.53323561197998	87.75624824487504	149.54886093617588	1498.710671084236
	sumhsa-miR-25-3p	1066.5713123142748	1500.6002400960385	1560.159760359461	990.5447996398019	1124.1422123789869	878.5748909355307	1095.190289312768	1471.3094654242275	1019.1815188417917	895.4231087384767	1160.8811370972307	1267.0650054036596	1562.0612187587756	1478.8720692577392	17070.577028558764
hsa-miR-885-5p	166.4591065461585	222.66971304650895	68.64702945581628	45.02476361999099	302.008355564504	90.88705768298594	0.0	0.0	43.55476576246973	179.08462174769534	113.25669630216886	99.37764748263996	0.0	132.93232083215634	1463.9020780430951
hsa-miR-187-3p	104.80758560313681	154.9006699453975	131.05341987019472	157.58667266996846	134.2259358064462	60.59137178865729	91.26585744273068	57.69841040879324	95.82048467743341	68.22271304674108	99.09960926439776	99.37764748263996	105.30749789385004	99.69924062411725	1459.6571165245043
hsa-miR-139-3p	117.13788979174116	183.94454556015955	31.203195207189218	45.02476361999099	100.66945185483465	60.59137178865729	159.7152505247787	57.69841040879324	95.82048467743341	136.44542609348215	141.57087037771106	111.79985341796996	70.20499859590002	33.233080208039084	1345.0595921266804
hsa-miR-29c-5p	123.30304188604332	154.9006699453975	87.36894658012982	0.0	83.89120987902888	90.88705768298594	68.449393082048	57.69841040879324	60.97667206745762	144.9732652243248	84.94252222662665	161.48867715928995	0.0	199.3984812482345	1318.2783473903603
hsa-miR-450b-5p	92.47728141453248	58.08775122952407	106.09086370444334	90.04952723998198	100.66945185483465	60.59137178865729	114.08232180341335	115.39682081758647	78.39857837244551	110.86190870095426	99.09960926439776	136.64426528862995	70.20499859590002	83.0827005200977	1315.7374505953985
hsa-miR-30e-3p	33.90833651866191	58.08775122952407	121.69246130803795	22.512381809995496	167.78241975805776	121.18274357731458	159.7152505247787	144.24602602198308	87.10953152493946	63.958793481319766	14.157087037771108	99.37764748263996	70.20499859590002	116.31578072813679	1280.2512095990608
hsa-miR-874-3p	104.80758560313681	300.1200480192077	137.29405891163256	0.0	100.66945185483465	0.0	0.0	86.54761561318986	113.2423909824213	93.80623043926899	169.8850444532533	74.53323561197998	0.0	66.46616041607817	1247.3718219050033
hsa-miR-185-3p	147.963650263252	164.58196181698486	118.57214178731903	0.0	83.89120987902888	0.0	0.0	57.69841040879324	113.2423909824213	119.3897478317969	70.78543518885553	236.0219127712699	0.0	116.31578072813679	1228.4626416578585
hsa-miR-28-3p	98.64243350883466	135.53808620222284	156.0159760359461	0.0	33.55648395161155	121.18274357731458	159.7152505247787	0.0	78.39857837244551	119.3897478317969	56.62834815108443	74.53323561197998	35.10249929795001	99.69924062411725	1168.4026236900825
hsa-miR-1-3p	18.4954562829065	58.08775122952407	43.68447329006491	360.19810895992794	0.0	90.88705768298594	0.0	57.69841040879324	43.55476576246973	42.639195654213175	0.0	322.9773543185799	0.0	83.0827005200977	1121.305274109563
hsa-miR-499a-5p	92.47728141453248	48.406459357936725	99.85022466300549	90.04952723998198	67.1129679032231	60.59137178865729	114.08232180341335	0.0	87.10953152493946	59.69487391589845	70.78543518885553	74.53323561197998	157.96124684077506	83.0827005200977	1105.7371777732967
hsa-miR-23b-3p	92.47728141453248	101.65356465166712	121.69246130803795	67.5371454299865	134.2259358064462	0.0	68.449393082048	100.97221821538817	21.777382881234864	51.16703478505581	92.0210657455122	31.05551483832499	105.30749789385004	108.00751067612703	1096.3440067282113
hsa-miR-484	178.7894107347628	116.17550245904815	87.36894658012982	45.02476361999099	100.66945185483465	60.59137178865729	0.0	0.0	113.2423909824213	68.22271304674108	70.78543518885553	124.22205935329995	35.10249929795001	66.46616041607817	1066.6607053227697
hsa-miR-191-3p	123.30304188604332	106.4942105874608	68.64702945581628	45.02476361999099	50.334725927417324	0.0	68.449393082048	0.0	226.4847819648426	85.27839130842635	28.314174075542216	24.84441187065999	105.30749789385004	116.31578072813679	1048.7982024002347
hsa-miR-195-3p	98.64243350883466	154.9006699453975	81.12830753869197	67.5371454299865	33.55648395161155	60.59137178865729	0.0	0.0	43.55476576246973	76.75055217758371	127.41378333993997	99.37764748263996	87.75624824487504	116.31578072813679	1047.5251898988245
hsa-miR-1307-3p	197.2848670176693	135.53808620222284	156.0159760359461	0.0	33.55648395161155	0.0	68.449393082048	0.0	78.39857837244551	76.75055217758371	56.62834815108443	0.0	157.96124684077506	83.0827005200977	1043.6662323514843
hsa-miR-98-5p	73.981825131626	92.94040196723851	64.90264603095358	0.0	83.89120987902888	181.77411536597188	68.449393082048	57.69841040879324	73.17200648094915	93.80623043926899	0.0	79.50211798611197	66.69474866610503	99.69924062411725	1036.5123460622126
hsa-miR-10396b-3p	41.10101396201444	419.52264776878496	45.76468630387752	135.074290859973	0.0	0.0	0.0	57.69841040879324	0.0	0.0	37.75223210072295	0.0	0.0	299.09772187235177	1036.0110032765178
hsa-miR-885-3p	141.7984981689498	125.85679433063548	62.406390414378436	0.0	33.55648395161155	0.0	45.63292872136534	57.69841040879324	139.37525043990314	68.22271304674108	28.314174075542216	124.22205935329995	105.30749789385004	99.69924062411725	1032.0904414291876
hsa-let-7e-5p	92.47728141453248	116.17550245904815	31.203195207189218	90.04952723998198	0.0	60.59137178865729	45.63292872136534	86.54761561318986	43.55476576246973	85.27839130842635	0.0	111.79985341796996	157.96124684077506	83.0827005200977	1004.3543802937031
hsa-miR-383-5p	67.81667303732382	96.81291871587345	118.57214178731903	45.02476361999099	100.66945185483465	0.0	159.7152505247787	0.0	43.55476576246973	85.27839130842635	113.25669630216886	0.0	122.85874754282506	33.233080208039084	986.7928806640497
hsa-miR-199b-3p	94.5323321126332	61.31484852005318	89.44915959394241	82.54539996998349	83.89120987902888	50.49280982388107	98.87134556295823	38.46560693919549	31.940161559144467	56.85226087228424	84.94252222662665	70.39250030020331	70.20499859590002	55.388467013398476	969.2836229692332
hsa-miR-221-5p	80.14697722592815	116.17550245904815	81.12830753869197	90.04952723998198	33.55648395161155	0.0	45.63292872136534	115.39682081758647	78.39857837244551	93.80623043926899	28.314174075542216	49.68882374131998	87.75624824487504	49.849620312058626	949.9002231397241
hsa-miR-655-3p	73.981825131626	77.45033497269876	81.12830753869197	0.0	83.89120987902888	60.59137178865729	0.0	57.69841040879324	104.53143782992736	51.16703478505581	0.0	62.11102967664998	122.85874754282506	116.31578072813679	891.7254902820911
hsa-miR-6529-3p	135.63334607464765	38.72516748634938	56.16575137294059	45.02476361999099	0.0	0.0	91.26585744273068	57.69841040879324	156.79715674489103	102.33406957011162	42.471261113313325	99.37764748263996	35.10249929795001	0.0	860.5959306143585
hsa-miR-377-3p	135.63334607464765	67.76904310111142	24.962556165751373	157.58667266996846	33.55648395161155	0.0	45.63292872136534	0.0	95.82048467743341	102.33406957011162	42.471261113313325	62.11102967664998	35.10249929795001	33.233080208039084	836.2134552279531
hsa-miR-1296-5p	98.64243350883466	29.043875614762037	68.64702945581628	45.02476361999099	50.334725927417324	60.59137178865729	0.0	0.0	34.843812609975785	153.50110435516743	70.78543518885553	136.64426528862995	0.0	83.0827005200977	831.1415178782049
hsa-miR-195-5p	80.14697722592815	96.81291871587345	62.406390414378436	0.0	33.55648395161155	60.59137178865729	0.0	86.54761561318986	69.68762521995157	68.22271304674108	70.78543518885553	62.11102967664998	52.65374894692502	83.0827005200977	826.6050103088596
hsa-miR-339-5p	36.990912565813	58.08775122952407	68.64702945581628	90.04952723998198	50.334725927417324	90.88705768298594	0.0	0.0	52.26571891496368	68.22271304674108	70.78543518885553	86.95544154730997	70.20499859590002	83.0827005200977	826.5140119154066
hsa-miR-337-5p	86.31212932023033	38.72516748634938	99.85022466300549	180.09905447996397	33.55648395161155	0.0	45.63292872136534	57.69841040879324	34.843812609975785	76.75055217758371	42.471261113313325	24.84441187065999	35.10249929795001	49.849620312058626	805.7365564128606
hsa-miR-338-3p	92.47728141453248	96.81291871587345	81.12830753869197	45.02476361999099	117.44769383064042	0.0	0.0	0.0	52.26571891496368	102.33406957011162	42.471261113313325	24.84441187065999	87.75624824487504	33.233080208039084	775.7957550416919
hsa-miR-199a-5p	92.47728141453248	58.08775122952407	99.85022466300549	67.5371454299865	83.89120987902888	60.59137178865729	0.0	0.0	43.55476576246973	102.33406957011162	28.314174075542216	0.0	52.65374894692502	83.0827005200977	772.374443279881
hsa-miR-375-3p	30.82576047151083	38.72516748634938	49.925112331502746	0.0	134.2259358064462	0.0	0.0	0.0	78.39857837244551	119.3897478317969	28.314174075542216	49.68882374131998	52.65374894692502	182.78194114421495	764.9289902080536
hsa-miR-30c-5p	135.63334607464765	48.406459357936725	93.60958562156765	0.0	33.55648395161155	60.59137178865729	0.0	57.69841040879324	69.68762521995157	119.3897478317969	0.0	62.11102967664998	70.20499859590002	0.0	750.8890585275126
hsa-miR-144-3p	0.0	67.76904310111142	18.72191712431353	0.0	33.55648395161155	0.0	0.0	0.0	252.61764142232443	0.0	28.314174075542216	260.8663246419299	0.0	83.0827005200977	744.9282848369307
