name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
hsa-miR-30a-5p	19574.357899409377	21865.197691980018	19249.25112331503	19146.78072940117	20729.517961108035	21964.372273388268	19393.99470658027	18881.80480627759	15104.792766424502	19353.93090744736	22311.569171527266	18074.309635905145	22711.31704577366	23437.629816719564	281798.8265352573
hsa-miR-143-3p	16485.61670016399	21415.017619951206	20874.937593609586	21634.398919405674	20972.80246975722	20479.883664566165	20489.184995893036	22329.284828202984	16655.342427568427	22070.04767062074	16733.67687864545	17378.666103526662	21956.613310867735	21701.20137584952	281176.6745586284
hsa-miR-125b-5p	20616.26860334644	22160.477094063433	17812.864037277417	25056.280954524987	25301.588899515107	20570.77072224915	19150.619086732986	16732.53901855004	15819.090924929005	19318.398244402182	20570.24746588142	17850.709929069202	12935.27099129458	20504.810488360115	274399.93646019604
hsa-miR-320a-3p	19316.20683439403	16607.195873741206	19953.34379383306	16804.12619798032	15744.262839949155	19455.456685825076	21775.653311429527	22089.83642500649	16436.7286139878	19288.15487205602	22929.54287440103	16873.59991387271	23718.152839625036	18274.633427256347	269266.8945033578
hsa-miR-100-5p	20767.314829656847	18079.812570189366	16153.894158761857	20857.72174696083	21358.702035200753	18359.18565196316	22953.363146846765	21521.50708247988	13763.305980940435	17682.474437802204	18312.192083356927	14322.803443435485	18560.44650379107	17139.961117296156	259832.68478868177
hsa-let-7b-5p	16648.993230663	14736.862486930255	15966.987019470796	10063.034669067987	10729.685743527793	12281.871061560832	20822.305375559004	17765.340564867438	22397.167198034807	13259.08428063413	13565.320799592275	19656.898672066185	24368.1550126369	14685.698143932472	226947.4042585439
hsa-miR-125a-5p	10986.30103204646	15780.505750687373	12755.866200698953	14182.800540297163	15519.873827620342	14269.268056228791	12503.422469654102	9260.594870611314	13432.289761145665	12842.925731049008	12982.048813636105	13589.893293251014	9460.123560797529	15403.532676426115	182969.44658414993
hsa-miR-433-3p	12718.708770545369	13640.94024706657	13211.432850723915	11593.876632147681	12248.116642338215	10845.855550169656	13142.283471753217	12607.102674321322	11585.567692816949	12109.531565796542	12642.278724729598	11478.118284244916	10951.979780960404	11797.743473853874	170573.53636146823
hsa-miR-148a-3p	10135.51004303276	11995.12062889672	9866.450324513231	12021.611886537596	9999.832217580242	12693.892389723702	12275.257826047276	11453.134466145459	11655.2553180369	12970.843318011648	11594.654283934537	14496.714326530104	9389.918562201628	14539.472591017098	165087.66818220893
hsa-miR-21-5p	11134.264682309711	9371.49053169655	12643.534697953071	10355.695632597928	10956.192010201172	13481.580222976247	10244.592497946518	10674.20592562675	10548.964267670168	12126.587244058228	12217.566113596466	12223.450640364716	14163.858466722832	10352.104484804175	160494.08741852452
