name	mean male	noSamples_male	stddev male	mean female	noSamples_female	stddev female	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-378d	248.65166833303718	115.0	91.40072522694403	232.488418516554	77.0	61.50751498636383	0.9349964151664787	-0.0969672612576315	-1.358807575847075	0.17581845986780054	1.0
hsa-miR-378c	348.13235623139167	115.0	134.60395806763492	319.448796469217	77.0	85.11124884509512	0.9176073144344281	-0.12405120347235787	-1.660096448293	0.09854453875911162	1.0
hsa-miR-378b	10.273046337509237	115.0	4.519632232437572	9.070215635773984	77.0	4.02339284544252	0.8829139222955275	-0.17965530246174186	-1.8874000681315013	0.060631154269515326	1.0
hsa-miR-4526	0.005995254606097913	115.0	0.06429194308832857	0.0	77.0	0.0	0.0	-Infinity	-0.817559036264526	0.41463305945955486	1.0
hsa-miR-31-3p	0.02831606488925871	115.0	0.15267268530887934	0.010544183908028533	77.0	0.09252483828706339	0.37237462017641854	-1.4251733479664392	-0.9147055752180616	0.36150558699967195	1.0
hsa-miR-4525	0.0074437127378207965	115.0	0.07982492607054212	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645229	0.41463305945955486	1.0
hsa-miR-4523	0.008992881909146863	115.0	0.09643791463249282	0.012923013914437379	77.0	0.11339898687696076	1.4370269781140004	0.5230871465732132	0.2577356719217182	0.796889850418644	1.0
hsa-miR-1264	25.994768065062715	115.0	9.908075410754929	26.297580111629085	77.0	9.142316652430141	1.0116489612759174	0.01670876663002744	0.21401007177923972	0.8307686945701067	1.0
hsa-miR-4521	0.006453255569022419	115.0	0.06920345623954545	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645233	0.41463305945955486	1.0
hsa-miR-1262	0.025203335950044963	115.0	0.13640048029731652	0.012512320569256523	77.0	0.10979516739886003	0.49645493731690704	-1.0102653230750218	-0.6816839862747796	0.49626888144334236	1.0
hsa-miR-1261	0.0	115.0	0.0	0.011373016970196088	77.0	0.09979781889067695	1.011373016970196	0.016315193561444216	1.223681262965701	0.22258783610366284	1.0
hsa-miR-22-5p	270.409521639431	115.0	37.49584351709583	270.7181999028807	77.0	38.14813242207827	1.0011415214286032	0.0016459280516720994	0.05551872118573991	0.9557835527113393	1.0
hsa-miR-1908-5p	0.824352258417288	115.0	1.4938303623660558	0.6938488661437732	77.0	1.1636680596533309	0.84168977407295	-0.24863950515434058	-0.6462805458589833	0.518877544906685	1.0
hsa-miR-339-3p	609.8077344275505	115.0	134.60556624979895	619.2627061071634	77.0	116.2508658589901	1.0155048405354987	0.022197116443436193	0.5032897029316298	0.6153435665197583	1.0
hsa-miR-514a-3p	7.030139923555704	115.0	2.563371401035762	6.532742523521848	77.0	2.0166557362104247	0.9292478662668947	-0.10586462450380395	-1.4313554647159101	0.15397116986977066	1.0
hsa-miR-4664-3p	0.02762148114316668	115.0	0.1303628123985078	0.0	77.0	0.0	0.0	-Infinity	-1.8576388492866591	0.06476770719005293	1.0
hsa-miR-142-5p	152.4735814540598	115.0	153.30851051216177	151.5773184613767	77.0	77.84315408917017	0.9941218473119349	-0.008505404327940023	-0.04734741572768958	0.9622860683619362	1.0
hsa-miR-1258	0.004992687896532541	115.0	0.053540612899937674	0.010024509725789348	77.0	0.08796471584486756	2.0078382493629223	1.0056430510410324	0.4924559655722834	0.6229656099185499	1.0
hsa-miR-4516	0.4010304063701168	115.0	0.9945032952001663	0.19796347472562462	77.0	0.43879592361876046	0.4936370698607857	-1.0184773566070768	-1.6842373576473482	0.09377783106785431	1.0
hsa-miR-4701-5p	0.005995254606097913	115.0	0.06429194308832857	0.011680570390285526	77.0	0.10249658919918235	1.9483026422939478	0.9622177978634571	0.4723191056968675	0.6372410730703946	1.0
hsa-miR-4513	0.383258852065859	115.0	3.340428912802441	0.6822099142959567	77.0	4.8890330647991025	1.7800238940827544	0.8318966072834312	0.5035412980198876	0.6151670493334909	1.0
hsa-miR-6734-5p	0.1877876412162514	115.0	0.9471938894303579	0.02904007542245572	77.0	0.14864475946106148	0.15464316626147895	-2.6929850132772444	-1.4574711818467858	0.14663716621590273	1.0
hsa-miR-4511	0.0729184417457495	115.0	0.44478275947512075	0.052551258086367125	77.0	0.23041243953594526	0.7206854237176619	-0.4725584285935987	-0.3697528284777367	0.7119784612640474	1.0
hsa-miR-4510	2.3129319314480004	115.0	1.289761582174946	2.5978688501701823	77.0	1.6788283562301238	1.1231929547290216	0.16760579142339851	1.327285057502588	0.18600708264161514	1.0
hsa-miR-194-3p	0.03328748365587236	115.0	0.1790972547450086	0.0153060236093556	77.0	0.09523157651024167	0.4598131768562028	-1.1208802849584802	-0.8074319726487714	0.4204273106174231	1.0
hsa-miR-6786-3p	0.005582784553365616	115.0	0.059868694552906485	0.0	77.0	0.0	0.0	-Infinity	-0.817559036264527	0.41463305945955486	1.0
hsa-miR-185-5p	2049.7024075100835	115.0	742.0713074327641	2121.607596927533	77.0	613.153814701145	1.0350807947309764	0.04974338377134174	0.7042526298664823	0.4821377298370042	1.0
hsa-miR-376a-2-5p	0.004053034743503073	115.0	0.030598751057222106	0.0	77.0	0.0	0.0	-Infinity	-1.1613006510347161	0.24697652583670326	1.0
hsa-miR-2355-3p	0.4639204545557762	115.0	0.7439104016847626	0.6899328306905832	77.0	0.978386862567634	1.4871791573648625	0.572578456316064	1.8152720192929086	0.07105885198909648	1.0
hsa-miR-4796-3p	0.0	115.0	0.0	0.01870052973551599	77.0	0.1640964824545199	1.018700529735516	0.026730000705024487	1.2236812629657035	0.22258783610366284	1.0
hsa-miR-6513-3p	0.050319950573397276	115.0	0.2200235068228691	0.061992796876275166	77.0	0.2498577943311838	1.2319725311703504	0.3009700891609724	0.34107673539176825	0.7334226884955071	1.0
