name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-147b-5p	0	0	9	10
hsa-miR-6746-3p	0	0	5	0
hsa-miR-3128	0	0	0	5
hsa-miR-421	202	0	672	130
hsa-miR-9-3p	0	0	2	7
hsa-miR-10a-3p	595	0	103	194
hsa-miR-4799-3p	0	0	2	0
hsa-miR-550a-3p	7	0	36	15
hsa-miR-193b-5p	89	0	419	158
hsa-miR-4701-5p	0	0	8	0
hsa-miR-374a-5p	3118	0	12833	3429
hsa-miR-141-3p	167990	0	386853	126265
hsa-miR-92b-3p	1268	0	3645	590
hsa-miR-3152-5p	0	0	3	0
hsa-miR-26a-1-3p	4	0	11	10
hsa-miR-6735-5p	0	0	4	0
hsa-miR-525-3p	2	0	28	4
hsa-miR-3919	0	0	2	12
hsa-miR-6811-5p	2	0	9	0
hsa-miR-6816-3p	2	0	0	0
hsa-miR-4485-3p	0	0	97	0
hsa-miR-10400-5p	55	0	14	0
hsa-miR-4677-3p	9	0	67	3
hsa-miR-519c-5p	0	0	0	1
hsa-miR-491-5p	8	0	145	12
hsa-miR-1226-3p	0	0	2	0
hsa-miR-380-3p	0	0	2	0
hsa-miR-3116	0	0	6	0
hsa-miR-95-3p	0	0	26	0
hsa-let-7e-5p	1447	0	17667	660
hsa-miR-7-1-3p	242	0	365	109
hsa-miR-3664-3p	11	0	6	10
hsa-miR-485-5p	0	0	2	0
hsa-miR-9898	0	0	2	0
hsa-miR-182-3p	0	0	14	7
hsa-miR-561-5p	0	0	12	31
hsa-miR-5582-3p	0	0	0	2
hsa-miR-4520-2-3p	0	0	0	2
hsa-miR-3909	6	0	72	22
hsa-miR-205-3p	8	0	18	27
hsa-miR-758-3p	0	0	2	0
hsa-miR-6852-5p	0	0	2	0
hsa-miR-518b	32	0	92	19
hsa-miR-6741-3p	0	0	3	0
hsa-miR-147b-3p	8	0	33	33
hsa-miR-765	0	0	9	0
hsa-miR-760	2	0	61	13
hsa-miR-193b-3p	33345	0	41366	34445
hsa-miR-939-5p	0	0	5	0
hsa-miR-1343-3p	0	0	14	0
hsa-miR-5193	0	0	5	0
hsa-miR-374a-3p	693	0	3286	1310
hsa-miR-146a-5p	3371	0	10330	5434
hsa-miR-20a-5p	2720	0	8814	3159
hsa-miR-1297	5	0	1	0
hsa-miR-1294	0	0	4	0
hsa-miR-4433b-5p	0	0	42	0
hsa-miR-548ap-5p	0	0	1	0
hsa-miR-1291	0	0	4	0
hsa-miR-3065-5p	143	0	132	75
hsa-miR-625-5p	2	0	16	0
hsa-miR-491-3p	9	0	14	25
hsa-miR-519c-3p	14	0	71	42
hsa-miR-32-5p	2759	0	2643	3592
hsa-miR-6729-3p	0	0	3	0
hsa-miR-6782-3p	0	0	2	0
hsa-let-7e-3p	20	0	37	52
hsa-miR-5188	3	0	9	0
hsa-miR-550a-3-5p	4	0	16	1
hsa-miR-4661-5p	15	0	8	6
hsa-miR-2277-5p	0	0	35	2
hsa-miR-548j-5p	0	0	10	0
hsa-miR-548o-3p	20	0	42	22
hsa-miR-124-3p	0	0	115	0
hsa-miR-485-3p	2	0	14	0
hsa-miR-6887-5p	0	0	2	0
hsa-miR-503-5p	0	0	21	0
hsa-miR-4742-3p	3	0	29	2
hsa-miR-1286	0	0	0	2
hsa-miR-6718-5p	0	0	4	0
hsa-miR-508-3p	0	0	3	2
hsa-miR-4533	0	0	3	0
hsa-miR-1283	49	0	24	35
hsa-miR-6852-3p	0	0	5	0
hsa-miR-196b-5p	194	0	1408	395
hsa-miR-4731-5p	0	0	2	0
hsa-miR-3129-5p	0	0	0	3
hsa-miR-363-3p	6	0	69	14
hsa-miR-451a	120	0	3371	418
hsa-miR-3187-3p	0	0	3	0
hsa-miR-514a-3p	0	0	2	0
hsa-miR-891a-5p	19	0	11	12
hsa-miR-6846-3p	0	0	0	2
hsa-miR-146a-3p	0	0	2	7
hsa-miR-20a-3p	17	0	66	4
hsa-miR-1278	12	0	18	9
hsa-miR-378j	0	0	0	3
hsa-miR-4525	0	0	7	0
hsa-miR-1276	36	0	29	23
hsa-miR-1251-5p	23	0	27	153
hsa-miR-378i	2	0	5	24
hsa-miR-378h	0	0	0	1
hsa-miR-4783-3p	0	0	6	0
hsa-miR-378g	221	0	306	2233
hsa-miR-4521	0	0	8	0
hsa-miR-378f	148	0	27	150
hsa-miR-378e	6	0	32	18
hsa-miR-1270	16	0	300	2
