name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-9983-3p	24	0	705	221	950.0
hsa-miR-500a-3p	271	0	468	205	943.17
hsa-miR-155-5p	254	0	555	132	941.0
hsa-miR-10399-3p	75	0	835	24	934.0
hsa-miR-126-3p	2	0	915	4	921.0
hsa-miR-10a-3p	595	0	103	194	892.0
hsa-miR-218-5p	166	0	374	312	852.0
hsa-miR-125a-3p	191	0	398	254	843.0
hsa-miR-320d	369	0	247	208	823.31
hsa-miR-6510-3p	38	0	717	66	821.0
hsa-miR-15b-3p	191	0	375	245	811.0
hsa-miR-224-3p	111	0	536	162	809.0
hsa-let-7f-1-3p	228	0	288	264	779.17
hsa-miR-628-5p	17	0	694	60	771.0
hsa-miR-378a-5p	48	0	662	54	764.0
hsa-miR-576-5p	375	0	209	167	751.0
hsa-miR-30d-3p	63	0	620	52	734.5
hsa-miR-7704	12	0	704	9	725.0
hsa-miR-7-1-3p	242	0	365	109	716.0
hsa-miR-181c-5p	35	0	601	76	712.0
hsa-miR-320c	258	0	310	126	693.56
hsa-miR-128-3p	107	0	497	80	684.0
hsa-miR-29b-2-5p	82	0	524	66	672.0
hsa-miR-193b-5p	89	0	419	158	666.0
hsa-miR-589-5p	183	0	312	164	659.0
hsa-miR-199b-3p	128	0	358	150	636.0
hsa-miR-877-5p	45	0	476	101	622.0
hsa-miR-130a-3p	198	0	131	276	605.0
hsa-miR-590-3p	104	0	345	153	602.0
hsa-miR-584-5p	87	0	414	97	598.0
hsa-miR-454-3p	72	0	460	31	563.0
hsa-miR-331-5p	154	0	208	196	558.0
hsa-miR-1301-3p	13	0	503	37	553.0
hsa-miR-365a-5p	152	0	267	131	550.0
hsa-miR-199b-5p	85	0	317	130	532.0
hsa-miR-505-3p	110	0	258	159	527.0
hsa-miR-328-3p	34	0	442	35	511.0
hsa-miR-3065-3p	82	0	411	13	506.0
hsa-miR-4488	161	0	317	0	478.0
hsa-miR-519a-3p	55	0	137	282	474.67999999999995
hsa-miR-103a-2-5p	171	0	146	146	463.0
hsa-miR-215-5p	107	0	189	147	443.0
hsa-let-7f-2-3p	133	0	73	236	441.34000000000003
hsa-miR-26b-3p	54	0	341	37	432.0
hsa-miR-10527-5p	169	0	195	59	423.0
hsa-miR-150-5p	77	0	296	16	389.0
hsa-miR-516b-5p	127	0	141	113	381.0
hsa-miR-126-5p	38	0	337	3	378.0
hsa-miR-16-2-3p	79	0	262	35	376.0
hsa-miR-3065-5p	143	0	132	75	350.0
hsa-miR-362-3p	46	0	50	254	350.0
hsa-miR-27a-5p	90	0	109	148	347.0
hsa-miR-4454	135	0	160	46	341.0
hsa-miR-9-5p	20	0	305	4	329.01
hsa-miR-378f	148	0	27	150	324.66999999999996
hsa-miR-365b-5p	71	0	223	26	320.0
hsa-miR-7706	23	0	263	33	319.0
hsa-miR-1270	16	0	300	2	318.0
hsa-miR-181d-5p	64	0	198	56	317.34
hsa-miR-26a-2-3p	59	0	159	89	307.0
hsa-miR-145-5p	23	0	248	32	303.0
hsa-miR-517a-3p	41	0	145	115	300.5
hsa-miR-517b-3p	41	0	145	115	300.5
hsa-miR-196a-1-3p	99	0	61	134	294.0
hsv2-miR-H10	198	0	88	0	286.0
hsa-miR-590-5p	12	0	67	202	281.0
hsa-miR-627-5p	28	0	106	141	275.0
hsa-miR-18a-3p	45	0	159	70	274.0
hsa-miR-3174	88	0	61	113	262.0
hsa-miR-671-3p	64	0	150	43	257.0
hsa-miR-127-3p	7	0	244	5	256.0
hsa-miR-27b-5p	12	0	238	6	256.0
hsa-miR-3200-3p	71	0	131	50	252.0
hsa-miR-512-3p	41	0	144	55	240.0
hsa-miR-671-5p	2	0	230	7	239.0
hsa-miR-548s	41	0	150	43	234.0
hsa-miR-200c-5p	28	0	188	16	232.0
hsa-miR-3168	44	0	162	13	219.0
hsa-miR-33b-3p	21	0	167	20	208.0
hsa-miR-577	6	0	169	32	207.0
hsa-miR-515-3p	7	0	70	127	204.0
hsa-miR-1251-5p	23	0	27	153	203.0
hsa-miR-98-3p	36	0	52	111	199.0
hsa-miR-522-3p	19	0	142	38	199.0
hsa-miR-874-3p	19	0	151	26	196.0
hsa-miR-2115-5p	23	0	160	12	195.0
hsa-miR-516a-5p	39	0	79	70	188.0
hsa-miR-199a-5p	4	0	178	5	187.0
hsa-miR-664b-5p	17	0	143	24	184.0
hsa-miR-532-3p	15	0	158	10	183.0
hsa-miR-1468-5p	9	0	165	8	182.0
hsa-miR-17-3p	11	0	152	16	179.0
hsa-miR-766-3p	43	0	94	40	177.0
hsa-miR-500a-5p	47	0	109	22	177.0
hsa-miR-488-3p	14	0	131	29	174.0
hsa-miR-101-5p	29	0	119	26	174.0
hsa-miR-501-5p	2	0	163	5	170.0
hsa-miR-3605-5p	50	0	56	64	170.0
hsa-miR-548i	43	0	104	21	168.0
hsa-miR-1296-5p	84	0	54	30	168.0
hsa-miR-2110	25	0	106	36	167.0
hsa-miR-135b-5p	16	0	135	16	166.67
hsa-miR-491-5p	8	0	145	12	165.0
hsa-miR-12125	34	0	79	49	162.0
hsa-miR-195-3p	0	0	159	2	161.0
hsa-miR-708-5p	18	0	96	47	161.0
hsa-miR-342-5p	15	0	124	22	161.0
hsa-miR-664b-3p	42	0	109	9	160.0
hsa-miR-548e-3p	28	0	107	21	156.0
hsa-miR-548k	35	0	70	51	156.0
hsa-miR-32-3p	67	0	52	36	155.0
hsa-miR-2277-3p	25	0	108	21	154.0
hsa-miR-122-5p	18	0	112	23	153.0
hsa-miR-500b-5p	44	0	89	20	152.0
hsa-miR-940	28	0	97	26	151.0
hsa-miR-185-3p	14	0	120	14	148.0
hsa-miR-379-5p	16	0	113	18	147.0
hsa-miR-518b	32	0	92	19	143.0
hsa-miR-518c-3p	21	0	93	29	142.67000000000002
hsa-miR-183-3p	17	0	108	17	142.0
hsa-miR-9985	84	0	37	20	141.16
hsa-miR-12136	0	0	139	2	141.0
hsa-miR-6839-5p	22	0	70	49	141.0
hsa-miR-210-5p	25	0	102	11	138.0
hsa-miR-3913-5p	16	0	114	7	137.0
hsa-miR-93-3p	35	0	67	34	136.0
hsa-miR-362-5p	16	0	104	16	136.0
hsa-miR-10401-3p	17	0	105	11	132.96
hsa-miR-106a-5p	33	0	53	45	130.32999999999998
hsa-miR-519c-3p	14	0	71	42	127.0
hsa-miR-152-5p	54	0	15	56	125.0
hsa-miR-521	22	0	71	32	125.0
hsa-miR-24-2-5p	14	0	78	32	124.0
hsa-miR-6859-5p	24	0	79	20	123.03999999999999
hsa-miR-103a-1-5p	24	0	60	39	123.0
hsa-miR-1266-5p	13	0	93	15	121.0
hsa-miR-3064-5p	0	0	120	0	120.0
hsa-miR-196a-3p	8	0	94	17	119.0
hsa-miR-1287-3p	16	0	72	30	118.0
hsa-miR-4446-3p	6	0	110	2	118.0
hsa-miR-124-3p	0	0	115	0	114.99
hsa-miR-4728-3p	19	0	88	7	114.0
hsa-miR-520a-3p	9	0	80	25	113.75
hsa-let-7c-3p	19	0	33	59	111.0
