name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
hsa-miR-483-5p	590.1904140651694	1646.7682173734045	884.7991505928155	2019.3861066235866	747.6262865402347	0.0	63.588287037527685	325.89212970506765	0.0	418.4800803481754	0.0	305.2192491606471	1008.1915563957152	49.478007025877	111.93507765496011	46.91451748418767	0.0	336.32730582044076	0.0	36.11118634274932	693.7882032081723	74.39092430723451	0.0	780.64012490242	764.8006303811256	760.5482861735778	0.0	0.0	0.0	46.47567609878283	0.0	1263.3335319706812	192.88810220800144	74.18122473202033	127.54085292945396	193.5157343177826	0.0	1337.1632329635497	212.18600551683613	542.981252857796	120.19437146929035	0.0	15775.535726207285
hsa-miR-340-5p	248.5012269748082	0.0	176.9598301185631	0.0	0.0	0.0	144.83998714103527	977.6763891152028	0.0	0.0	831.2178464718173	152.60962458032355	0.0	164.92669008625666	643.6266965160206	1177.127893239618	1201.071581051219	276.9754283227159	1176.4006892044442	1492.595702166972	502.3983540472972	297.56369722893805	649.7741788601878	91.84001469440234	428.7518685469947	103.71112993276061	0.0	653.9271961055003	0.0	359.57496771163557	0.0	381.38370776473397	624.0497424376517	534.1048180705463	829.0155440414508	550.7755515198428	466.48384269599387	0.0	81.61000212186005	114.31184270690443	206.04749394735487	0.0	15539.85353742305
hsa-miR-223-3p	248.5012269748082	0.0	0.0	0.0	149.52525730804695	0.0	113.04584362227143	0.0	0.0	0.0	494.2376384427022	101.7397497202157	0.0	98.956014051754	699.5942353435007	1130.2133757554302	1810.9907433037913	276.9754283227159	1414.057394094231	1456.4845158242226	478.4746229021878	278.96596615212945	1673.6607637307866	275.52004408320704	57.93944169553982	86.42594161063384	0.0	581.2686187604447	0.0	51.36785253023365	0.0	274.11953995590255	181.5417432545896	956.9377990430621	988.4416102032682	104.20078001726756	395.8044725905403	198.09825673534073	32.64400084874402	171.46776406035664	283.3153041776129	0.0	15064.515945115536
hsa-miR-2110	403.81449383406334	411.6920543433511	1120.7455907508995	504.84652665589664	274.12963839808606	158.78056525881232	377.99703961197014	0.0	198.40285700114083	334.7840642785403	381.91090243299715	228.9144368704853	252.0478890989288	923.5894644830373	391.7727717923604	268.6922365003476	225.20092144710358	356.11126498634906	534.7275860020201	228.7041801707457	227.2754458785392	781.1047052259624	278.1230386787925	367.36005877760937	475.1034219034265	103.71112993276061	0.0	0.0	674.3088334457182	198.13314547375836	0.0	595.9120433823969	260.96625592847255	385.7423686065057	207.2538860103627	848.492065854893	692.6578270334455	0.0	277.47400721432416	257.20164609053495	429.26561239032264	0.0	14636.949975744963
hsa-miR-379-5p	0.0	0.0	471.89288031616826	0.0	99.68350487203129	0.0	10.598047839587947	0.0	0.0	0.0	606.5643744524072	279.7843117305932	378.07183364839324	610.2287533191496	223.87015530992022	1522.5893401686362	520.7771308464271	237.40750999089937	487.19624502406276	415.2786429416172	358.85596717664083	706.7137809187279	1238.016711994979	183.68002938880468	57.93944169553982	25.927782483190153	1705.9024223814397	435.95146407033354	0.0	19.568705725803294	0.0	35.75472260294381	351.73712755576736	504.43232817773816	813.072937425269	714.5196344041203	56.5434960843629	0.0	0.0	1000.2286236854137	437.8509246381291	0.0	14510.638830869097
hsa-miR-19b-3p	559.1277606933185	0.0	707.8393204742524	201.93861066235866	623.0219054501956	158.78056525881232	233.15705247093484	0.0	0.0	0.0	449.3069440388202	254.34937430053924	0.0	0.0	475.7240800335805	635.4784641039967	736.594680566568	395.6791833181656	297.0708811122334	890.7425964544833	693.7882032081723	446.34554584340714	452.87291253891874	0.0	648.921746990046	259.2778248319015	0.0	0.0	0.0	1037.1414034675747	0.0	309.87426255884634	340.3907686023555	689.8853900077889	653.6468712634515	640.0905058203579	367.53272454835883	0.0	571.2700148530204	85.73388203017832	377.7537389034839	0.0	14193.33721440612
hsa-miR-130b-5p	93.18796011555307	0.0	117.97322007904206	0.0	0.0	158.78056525881232	84.78438271670358	0.0	0.0	0.0	741.3564576640532	406.9589988808628	0.0	280.3753731466363	615.6429271022806	631.2135079690705	262.7344083549542	237.40750999089937	992.2167429148595	517.5936709127403	562.2076819100706	688.1160498419193	487.33063414514083	596.9600955136152	23.17577667821593	34.570376644253535	0.0	0.0	0.0	75.82873468748777	0.0	274.11953995590255	578.6643066240043	600.8679203293646	860.9007572738142	416.80312006907025	537.1632128014476	247.6228209191759	0.0	743.0269775948788	412.09498789470973	1733.1022530329287	14012.780971022468
hsa-miR-381-3p	124.2506134874041	411.6920543433511	353.9196602371262	403.8772213247173	224.28788596207042	0.0	81.2517001035076	0.0	0.0	0.0	471.77229124076115	127.17468715026962	0.0	0.0	363.78900237862035	1829.6661818833193	816.3533402457505	138.48771416135796	415.89923355712676	975.0020312542317	311.0085048864221	390.5523526129812	1452.1468391193591	0.0	57.93944169553982	34.570376644253535	0.0	0.0	0.0	70.93655825603695	0.0	47.672963470591746	476.5470760432977	1083.0458810874966	1578.3180550019927	654.9763315371104	325.12510248508664	0.0	48.966001273116035	142.88980338363052	240.3887429385807	0.0	13652.507647765111
hsa-miR-148b-3p	403.81449383406334	617.5380815150268	530.8794903556893	0.0	224.28788596207042	158.78056525881232	220.7926633247489	814.730324262669	148.80214275085564	0.0	247.1188192213511	50.86987486010785	0.0	791.648112414032	391.7727717923604	739.9698894096874	635.7234345017195	276.9754283227159	326.77796922345675	829.0526531189532	478.4746229021878	241.7705039985122	627.622786399045	367.36005877760937	324.460873495023	267.9204189929649	0.0	0.0	0.0	403.60455559469295	0.0	405.22018950002985	419.8152812762384	445.08734839212195	733.3599043443603	148.85825716752507	296.8533544429052	99.04912836767036	244.83000636558015	285.77960676726104	403.5096756469033	0.0	13603.111172558953
hsa-miR-98-5p	124.2506134874041	0.0	0.0	0.0	9.96835048720313	158.78056525881232	42.03892309703219	0.0	0.0	0.0	699.7955653404623	635.8734357513481	705.7340894770007	1116.5536918839575	279.83769413740026	288.9507781412468	248.6593507645102	163.21766311874333	353.51434852355777	532.3390720026963	176.43751719518175	379.39371396689603	439.08982389642995	1469.4402351104375	0.0	50.99130555027397	1023.5414534288639	0.0	674.3088334457182	174.03917654886305	0.0	166.8553721470711	181.5417432545896	66.7631022588183	286.9669190912714	223.28738575128762	197.90223629527014	1040.0158478605388	6.528800169748805	1328.875171467764	283.3153041776129	0.0	13528.808083088012
hsa-miR-199a-3p	144.9590490686381	548.9227391244682	235.94644015808413	0.0	33.22783495734376	158.78056525881232	51.812678326874405	0.0	0.0	0.0	164.74587948090073	1034.3541221555263	0.0	351.8436055173475	298.493540413227	969.566694673212	900.8036857884142	244.00216304620207	800.110906462282	680.0940094551123	350.88139012827105	247.96974769078173	1012.4006776685244	153.06669115733726	177.6809545329888	28.808647203544613	909.8146252701011	0.0	299.6928148647636	65.22901908601098	0.0	214.52833561766286	242.0556576727861	806.102642087954	765.2451175767238	238.17321146804014	160.20657223902822	0.0	174.10133785996814	495.35131839658584	286.1770749268818	0.0	13245.1497493344
hsa-miR-654-3p	124.2506134874041	0.0	235.94644015808413	0.0	49.841752436015646	0.0	10.598047839587947	0.0	0.0	0.0	494.2376384427022	483.26381117102454	0.0	313.36071116388763	335.80523296488036	2055.7088570344054	412.86835598635656	138.48771416135796	594.1417622244668	499.5380777413656	287.0847737413127	688.1160498419193	2013.3154481349757	91.84001469440234	57.93944169553982	34.570376644253535	0.0	0.0	449.53922229714544	19.568705725803294	0.0	131.1006495441273	158.8490253477659	1357.5164125959718	669.5894778796333	491.23224865283277	127.22286618981651	0.0	65.28800169748804	457.2473708276177	214.63280619516132	0.0	13062.701906517306
hsa-miR-3158-3p	186.37592023110614	1235.0761630300535	648.8527104347313	403.8772213247173	897.1515438482817	873.2931089234678	399.193135291146	0.0	396.80571400228166	0.0	224.6534720194101	127.17468715026962	0.0	0.0	167.90261648244018	260.1623242304953	276.8094659453982	474.81501998179874	47.53134097795734	108.33355902824798	370.81783274919553	390.5523526129812	157.5210130570152	137.76002204160352	521.4549752598584	241.99263650977477	0.0	0.0	0.0	474.5411138507299	542.0054200542005	95.34592694118349	317.6980506955318	333.81551129409144	127.54085292945396	148.85825716752507	805.7448192021712	247.6228209191759	718.1680186723685	57.155921353452214	334.82717766445165	0.0	12751.430725876566
hsa-miR-493-3p	0.0	411.6920543433511	412.9062702766472	706.7851373182552	74.76262865402347	317.56113051762463	24.728778292371878	0.0	0.0	0.0	292.0495136252331	254.34937430053924	252.0478890989288	676.1994293536524	83.95130824122009	1066.239033731538	638.0692774334601	158.27167332726626	243.59812251203138	589.8160435982389	287.0847737413127	297.56369722893805	1306.9321552074232	183.68002938880468	0.0	0.0	1023.5414534288639	0.0	0.0	44.02958788305741	0.0	47.672963470591746	363.0834865091792	600.8679203293646	478.2781984854523	699.6338086873678	113.0869921687258	0.0	32.64400084874402	571.5592135345221	188.87686945174195	0.0	12441.562814988469
hsa-miR-652-3p	0.0	0.0	117.97322007904206	0.0	49.841752436015646	0.0	95.38243055629152	0.0	0.0	334.7840642785403	67.39604160582303	101.7397497202157	0.0	362.8387181897647	83.95130824122009	963.8800864933104	2078.416837522227	148.3796937443121	897.1540609589449	1011.113217596981	370.81783274919553	316.1614283057467	1287.2420285752962	91.84001469440234	0.0	0.0	0.0	0.0	0.0	83.166999334664	0.0	143.01889041177523	45.3854358136474	1498.4607395868104	494.2208051016341	312.6023400518027	367.53272454835883	0.0	195.86400509246414	0.0	532.2893593640001	0.0	12051.453785052483
hsa-miR-654-5p	62.12530674370205	0.0	353.9196602371262	0.0	174.44613352605475	0.0	0.0	0.0	0.0	0.0	696.4257632601713	559.5686234611863	0.0	1006.0528095261657	139.91884706870013	750.6322797470027	164.20900522184635	178.05563249317453	398.07498069039275	282.8709596848697	346.89410160408613	371.9546215361726	804.8339260881871	321.44005143040823	104.29099505197168	0.0	0.0	871.9029281406671	0.0	46.47567609878283	0.0	59.59120433823968	408.4689223228266	764.0666147398093	876.843363889996	774.0629372711304	70.67937010545361	99.04912836767036	146.8980038193481	657.2930955647005	343.41248991225814	0.0	11834.4574319421
hsa-miR-320c	352.5611157705091	1317.4145738987236	1549.6625123239885	888.529886914378	520.4903004389633	204.1464410470444	141.50917210573624	0.0	0.0	0.0	259.9561604796031	356.8158365187565	151.22873345935727	325.7694811799013	271.84233144776033	78.96261644091847	88.11432878843021	164.06554708299652	56.698099595134835	60.271289586350655	231.46209882893336	145.06230239910732	104.69170008421044	596.9600955136152	427.86898181639606	532.2191794803414	0.0	106.56591343941486	128.4397777991844	287.7123903453597	0.0	437.73996101032634	93.85059762893516	207.00094139506626	154.64328417696294	380.54550171612306	133.6849800280294	297.14738510301106	344.6273803888833	108.5962505715592	231.80343069077423	0.0	11738.660579494788
hsa-miR-28-5p	124.2506134874041	0.0	0.0	0.0	99.68350487203129	0.0	35.32682613195983	0.0	0.0	0.0	336.9802080291151	356.0891240207549	0.0	214.40469711213365	391.7727717923604	682.3929815881843	1168.22978000685	415.4631424840739	1027.8652486483277	746.297851083486	466.5127573296331	185.9773107680863	718.6896220726319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.79250342649425	329.04440964894366	660.2129001149808	271.0243124750897	282.83068861829764	480.6197167170846	198.09825673534073	81.61000212186005	0.0	377.7537389034839	1733.1022530329287	11706.02522122154
hsa-miR-339-5p	155.31326685925512	0.0	117.97322007904206	0.0	174.44613352605475	0.0	14.13073045278393	0.0	198.40285700114083	0.0	179.72277761552806	127.17468715026962	0.0	511.27273926739565	111.93507765496011	725.0425429374459	1689.0069108532768	326.43532623748666	879.3298080922109	839.5850824689218	155.50425244321104	316.1614283057467	1174.0238004405664	0.0	23.17577667821593	17.285188322126768	682.360968952576	0.0	0.0	12.23044107862706	0.0	393.3019486323819	170.19538430117774	971.7740439894662	191.31127939418093	297.71651433505014	141.35874021090723	0.0	228.50800594120815	371.5134887974394	420.6803001425162	0.0	11616.872722161172
hsa-miR-30c-5p	62.12530674370205	0.0	117.97322007904206	0.0	0.0	0.0	137.77462191464332	0.0	0.0	0.0	359.4455552310561	305.2192491606471	0.0	643.214091336401	111.93507765496011	614.1536834293659	1243.296753822551	366.0032445693032	392.1335630681481	965.9742346685443	370.81783274919553	297.56369722893805	1868.1007642230397	0.0	231.75776678215928	86.42594161063384	0.0	508.6100414153891	0.0	100.28961684474189	542.0054200542005	333.7107442941422	170.19538430117774	222.54367419606098	302.90952570745316	74.42912858376253	409.940346611631	0.0	152.33867062747208	0.0	386.3390511512904	0.0	11377.22620805965
hsa-miR-501-3p	0.0	1440.922190201729	471.89288031616826	504.84652665589664	672.8636578862113	714.5125436646555	243.75510031052278	0.0	496.0071425028521	0.0	202.18812481746906	50.86987486010785	0.0	313.36071116388763	195.8863858961802	119.41877177793226	145.44226176792108	217.6235508249911	178.24252866734005	93.28723138543575	311.0085048864221	334.7591593825553	140.29215225390416	275.52004408320704	533.0428635989664	397.5593314089157	0.0	0.0	0.0	225.04011584673788	542.0054200542005	119.18240867647935	272.3126148818844	229.961796669263	95.65563969709046	327.4881657685552	636.1143309490826	0.0	228.50800594120815	171.46776406035664	206.04749394735487	0.0	11107.085294805483
hsa-miR-363-3p	590.1904140651694	411.6920543433511	412.9062702766472	201.93861066235866	0.0	0.0	494.57556584743753	0.0	347.20499975199647	0.0	426.84159683687915	76.30481229016178	252.0478890989288	0.0	139.91884706870013	396.64092054813216	619.3025339795348	425.35512206702805	95.06268195591468	358.1025978989308	777.5212622160551	427.7478147665985	396.2637984715539	91.84001469440234	405.57609186877875	198.77966570445784	0.0	145.31715469011118	0.0	670.2281711087628	0.0	357.5472260294381	249.6198969750607	356.06987871369756	271.0243124750897	74.42912858376253	296.8533544429052	0.0	326.4400084874402	228.62368541380886	351.99780216006457	0.0	10873.964183493157
hsa-miR-1273h-3p	62.12530674370205	823.3841086867022	176.9598301185631	0.0	0.0	0.0	63.588287037527685	325.89212970506765	0.0	0.0	202.18812481746906	203.4794994404314	1008.1915563957152	362.8387181897647	223.87015530992022	349.7264030639445	314.34295285324873	178.05563249317453	243.59812251203138	294.90802179911947	251.1991770236486	464.94327692021574	322.42582360107804	183.68002938880468	57.93944169553982	0.0	0.0	0.0	1123.8480557428636	4.892176431450824	0.0	452.8931529706216	170.19538430117774	660.2129001149808	478.2781984854523	193.5157343177826	268.5816064007238	445.7210776545166	0.0	57.155921353452214	60.09718573464517	0.0	10028.727991303336
hsa-miR-92b-5p	124.2506134874041	1029.230135858378	0.0	807.7544426494346	498.41752436015645	0.0	197.83022633897502	651.7842594101353	694.4099995039929	0.0	157.25743041358706	152.60962458032355	378.07183364839324	214.40469711213365	0.0	29.854692944483066	9.383371726962649	59.35187749772484	41.58992335571268	24.07412422849955	71.77119343532817	223.17277292170357	27.07392411917449	505.1200808192129	370.81242685145486	138.28150657701414	682.360968952576	1017.2200828307782	0.0	68.49047004031154	0.0	83.42768607353555	90.7708716272948	74.18122473202033	0.0	29.771651433505017	70.67937010545361	297.14738510301106	293.7960076386962	457.2473708276177	188.87686945174195	0.0	9760.476640656723
hsa-miR-485-3p	0.0	0.0	0.0	0.0	74.76262865402347	0.0	38.85950874515581	0.0	0.0	0.0	269.5841664232921	661.308373181402	0.0	296.868042155262	727.5780047572407	328.40162238931373	56.300230361775895	158.27167332726626	35.648505733468006	36.11118634274932	263.1610425962033	167.37957969127766	359.34481103631595	183.68002938880468	0.0	43.21297080531692	1023.5414534288639	363.2928867252779	449.53922229714544	29.353058588704943	0.0	297.95602169119843	226.927179068237	178.03493935684878	446.39298525308885	744.2912858376254	56.5434960843629	1139.0649762282092	0.0	514.4032921810699	197.4621816995484	0.0	9367.27535402905
hsa-miR-6852-5p	0.0	0.0	176.9598301185631	0.0	124.60438109003911	0.0	0.0	0.0	0.0	0.0	134.79208321164606	534.1336860311324	252.0478890989288	494.78007025876997	167.90261648244018	528.8545607308429	886.7286281979704	148.3796937443121	522.8447507575307	367.13039448461814	131.58052129810164	185.9773107680863	578.3974698187277	551.0400881664141	81.11521837375575	17.285188322126768	0.0	217.97573203516677	0.0	24.46088215725412	0.0	71.50944520588762	158.8490253477659	1068.2096361410927	366.67995217218015	148.85825716752507	169.63048825308869	0.0	0.0	171.46776406035664	240.3887429385807	0.0	8522.584306432904
hsa-miR-433-3p	62.12530674370205	1235.0761630300535	825.8125405532944	403.8772213247173	0.0	0.0	0.0	0.0	99.20142850057042	0.0	44.930694403882015	356.0891240207549	756.1436672967865	362.8387181897647	111.93507765496011	204.7178944764553	178.28406281229033	98.9197958295414	184.1839462895847	153.47254195668464	251.1991770236486	204.57504184489494	561.1686090156167	229.60003673600588	92.70310671286371	0.0	0.0	0.0	0.0	29.353058588704943	0.0	0.0	158.8490253477659	318.97926634768737	207.2538860103627	669.8621572538628	70.67937010545361	0.0	0.0	428.6694101508916	163.1209327083226	0.0	8463.621260929123
hsa-miR-197-3p	124.2506134874041	0.0	0.0	0.0	199.36700974406259	0.0	204.89559156536697	0.0	0.0	0.0	224.6534720194101	839.3529351917795	252.0478890989288	577.2434153018983	251.85392472366027	170.59824539704607	173.592376948809	89.02781624658726	297.0708811122334	105.32429349968552	251.1991770236486	111.58638646085178	349.4997477202525	872.4801395968223	254.93354346037523	34.570376644253535	0.0	0.0	0.0	58.70611717740989	0.0	429.0566712353257	204.2344611614133	259.6342865620711	111.59824631327221	550.7755515198428	212.03811031636087	396.19651347068145	0.0	714.4490169181527	120.19437146929035	0.0	8440.431181386899
hsa-miR-107	486.6482361589994	617.5380815150268	432.56847362315426	302.907915993538	166.1391747867188	714.5125436646555	104.80291752481416	108.6307099016892	198.4028570011408	167.39203213927016	179.72277761552806	16.956624953369282	378.07183364839324	49.478007025877	93.27923137913342	83.87747065354768	161.08121464619214	138.48771416135796	140.6135503931238	131.40459474722667	203.35171473342982	241.7705039985122	121.42244756478257	122.4533529258698	231.75776678215928	172.85188322126766	0.0	169.53668047179636	0.0	251.94708621971742	542.0054200542005	83.42768607353557	151.2847860454913	126.10808204443457	95.65563969709048	168.70602478986174	174.34244626011892	0.0	342.76200891181225	38.10394756896814	151.67384971124736	0.0	8061.677288607054
hsa-miR-181a-2-3p	0.0	0.0	294.93305019760516	504.84652665589664	174.44613352605475	158.78056525881232	88.31706532989956	0.0	0.0	0.0	336.9802080291151	228.9144368704853	252.0478890989288	527.7654082760213	55.967538827480055	183.39311380182454	323.7263245802114	267.0834487397618	368.3678925791694	331.0192081418688	299.0466393138674	316.1614283057467	457.7954441969505	0.0	57.93944169553982	69.14075328850707	0.0	0.0	0.0	83.166999334664	0.0	143.01889041177523	249.6198969750607	430.2511034457179	414.5077720207254	74.42912858376253	169.63048825308869	0.0	163.2200042437201	485.8253315043438	309.0712409210323	0.0	7819.413372407636
hsa-miR-4508	155.31326685925512	411.6920543433511	943.7857606323365	1413.5702746365105	398.73401948812517	396.9514131470308	88.31706532989956	325.89212970506765	99.20142850057042	0.0	247.1188192213511	50.86987486010785	0.0	32.98533801725133	139.91884706870013	29.854692944483066	14.075057590443974	158.27167332726626	0.0	24.07412422849955	263.1610425962033	111.58638646085178	24.612658290158627	0.0	347.63665017323893	198.77966570445784	0.0	0.0	0.0	85.61308755038941	0.0	357.5472260294381	102.11723058070665	192.87118430325285	47.82781984854523	29.771651433505017	113.0869921687258	198.09825673534073	163.2200042437201	0.0	60.09718573464517	0.0	7226.652881753431
hsa-miR-17-5p	62.12530674370205	0.0	0.0	0.0	149.52525730804695	158.78056525881232	125.41023276845738	0.0	0.0	0.0	157.25743041358706	330.654186590701	504.0957781978576	164.92669008625666	83.95130824122009	183.39311380182454	365.9514973515433	276.9754283227159	241.61764997128316	290.89566776103624	322.97037045897673	74.39092430723451	386.0085241839878	0.0	92.70310671286371	17.285188322126768	0.0	0.0	0.0	297.60739957992513	0.0	357.5472260294381	204.2344611614133	249.74345659780172	334.7947389398166	59.543302867010034	310.9892284639959	544.7702060221869	97.93200254623207	200.04572473708274	351.99780216006457	0.0	6998.123775907202
hsa-miR-181b-5p	279.56388034665923	0.0	117.97322007904206	0.0	174.44613352605475	0.0	35.32682613195983	325.89212970506765	0.0	0.0	336.98020802911515	254.34937430053924	0.0	181.41935909488234	0.0	424.3631354251521	441.0184711672445	39.567918331816564	748.6186204028281	285.88022521343214	538.2839507649612	74.39092430723451	351.9610135492684	275.52004408320704	127.46677173018762	129.63891241595076	0.0	0.0	0.0	29.353058588704943	0.0	357.5472260294381	215.58082011482514	407.99673602611176	207.2538860103627	148.85825716752507	141.35874021090723	0.0	65.28800169748804	0.0	103.02374697367743	0.0	6818.921591423642
hsa-miR-199b-3p	72.47952453431905	274.4613695622341	117.97322007904206	0.0	16.61391747867188	79.39028262940616	25.906339163437202	0.0	0.0	0.0	82.37293974045036	517.1770610777631	0.0	175.92180275867375	149.2467702066135	484.783347336606	450.4018428942071	122.00108152310104	400.055453231141	340.04700472755616	175.44069506413553	123.98487384539087	501.27780717623045	76.53334557866863	88.8404772664944	14.404323601772306	454.9073126350506	0.0	149.8464074323818	32.61450954300549	0.0	107.26416780883143	121.02782883639306	403.051321043977	382.6225587883619	119.08660573402007	80.10328611951411	0.0	87.05066892998407	133.3638164913885	143.0885374634409	0.0	6503.3405003022635
hsa-miR-22-5p	186.37592023110614	411.6920543433511	117.97322007904206	0.0	0.0	0.0	45.92487397154777	0.0	347.20499975199647	0.0	179.72277761552806	152.60962458032355	1008.1915563957152	395.824056207016	139.91884706870013	315.60675398453526	159.51731935836503	128.59573457840384	130.71118768938268	201.62079041368372	131.58052129810164	37.19546215361726	113.21822813472969	0.0	150.64254840840354	146.92410073807753	0.0	0.0	449.53922229714544	124.750499001996	0.0	47.672963470591746	90.7708716272948	356.06987871369756	95.65563969709046	59.543302867010034	197.90223629527014	0.0	114.25400297060408	228.62368541380886	51.51187348683872	0.0	6317.344752842975
hsa-miR-29a-3p	62.12530674370205	0.0	0.0	0.0	0.0	0.0	176.63413065979913	0.0	0.0	251.08804820890526	269.5841664232921	76.30481229016178	0.0	65.97067603450266	167.90261648244018	243.10249969079067	755.3614240204932	138.48771416135796	398.07498069039275	484.49175009855344	239.2373114510939	74.39092430723451	475.02430500006153	91.84001469440234	173.81832508661947	155.5666948991409	0.0	0.0	0.0	161.44182223787718	0.0	214.52833561766286	124.80994848753035	363.48800118689957	239.13909924272616	133.97243145077258	438.21209465381247	0.0	97.93200254623207	57.155921353452214	145.9503082127097	0.0	6275.635665932619
hsa-miR-1843	0.0	0.0	0.0	0.0	74.76262865402347	0.0	28.26146090556786	0.0	0.0	0.0	112.32673600970504	76.30481229016178	0.0	247.39003512938498	55.967538827480055	255.89736809556913	295.5762093993235	59.35187749772484	190.12536391182937	282.8709596848697	0.0	92.98865538404316	226.43645626945937	275.52004408320704	127.46677173018762	25.927782483190153	2047.0829068577277	363.2928867252779	0.0	12.23044107862706	0.0	47.672963470591746	136.1563074409422	289.30677645487924	191.31127939418093	178.62990860103008	84.81524412654434	0.0	32.64400084874402	314.3575674439872	120.19437146929035	0.0	6244.869354267552
hsa-miR-106b-5p	186.37592023110614	0.0	117.97322007904206	201.93861066235866	124.60438109003911	555.7319784058432	173.10144804660314	488.8381945576014	0.0	0.0	44.930694403882015	0.0	0.0	0.0	223.87015530992022	166.33328926211993	239.27597903754756	118.70375499544969	83.17984671142536	120.37062114249774	191.38984916087512	260.3682350753208	59.07037989638071	0.0	104.29099505197168	69.14075328850707	0.0	145.31715469011118	0.0	508.78634887088566	0.0	83.42768607353555	79.42451267388294	215.12555172285894	143.4834595456357	178.62990860103008	226.1739843374516	544.7702060221869	261.15200678995217	0.0	300.4859286732258	0.0	6216.265054409249
hsa-miR-340-3p	0.0	0.0	0.0	0.0	0.0	0.0	63.588287037527685	0.0	0.0	0.0	359.4455552310561	178.04456201037746	0.0	247.39003512938498	251.85392472366027	285.7520610400522	286.19283767236084	197.8395916590828	469.37199215732875	457.4083603414914	23.92373114510939	260.3682350753208	489.7918999741567	551.0400881664141	0.0	51.85556496638031	0.0	581.2686187604447	0.0	63.59829360886071	0.0	95.34592694118349	215.58082011482514	44.508734839212195	159.42606616181746	0.0	141.35874021090723	0.0	32.64400084874402	457.2473708276177	223.21811844296778	0.0	6188.063417086283
hsa-miR-1301-3p	93.18796011555307	0.0	0.0	0.0	74.76262865402347	0.0	14.13073045278393	0.0	0.0	0.0	89.86138880776403	101.7397497202157	0.0	280.3753731466363	363.78900237862035	247.36745582571683	333.10969630717403	108.81177541249555	522.8447507575307	328.00994261330635	287.0847737413127	55.79319323042589	457.7954441969505	0.0	69.52733003464779	0.0	0.0	0.0	0.0	61.1522053931353	0.0	166.8553721470711	204.2344611614133	378.32424613330363	430.4503786369071	357.25981720206016	296.8533544429052	148.57369255150553	0.0	428.6694101508916	188.87686945174195	0.0	6089.4410026660935
hsa-miR-1260b	0.0	411.6920543433511	0.0	0.0	49.841752436015646	0.0	7.065365226391965	0.0	0.0	0.0	415.60892323590866	483.26381117102454	1449.2753623188407	536.0117427803342	83.95130824122009	91.69655690091227	143.09641883618042	19.783959165908282	0.0	21.064858699937105	119.61865572554694	0.0	84.91367110104727	91.84001469440234	11.587888339107964	25.927782483190153	0.0	0.0	674.3088334457182	0.0	0.0	190.69185388236698	56.73179476705925	63.05404102221727	95.65563969709046	133.97243145077258	56.5434960843629	396.19651347068145	0.0	200.04572473708274	120.19437146929035	0.0	6033.634825725962
hsa-miR-425-3p	0.0	0.0	0.0	403.8772213247173	0.0	0.0	10.598047839587947	0.0	0.0	0.0	134.79208321164606	178.04456201037746	0.0	65.97067603450266	55.967538827480055	507.5297800562121	713.1362512491613	69.24385708067898	659.4973560691582	412.26937741305477	179.42798358832042	37.19546215361726	689.1544321244415	0.0	0.0	43.21297080531692	0.0	0.0	0.0	51.36785253023365	0.0	59.59120433823968	68.0781537204711	934.683431623456	143.4834595456357	104.20078001726756	183.76636227417941	148.57369255150553	32.64400084874402	0.0	103.02374697367743	0.0	5989.3302842116855
hsa-miR-155-5p	0.0	0.0	0.0	0.0	0.0	0.0	60.055604424331705	0.0	0.0	0.0	336.9802080291151	50.86987486010785	0.0	313.36071116388763	195.8863858961802	119.41877177793226	234.58429317406623	98.9197958295414	118.82835244489335	282.8709596848697	59.80932786277347	167.37957969127766	315.0420261140304	0.0	0.0	17.285188322126768	0.0	1671.1472789362786	899.0784445942909	14.676529294352472	0.0	47.672963470591746	90.7708716272948	126.10808204443454	159.42606616181746	59.543302867010034	113.0869921687258	0.0	32.64400084874402	200.04572473708274	188.87686945174195	0.0	5974.368205477499
hsa-miR-495-3p	62.12530674370205	0.0	412.9062702766472	0.0	0.0	0.0	10.598047839587947	0.0	0.0	0.0	44.930694403882015	127.17468715026962	0.0	280.3753731466363	139.91884706870013	567.2391659451782	107.90877486007047	98.9197958295414	166.3596934228507	291.89875627055704	586.13141305518	74.39092430723451	563.6298748446326	0.0	81.11521837375575	0.0	0.0	0.0	449.53922229714544	41.583499667332	0.0	143.01889041177523	249.6198969750607	163.19869441044472	430.4503786369071	342.37399148530767	141.35874021090723	0.0	81.61000212186005	142.88980338363052	137.36499596490324	0.0	5938.630959103698
