name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
hsa-let-7i-5p	11959.121548162644	11115.685467270481	11738.335397864685	5149.434571890146	6005.931168539885	10042.87075261988	6417.117966870502	23056.868176633532	19914.686771489512	13140.274522932708	24015.45615887494	36448.26533726727	43667.296786389416	61080.599673445155	15670.910871694416	34917.195876640406	22379.341568805918	12543.03011118585	26275.919434377043	40993.71966284189	20927.28381918444	18272.27078296448	22041.866131751558	42131.606741057076	7120.7573843818445	5388.657459423021	31388.60457181849	39235.631766330014	45515.846257585974	15860.43599076357	15176.151761517614	13282.879446993626	15987.019765357296	16738.993360780387	17178.15862893583	12920.896722141177	17210.426620677958	36970.08716323296	10511.368273295575	43195.58756287151	19265.44068407768	28596.187175043327	931448.2198959817
hsa-let-7a-5p	10109.340539868917	2923.0135858377935	2509.8802571816195	1601.0846988229864	2640.3668352979294	19375.765549153926	4710.1257281742055	15593.938406387486	11078.319527801203	7570.304653498495	34491.3684926715	39707.75256892867	53345.93572778828	81598.89357751916	13281.096963761016	8962.592069740558	7445.336832884154	22628.39789498672	11056.299175840495	13601.020398951245	16574.95903061041	23102.234384547955	17216.114962210744	68014.41888230704	4803.179716560249	6164.2068197475855	32309.79187990447	48434.72664805222	38547.98831198021	17667.5710204241	19579.945799457997	11931.18067201853	14819.31733820903	7324.654130039691	9438.02311677959	13353.86159584559	10558.58915899627	34127.37717908081	12748.881360042342	44034.55483702398	28608.40673775308	29462.738301559788	873053.5553682483
hsa-miR-126-3p	12766.750535830772	15232.606010703992	11089.482687429954	5250.403877221325	3538.764422957111	7065.7351540171485	4518.301062277662	1303.5685188202706	992.0142850057042	2594.5764981586876	19814.43623211197	18058.805575338287	12602.394454946441	10769.71286263256	18777.109276619558	64051.11123432095	78609.1966426296	13354.17243698809	56966.31216208188	61753.13791162991	27536.214548020907	15733.680490980101	41989.195043010615	13270.882123341138	13859.114453573126	4857.137918517622	7847.151142954623	12933.226767419894	16857.720836142955	5936.656099565575	8130.081300813008	23109.469042369346	20355.36796242086	35117.39178813842	28106.815464328418	18607.282145940633	16524.836730655057	6933.438985736925	4782.346124340999	10945.358939186099	18819.004447191746	34662.04506065858	806023.0092570285
hsa-miR-26a-5p	6429.969247973162	8851.37916838205	6665.486934465876	3735.864297253635	2965.584269942931	3651.9530009526834	3048.705095188133	3258.921297050676	1091.2157135062746	1088.0482089052562	31631.20886033294	18694.679011089633	15879.017013232515	14991.83612884073	28571.42857142857	46654.35515995718	46837.099975134064	18293.567575409856	52064.642623730026	75556.63889114583	25682.12538427493	25385.90291984378	50810.37177420347	14740.322358451576	4855.325214086237	2177.933728587973	12623.677925622655	13732.471118215506	17307.2600584401	3815.8976165316426	7859.078590785907	22668.494130266372	23974.856468559236	35377.026074700494	38070.94459944201	15496.14457113936	20497.017330581548	11588.748019017432	4994.532129857836	17346.822130772747	24167.653977575166	19064.12478336222	802198.33194824
hsa-miR-24-3p	7889.91395645016	10292.301358583778	14628.679289801215	6966.882067851374	7052.607969696214	4287.075261987933	3200.61044755556	2607.137037640541	2777.6399980159717	1925.008369601607	15546.020263743178	14218.130023400143	6805.293005671078	11033.595566770571	15838.813488176856	30067.940751229373	47170.20967144124	14165.314762790329	43122.8091022518	33068.81889337269	16363.832103254823	12330.295703924121	30472.932229045397	10653.441704550673	7601.654750454824	3923.7377491227767	12623.677925622655	8210.41923999128	11688.019779725782	3629.994912136511	3252.032520325203	13527.203384780407	12537.726643520095	34917.102481361966	18238.34196891192	17297.329482866415	17203.35868366741	8419.17591125198	4749.702123492255	7201.646090534979	15651.024227751164	14731.369150779896	577888.8200531041
hsa-miR-191-5p	4690.460659149505	10292.301358583778	6134.607444110187	6865.9127625201945	3513.843546739103	3255.001587805653	2331.5705247093483	1955.3527782304056	793.6114280045633	2008.704385671242	13209.624154741312	7579.611354156069	2898.5507246376815	10538.815496511801	16034.699874073036	32656.769125129547	56487.89779631515	10861.393582083647	33384.82561939279	34371.83086724023	15873.39561478008	16626.371582666914	49067.79556726024	7163.521146163383	2375.5171095171327	1279.103935837381	5117.707267144319	8355.736394681393	9440.323668240055	3001.35024069508	2439.0243902439024	17388.71342589834	10177.68398121043	43269.90838618745	16931.048226385014	13114.41245645896	17415.39679398377	6834.389857369255	5190.3961349503	5829.903978052126	11615.927471282132	6065.857885615251	534438.8705844281
hsa-let-7f-5p	5373.839033330227	2675.9983532317824	1651.6250811065888	764.4818832217863	971.9141725023051	10233.785479895358	2576.503185890937	3584.813426755744	4414.463568275383	2176.0964178105123	22408.64894471706	21161.867941804863	21424.07057340895	24900.474596184853	10186.09206660137	10359.294121326628	7311.433884204278	11567.02145900104	10420.397735471113	14574.102232201516	9980.1831760348	11742.076038151916	13998.40252127383	27493.839065680917	2908.559973116099	2196.865125321731	21153.190037529854	22710.99531871166	21203.266651682025	9422.471583443757	6775.067750677506	7304.17904602995	13213.105152651751	4364.328721733862	8098.844161020326	8115.610411004736	6316.7162768531125	14560.221870047542	4883.387079349016	27670.270211422474	13869.858113406252	15597.92027729636	462316.2827193817
hsa-miR-151a-3p	4193.458205199889	8027.995059695348	9437.857606323365	4341.680129240711	3513.843546739103	1746.5862178469356	4988.147849832727	1466.5145836728043	595.2085710034225	1673.9203213927017	12311.010266663672	3840.6755519381427	2772.526780088217	7685.58375801956	10130.12452777389	32690.888774208957	35567.670531051925	8447.750563842836	31447.92347454103	30556.08217702305	8780.009330255147	10842.477217779431	33175.402109304814	4086.8806539009042	5736.0047278584425	1227.2483708710006	2047.0829068577277	3124.3188258373902	5844.009889862891	1656.0017220461039	2710.0271002710024	8080.567308265301	7749.563165180293	26579.132821482883	13200.478278198485	10479.621304593766	11011.845862429675	1386.687797147385	3150.146081903798	4172.382258802011	11564.415597795292	3466.2045060658575	395505.9563328079
hsa-miR-128-3p	6461.0319013450135	3087.6904075751336	5308.794903556893	2726.1712439418416	2517.0084980187903	5080.978088281994	3154.685573584012	2607.137037640541	2232.0321412628346	3013.056578506863	15119.178666906299	14116.390273679928	5040.957781978576	9021.489947718239	16818.24541765776	12005.851519817119	10087.124606484847	9051.16131840304	23118.055968154003	18705.59452554415	10215.43319896171	13613.539148223917	17854.022323681067	7117.601138816181	3615.421161801685	2082.8651928162753	5458.887751620607	5522.051878224224	12362.3286131715	3762.083675785683	6504.065040650406	9880.22167928014	10075.566750629721	13515.819146174103	16819.449980071742	13486.558099377773	9796.160696615872	5447.702060221869	6447.1901676269445	11059.670781893003	12980.992118683356	3466.2045060658575	370356.4715104516
hsa-let-7g-5p	4659.398005777653	411.6920543433511	1356.6920309089837	1240.4800369259176	971.9141725023051	16946.044851729195	5335.822697014765	14991.03796643311	11631.36749169188	9039.169735520589	12900.458186105076	12075.2365449181	9325.771896660366	15051.131200752694	4981.110955645725	5395.169510681582	5670.014072823454	7531.9181207876645	6396.5019196437415	9063.922101865928	6794.339645211066	9583.14514200696	6960.313260538466	15466.62380799314	2398.692886195349	1954.0493846061404	24223.814397816444	13753.230711742664	14535.101520941034	15632.978906798917	14905.149051490514	4391.020456809147	7207.909600856705	3958.8046931988174	3754.483858110801	4740.072217520192	3965.280947130485	11836.370839936608	9502.318889917435	14006.602869771592	8970.935856270427	13864.81802426343	367380.91052185843
