name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa-miR-22-3p	29896.703320974677	33987.87440050674	12458.56638051569	11692.486091676024	34979.46984640038	15485.838447346807	30088.22093310444	35508.90606205408	23364.41570160927	13602.465511510904	9812.50390432591	26544.189785872677	115959.48965055149	8803.135415724395	16606.57688228929	418790.8423344628
hsa-let-7g-5p	12093.622592145277	19860.20765196858	17646.74896136257	23881.29395309872	23929.601048985	45117.58007278497	26164.30905559609	18356.79539217248	16511.881485937738	20940.75929391343	58235.685369022845	33015.7843258887	11321.662038242926	21626.442234572674	32089.051690806427	380791.42516649835
hsa-miR-320a-3p	45911.31761937222	26458.086641588136	20109.846080647454	15373.897250265974	28920.911512867697	12906.437263817983	11826.945237099886	33971.952240501734	46900.08880676652	14507.891726953723	8401.247873236509	6221.751069030042	25167.510735237956	14575.643983561145	19587.300076039315	330840.8281169863
hsa-miR-101-3p	11408.113743809377	26252.375350647002	14263.873099629873	5554.4389311777295	11902.526678752503	8457.205705905879	16453.61304455892	10056.737354929777	8768.23582493608	9513.13137364824	54040.98422735256	22464.53501961763	8885.619452169307	7501.93093178766	5520.555576513627	221043.87631543618
hsa-miR-423-3p	12097.628362864598	12984.7977558592	14959.379743548603	23637.40338156198	9691.352668542708	11527.092086646513	11117.316715131192	14335.382029692366	19799.969920288768	23009.681454885733	2547.6935868440937	11595.104294297264	5151.887928209533	19935.566023950512	22417.152245218214	214807.4081975413
hsa-let-7b-5p	13989.369480979949	7810.371610412331	13174.93594302844	10287.767332312389	14499.010468554914	10957.040405365306	19059.04798972106	15378.679277408864	20033.46367874869	15147.439984822357	27512.732018310297	4915.9278761811065	8739.68054225234	14034.59789070346	15382.951533828089	210923.0160326296
hsa-miR-126-3p	18793.991946292554	10460.59180164691	19820.741971824627	21625.574360356804	6450.986634288157	12039.523762423076	4781.5192534913385	11534.21542618926	16077.605654985713	24691.133487677438	12171.545991438954	13097.669273277326	5694.78332445026	14877.742445011932	10607.778079174803	202725.40341252918
hsa-miR-191-5p	11400.08212331951	8772.509275178718	13787.658024206916	24420.4163812924	7028.483357211904	11746.014509893304	7675.462472803074	9727.188342752943	17559.03143329824	16516.74462327629	3142.5331874612675	8259.870476604132	4202.452258504819	16326.81107485057	19427.53327692618	179992.79081758021
hsa-miR-423-5p	14281.225183547627	8662.564473803275	6360.139703439799	5168.330331148453	9876.93515814559	3824.893240041113	15355.240750298723	16894.879357599126	23259.136712287564	25860.126014398793	14382.845621986067	2110.8049622364033	6435.8355403188525	7833.320576426628	9641.111991350104	169947.38961702812
hsa-miR-24-3p	11807.285282155848	10740.204506379512	10897.86726120568	7596.432686760189	6019.0248895283585	6902.036717684954	19562.56180673709	13835.56602789083	13227.553015491052	6684.440488366421	2015.4614070167854	16910.211375205028	13978.98830685382	5608.400075149777	21974.6375401372	167760.67138656258
hsa-miR-27a-3p	10972.030216294886	11927.276566223269	8659.565177776129	3152.2676630131355	6802.587340091689	4065.295774183514	25979.444083813185	18499.599964115772	9206.898280443174	2855.199460984369	2718.769861386525	28590.45376932439	11095.561436641781	4088.1537044897354	12212.50100382508	160825.6043026066
hsa-miR-146a-5p	10938.46473566431	8417.790245226677	7416.570847768889	15989.21436108076	18286.259611765494	17425.096008704215	1251.4852743763024	10507.121004904788	6843.134305910664	12629.969288091397	3399.9422850796427	12308.854529858088	5707.598180896407	9475.047490484507	11851.290308608597	152447.83847842072
hsa-miR-185-5p	14727.783282784321	23707.356800289566	10797.45840730005	10475.57720219231	7367.508757491134	13167.464768138443	7441.428154701196	8933.524471760396	8286.960445179728	5623.681406385738	8630.978870479204	7667.528271235888	4770.661730779561	7050.9452867868595	7868.558162540022	146517.4160180444
