name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-30c-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6727480350786414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7279503829019014	0.0	0.0	1.080453250138433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5695	1.2202450862255683	8.15891186817572	3.067070702113825	3.4200662124818737	0.0	3.0523788205608238	0.0	13.479435436312476	0.0	2.518732019926529	4.759551771375364	5.8530802913232085	4.331073776052086	3.306734785403246	4.667184724171049	2.4906654528823693	5.400581933474801	8.363740175393207	9.521817310247291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.449915368172092	5.823603063215211	1.8318151859677094	0.0	0.0	6.187918517488961	2.872285075114358	0.9556422712431313	1.1899265577328566	6.676718837805807	3.5076248749531733	3.0201686864883692	0.0	2.024031323908769	3.6187174541598965	4.213463913261632	5.188180494724139
hsa-miR-107	156.19137103687268	158.9751615526359	157.95414115886203	226.1043773807461	278.79296747451536	200.77869575244526	179.01964136604997	166.62079914330695	297.2556966510808	156.58117390543268	219.9489833741646	203.3175259091218	243.98382271760093	40.92084296936518	299.47768646764206	359.0709361238753	227.51682350510492	231.39681151921218	255.40291222798692	188.41769769290877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.42468045435857	175.31471721554138	362.33304378441267	202.6874101048053	294.6035862044125	288.29353708403664	381.3300375913725	293.06362984789337	171.54774540648685	112.02050494540856	257.6935074798932	153.6930287124082	102.7990718712368	73.8771433226701	437.2616923776541	305.1250117186962	390.8429306025522
hsa-miR-5690	6.101225431127841	2.2251577822297417	3.067070702113825	3.4200662124818737	0.0	5.08729803426804	3.716670755004497	4.493145145437492	0.0	6.716618719804076	3.461492197363901	4.004739146694827	0.0	10.333546204385144	5.667295736493418	2.179332271272073	4.1542937949806165	6.690992140314566	3.8682382822879617	1.1500571578407446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3374365261290686	6.187578254666161	2.5645412603547935	1.3772643948231387	4.862039625622948	6.663912249603497	4.1032643930205115	6.052401051206498	1.1899265577328566	2.2255729459352693	0.0	1.5100843432441846	0.0	7.084109633680691	0.0	13.693757718100304	3.8046656961310354
hsa-miR-12136	0.0	4.450315564459483	0.0	2.2800441416545825	0.0	0.0	0.0	0.0	4.152582491051184	0.0	0.0	0.0	0.0	0.8266836963508115	0.0	0.0	0.0	3.90307874851683	1.4877839547261391	3.450171473522234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6687182630645343	0.7279503829019014	1.8318151859677094	4.131793184469416	0.0	0.951987464229071	0.0	0.9556422712431313	0.0	0.0	0.0	0.0	0.0	0.0	3.6187174541598965	0.0	0.0
hsa-miR-6511a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8662147552104176	0.0	0.0	0.49813309057647376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.780458356748216	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7327260743870838	0.0	0.0	0.0	0.0	0.6370948474954209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-425-3p	70.77421500108296	57.85410233797328	44.472525180650464	53.58103732888269	58.57906709581257	74.27455130031338	102.20844576262367	47.17802402709367	76.82277608444691	78.50048128771014	89.56611060679094	85.33174951034361	60.6350328647292	19.013725016068665	46.671847241710495	64.134635411721	55.667536852740255	50.182441052359245	166.9293597202728	74.7537152596484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.517618049301724	53.50435314328975	95.25438967032089	60.5996333722181	108.58555163891252	100.91067120828153	124.73923754782355	113.72143027793263	79.13011608923497	38.94752655386721	75.76469729898855	59.900012282019325	42.42501378812948	69.82908067485252	66.94627290195808	127.10616138339256	88.19906841031037
hsa-miR-3163	0.0	0.0	0.0	2.2800441416545825	0.0	0.0	0.0	2.246572572718746	2.076291245525592	0.8395773399755095	0.0	0.0	0.0	1.2400255445262172	0.0	0.9339995448308884	0.0	0.0	0.8926703728356835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3374365261290686	0.0	0.7327260743870838	0.0	0.0	0.951987464229071	2.0516321965102557	0.6370948474954209	1.7848898365992851	0.0	0.0	0.0	0.0	0.0	3.6187174541598965	2.106731956630816	0.0
hsa-miR-6885-3p	0.0	0.0	0.0	0.0	0.0	0.0	3.716670755004497	0.0	0.0	0.8395773399755095	0.0	0.0	0.0	1.2400255445262172	1.333481349763157	0.0	0.8308587589961233	1.1151653567190944	0.5951135818904557	1.1500571578407446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2413597504152993	0.0	0.0	0.6370948474954209	1.1899265577328566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-520c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5951135818904557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-501-3p	72.60458263042132	189.88013075027126	148.75292905252053	199.50386239477598	231.06187576681626	249.27760367913393	219.2835745452653	133.67106807676538	349.8550748710623	105.36695616692646	118.55610775971361	101.65876295456098	246.8712052349689	134.74944250518226	87.67639874692757	181.19591169719237	128.64463118456644	176.1961263616169	260.9573056589648	152.38257341389865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.7990457156493	146.68200215473314	172.92335355535178	160.45130199689567	418.6756344286428	316.37716727879456	193.5373038708008	269.49112049056305	132.0818479083471	89.02291783741076	157.8431193728928	141.69624754107932	79.95483367762864	140.67017701165943	155.60485052887555	270.9491377555744	133.0480064647035
hsa-miR-24-3p	175.71529241648184	315.23068581588007	219.29555520113848	444.6086076226436	218.04430530108013	224.85857311464733	382.81708776546316	383.0406236485462	382.037589176709	267.82517145218753	401.10040836954204	429.4312592686607	382.2172607365966	161.61666263658364	296.0328596474209	341.8438334081052	324.8657747674842	407.0353552024694	515.9634754990251	520.400863922937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389.36759471505803	302.0994089042891	583.6163182493123	426.951962395173	485.12350931215644	377.93902329894115	429.61178194924753	520.5064904037588	348.0535181368606	153.56453326953357	289.0282896961415	242.1168563668176	234.9693071342556	153.82638061706643	425.19930086378787	366.92248244653376	501.1782357903519
hsa-miR-664b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5951135818904557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-133a-3p	1.2202450862255683	1.4834385214864942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8395773399755095	0.0	0.6161137148761272	0.0	0.0	0.6667406748815785	0.6226663632205923	4.1542937949806165	0.0	0.8926703728356835	7.475371525964841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.921795413354593	0.0	0.0	15.231799427665136	1.6413057572082046	2.5483793899816836	12.494228856194995	0.0	0.0	1.0067228954961231	0.0	0.0	5.428076181239845	0.0	2.421150897537932
