name	SRX387062	SRX387063	SRX387064
hsa-miR-185-3p	296.2105592057225	476.28127538923246	37.96496126113761	810.4567958560926
hsa-miR-15b-5p	533.0197535814802	228.39946278456665	32.12419799019336	793.5434143562402
hsa-miR-16-2-3p	148.26453259168156	359.38717646863756	280.3566370053239	788.0083460656431
hsa-miR-24-3p	551.3338472958126	165.39271443020343	26.283434719249115	743.0099964452652
hsa-miR-532-5p	308.7915453225247	202.69934174528692	227.78976756682565	739.2806546346372
hsa-miR-181d-5p	293.662511384598	377.21145396362186	64.24839598038672	735.1223613286065
hsa-miR-19a-3p	664.5096380174257	33.437791889815564	32.12419799019336	730.0716278974346
hsa-miR-339-5p	394.9474122742967	301.7691631708975	23.36305308377699	720.0796285289712
hsa-miR-12136	53.98676321007524	232.5446435973537	394.2515207887367	680.7829275961656
hsa-miR-181c-3p	394.31040031901557	260.73187312430565	20.442671448304868	675.484944891626
hsa-miR-1260b	365.8041153201853	234.82449304438657	55.48725107397035	656.1158594385422
hsa-miR-181a-3p	213.39900501917646	398.3518761088358	43.805724532081854	655.5566056600941
hsa-miR-20a-5p	620.7946925862584	22.798494470328794	0.0	643.5931870565872
hsa-miR-374b-5p	627.4567759519069	7.4613254630166965	5.840763270944247	640.7588646858678
hsa-miR-500a-3p	234.89815850991437	375.55338163850706	14.601908177360619	625.053448325782
hsa-miR-758-3p	311.6580991212898	295.55139195171694	11.681526541888495	618.8910176148953
hsa-miR-11400	474.4146536956169	120.21024357082456	11.681526541888495	606.3064238083299
hsa-miR-122-5p	23.091683378940736	25.700121039279733	537.3502209268707	586.1420253450913
hsa-miR-487b-3p	317.23195372999965	242.07855946676392	23.36305308377699	582.6735662805406
hsa-miR-148a-5p	176.45231161287128	372.2372369882774	29.203816354721237	577.8933649558699
hsa-miR-877-5p	115.93617586116453	198.13964285122117	259.913965557019	573.9897842694047
hsa-miR-4446-3p	221.5209074490108	169.12337716171177	163.54137158643894	554.1856561971615
hsa-miR-4433b-5p	251.77897532486415	234.2027159224685	64.24839598038672	550.2300872277194
hsa-miR-92b-3p	126.76537910094362	71.71162806121603	321.24197990193363	519.7189870640933
hsa-miR-766-3p	287.92940378706794	162.4910878612525	43.805724532081854	494.2262161804023
hsa-miR-127-5p	105.90323756548682	384.25826134535987	0.0	490.1614989108467
hsa-miR-382-5p	228.20953297946258	251.61247533617416	8.761144906416371	488.58315322205306
hsa-miR-345-5p	248.7531685372788	134.30385833430054	102.21335724152433	485.27038411310366
hsa-miR-128-3p	333.63501157848856	68.39548341098639	64.24839598038672	466.27889096986166
hsa-miR-197-3p	140.77964211712836	139.6925933909237	183.9840430347438	464.45627854279587
hsa-miR-29a-3p	395.2659182519373	21.969458307771383	35.044579625665484	452.2799561853742
hsa-miR-374a-3p	261.33415465408103	168.29434099915437	0.0	429.6284956532354
hsa-miR-370-3p	216.26555881794152	201.4557875014508	5.840763270944247	423.56210959033655
hsa-miR-1273h-3p	139.3463652177458	189.43476314436833	87.61144906416371	416.39257742627785
hsa-miR-152-3p	233.30562862171158	163.3201240238099	0.0	396.6257526455215
hsa-miR-376c-3p	249.07167451491938	137.62000298453017	0.0	386.69167749944955
hsa-miR-185-5p	192.69611647253993	152.95717199184227	37.96496126113761	383.6182497255198
hsa-miR-4732-3p	4.459083686967866	7.4613254630166965	370.88846770495974	382.8088768549443
hsa-miR-323b-3p	250.02719244784106	106.53114688862728	20.442671448304868	377.0010107847732
hsa-miR-106b-5p	272.95962283796155	22.798494470328794	75.92992252227522	371.6880398305656
hsa-miR-548k	172.47098689236427	193.5799439571554	0.0	366.05093084951966
hsa-miR-493-3p	181.70766024394055	167.87982291787566	5.840763270944247	355.42824643276043
hsa-miR-342-3p	134.88728153077795	98.24078526305317	116.81526541888495	349.9433322127161
hsa-miR-151b	207.1881384551855	104.87307456351246	36.50477044340155	348.5659834620995
hsa-miR-331-3p	220.56538951608908	87.87783323108553	35.044579625665484	343.4878023728401
hsa-miR-671-3p	163.39356652960825	122.69735205849679	52.56686943849823	338.65778802660327
hsa-miR-421	278.5334774466714	36.892109233804774	17.522289812832742	332.9478764933089
hsa-miR-4433b-3p	32.487609719337314	281.4577771882409	17.522289812832742	331.467676720411
hsa-miR-375-3p	14.810527960286127	8.290361625574107	300.7993084536287	323.90019803948894
hsa-miR-485-5p	65.1344724274949	200.21223325761468	55.48725107397035	320.8339567590799
hsa-miR-335-5p	284.9035969994826	31.917892258460313	0.0	316.8214892579429
hsa-miR-660-5p	180.27438334455803	95.33915869410224	40.885342896609735	316.49888493527004
hsa-miR-454-3p	290.795957585833	6.632289300459286	11.681526541888495	309.10977342818074
hsa-miR-1260a	184.09645507624475	103.83677936031569	20.442671448304868	308.3759058848653
hsa-miR-301b-3p	245.24960278323263	46.011507021936296	5.840763270944247	297.1018730761132
hsa-miR-148b-5p	243.65707289502984	52.64379632239558	0.0	296.30086921742543
hsa-miR-433-3p	166.57862630601386	111.91988194525045	14.601908177360619	293.1004164286249
hsa-miR-24-2-5p	176.77081759051185	112.33440002652915	0.0	289.10521761704103
hsa-miR-589-5p	119.91750058167155	118.96668932698843	32.12419799019336	271.00838789885336
hsa-miR-324-5p	124.69509024627997	122.28283397721808	23.36305308377699	270.34097730727507
hsa-miR-377-5p	53.66825723243468	201.4557875014508	5.840763270944247	260.9648080048297
hsa-miR-338-3p	164.6675904401705	87.87783323108553	0.0	252.54542367125603
