name	SRX387062	SRX387063	SRX387064
hsa-miR-324-3p	501	209	10	720.0
hsa-miR-369-3p	713	5	0	718.0
hsa-miR-136-5p	670	40	0	710.0
hsa-miR-376a-3p	548	158	0	705.66
hsa-miR-485-3p	543	153	7	703.0
hsa-miR-378c	266	430	7	702.9200000000001
hsa-miR-146b-3p	426	227	9	662.0
hsa-miR-505-3p	490	163	5	658.0
hsa-miR-1908-5p	551	88	5	644.0
hsa-miR-654-5p	384	243	11	638.0
hsa-miR-30c-1-3p	405	227	4	636.0
hsa-miR-29b-3p	626	6	0	632.0
hsa-miR-133a-3p	278	332	4	614.0
hsa-miR-362-5p	521	78	0	599.0
hsa-miR-26b-3p	554	35	3	592.0
hsa-miR-323a-3p	433	129	2	564.0
hsa-miR-377-3p	520	37	0	557.0
hsa-let-7f-2-3p	364	183	0	547.0
hsa-miR-1304-3p	489	53	2	544.0
hsa-miR-140-5p	522	16	0	538.0
hsa-miR-194-5p	502	24	2	528.0
hsa-miR-191-3p	401	117	2	520.0
hsa-miR-7977	443	64	12	519.0
hsa-miR-338-5p	450	65	0	515.0
hsa-miR-196b-5p	450	65	0	515.0
hsa-miR-497-5p	432	47	2	481.0
hsa-miR-1185-1-3p	376	102	0	477.5
hsa-miR-10399-3p	410	60	0	470.0
hsa-miR-183-5p	442	22	4	468.0
hsa-miR-501-3p	313	143	7	463.0
hsa-miR-2355-5p	438	25	0	463.0
hsa-miR-494-3p	431	23	0	454.0
hsa-miR-379-5p	410	44	0	454.0
hsa-miR-224-5p	368	79	0	447.0
hsa-miR-154-5p	375	49	0	424.0
hsa-miR-27b-5p	215	178	0	393.0
hsa-miR-122-5p	145	62	184	391.0
hsa-miR-376a-5p	358	21	0	379.0
hsa-miR-99a-5p	209	157	6	372.0
hsa-miR-10399-5p	355	17	0	372.0
hsa-miR-130b-5p	273	96	0	369.0
hsa-miR-98-3p	206	155	0	361.0
hsa-miR-874-3p	207	126	14	347.0
hsa-miR-22-5p	287	52	2	341.0
hsa-miR-125b-5p	212	113	5	330.0
hsa-miR-1468-5p	264	60	3	327.0
hsa-miR-215-5p	277	32	17	326.0
hsa-miR-33b-5p	223	90	4	317.0
hsa-miR-664a-5p	285	32	0	317.0
hsa-miR-1296-5p	264	47	0	311.0
hsa-miR-93-3p	210	86	8	304.0
hsa-miR-539-5p	274	24	0	298.0
hsa-miR-299-3p	260	34	0	294.0
hsa-miR-369-5p	270	20	0	290.0
hsa-miR-5189-5p	172	112	0	284.0
hsa-miR-598-3p	268	12	4	284.0
hsa-miR-7706	146	115	22	283.0
hsa-miR-629-5p	200	72	9	281.0
hsa-miR-548o-3p	253	23	0	276.0
hsa-miR-199b-5p	251	19	0	269.66999999999996
hsa-miR-3120-3p	198	65	0	263.0
hsa-miR-628-3p	231	23	2	256.0
hsa-miR-6842-3p	170	84	2	256.0
hsa-miR-29c-5p	227	28	0	255.0
hsa-miR-454-5p	245	8	0	253.0
hsa-miR-203a-3p	223	13	10	246.0
hsa-miR-100-5p	176	63	3	242.0
hsa-miR-548e-3p	213	27	0	240.0
hsa-miR-1185-5p	207	33	0	240.0
hsa-miR-3677-3p	97	138	4	239.0
hsa-let-7b-3p	72	150	2	224.0
hsa-miR-99b-3p	196	28	0	224.0
hsa-miR-590-3p	220	0	0	220.0
hsa-miR-548e-5p	185	34	0	219.0
hsa-miR-452-5p	86	130	0	216.0
hsa-miR-375-3p	93	20	103	216.0
hsa-miR-340-3p	209	6	0	215.0
hsa-miR-548j-5p	133	64	0	197.0
hsa-miR-487a-3p	167	24	0	191.0
hsa-miR-7849-3p	151	37	0	188.0
hsa-miR-30a-3p	134	52	2	187.5
hsa-miR-550a-3p	131	31	25	187.17000000000002
hsa-miR-128-1-5p	112	68	2	182.0
hsa-miR-942-5p	165	15	0	180.0
hsa-miR-132-3p	154	22	0	176.0
hsa-miR-329-3p	158	17	0	175.0
hsa-miR-4732-3p	28	18	127	173.0
hsa-miR-331-5p	106	59	6	171.0
hsa-miR-320c	58	105	4	167.59
hsa-miR-4523	77	88	0	165.0
hsa-miR-337-3p	163	2	0	165.0
hsa-miR-424-5p	151	11	2	164.0
hsa-miR-409-5p	120	41	0	161.0
hsa-miR-337-5p	157	2	0	159.0
hsa-miR-744-3p	150	8	0	158.0
hsa-miR-374b-3p	145	13	0	158.0
hsa-miR-20b-5p	149	6	2	156.67
hsa-miR-4785	102	53	0	155.0
hsa-miR-378d	68	84	2	153.17000000000002
hsa-let-7i-3p	124	29	0	153.0
hsa-miR-25-5p	55	81	15	151.0
hsa-let-7f-1-3p	55	95	0	150.0
hsa-miR-342-5p	63	44	42	149.0
hsa-miR-4746-5p	118	27	2	147.0
hsa-miR-103a-2-5p	126	20	0	146.0
hsa-miR-502-3p	96	50	0	146.0
hsa-miR-330-5p	132	11	2	145.0
hsa-miR-4286	104	40	0	144.0
hsa-miR-543	105	37	0	142.0
hsa-miR-589-3p	120	22	0	142.0
hsa-miR-652-5p	129	11	0	140.0
hsa-miR-2110	83	45	9	137.0
hsa-miR-145-3p	130	3	0	133.0
hsa-miR-760	71	56	5	132.0
hsa-miR-3613-5p	130	2	0	132.0
hsa-miR-382-3p	117	14	0	131.0
hsa-miR-23a-5p	125	3	2	130.0
hsa-miR-641	113	16	0	129.0
hsa-miR-190b-5p	71	57	0	128.0
hsa-miR-146a-3p	93	30	0	123.0
hsa-miR-4435	112	8	0	120.0
hsa-miR-539-3p	115	5	0	120.0
hsa-miR-18a-3p	97	19	3	119.0
hsa-miR-1197	117	2	0	119.0
hsa-miR-495-3p	110	7	0	117.0
hsa-miR-1287-5p	66	47	3	116.0
hsa-miR-10527-5p	76	35	3	114.0
hsa-miR-2355-3p	92	22	0	114.0
hsa-miR-490-3p	34	80	0	114.0
hsa-miR-2277-5p	59	47	4	110.0
hsa-miR-4645-3p	102	5	0	107.0
hsa-miR-4677-3p	96	11	0	107.0
hsa-miR-411-3p	107	0	0	107.0
hsa-miR-665	81	26	0	107.0
hsa-miR-671-5p	47	58	0	105.0
hsa-let-7g-3p	75	29	0	104.0
hsa-miR-125b-2-3p	31	73	0	104.0
hsa-miR-141-3p	100	2	0	102.0
hsa-miR-6837-3p	79	22	0	101.0
hsa-miR-9-5p	98	2	0	100.02000000000001
hsa-miR-668-3p	67	32	0	99.0
hsa-miR-101-5p	86	13	0	99.0
hsa-miR-320d	26	72	0	98.19
hsa-miR-20a-3p	78	19	0	97.0
hsa-miR-379-3p	93	0	0	93.0
hsa-miR-3928-3p	39	53	0	92.0
hsa-miR-542-3p	87	2	0	89.0
hsa-miR-30b-3p	80	8	0	88.0
hsa-miR-496	82	6	0	88.0
hsa-miR-625-3p	54	33	0	87.0
hsa-miR-532-3p	72	8	7	87.0
hsa-miR-195-5p	86	0	0	86.0
hsa-miR-556-5p	77	7	0	84.0
hsa-miR-450a-5p	79	4	0	83.0
hsa-miR-432-3p	52	31	0	83.0
hsa-miR-491-5p	64	17	0	81.0
hsa-miR-3158-3p	39	32	10	81.0
hsa-miR-6516-5p	70	11	0	81.0
hsa-miR-550a-5p	61	18	0	79.68
hsa-miR-3913-5p	65	14	0	79.0
hsa-miR-106a-5p	64	10	4	78.0
hsa-miR-378a-5p	60	13	0	73.0
hsa-miR-5189-3p	65	7	0	72.0
hsa-miR-32-5p	72	0	0	72.0
hsa-miR-548ax	58	14	0	72.0
hsa-miR-424-3p	37	11	24	72.0
hsa-miR-939-5p	27	40	4	71.0
hsa-miR-576-5p	68	3	0	71.0
hsa-miR-1306-3p	32	38	0	70.0
hsa-miR-200b-3p	66	2	0	68.0
hsa-miR-628-5p	67	0	0	67.0
hsa-miR-29a-5p	56	11	0	67.0
hsa-miR-3177-3p	38	28	0	66.0
hsa-miR-10401-3p	20	26	19	65.03999999999999
hsa-miR-139-3p	51	14	0	65.0
hsa-miR-656-3p	62	0	0	62.0
hsa-miR-3074-5p	53	8	0	61.0
hsa-miR-7-1-3p	55	6	0	61.0
hsa-miR-627-5p	43	18	0	61.0
hsa-miR-26a-1-3p	44	16	0	60.0
hsa-miR-200c-3p	60	0	0	60.0
hsa-miR-4662a-5p	59	0	0	59.0
hsa-miR-758-5p	45	14	0	59.0
hsv2-miR-H10	14	30	14	58.0
hsa-miR-412-5p	35	23	0	58.0
hsa-miR-1271-5p	53	3	0	56.0
hsa-miR-873-5p	5	51	0	56.0
hsa-miR-152-5p	47	8	0	55.0
hsa-miR-143-5p	52	3	0	55.0
hsa-miR-450b-5p	51	3	0	54.0
hsa-miR-580-3p	36	18	0	54.0
hsa-miR-1538	37	17	0	54.0
hsa-miR-138-5p	43	11	0	54.0
hsa-miR-6515-5p	23	30	0	53.0
hsa-miR-659-5p	41	10	2	53.0
hsa-miR-940	40	10	0	50.0
hsa-miR-33a-3p	47	2	0	49.0
hsa-miR-1306-5p	33	16	0	49.0
hsa-miR-2467-5p	42	6	0	48.0
hsa-miR-3176	35	13	0	48.0
hsa-miR-7704	4	15	27	46.0
hsa-miR-4326	41	4	0	45.0
hsa-miR-3613-3p	30	13	2	45.0
hsa-miR-150-3p	7	10	27	44.0
hsa-miR-6741-3p	36	8	0	44.0
hsa-miR-664a-3p	42	2	0	44.0
hsa-miR-193a-5p	32	3	9	44.0
hsa-miR-34a-5p	31	13	0	44.0
hsa-miR-551b-3p	43	0	0	43.0
hsa-miR-627-3p	43	0	0	43.0
hsa-miR-29b-2-5p	28	14	0	42.0
hsa-miR-380-3p	42	0	0	42.0
hsa-miR-378b	4	38	0	42.0
hsa-miR-1249-3p	22	18	2	42.0
hsa-miR-3661	25	15	0	40.0
hsa-miR-6772-3p	27	13	0	40.0
hsa-miR-1270	28	11	0	39.0
hsa-miR-3065-3p	37	2	0	39.0
hsa-miR-2277-3p	27	12	0	39.0
hsa-miR-1277-3p	39	0	0	39.0
hsa-miR-376a-2-5p	35	3	0	38.0
hsa-miR-3065-5p	30	7	0	37.0
hsa-miR-3940-3p	31	2	4	37.0
hsa-miR-3605-5p	18	14	5	37.0
hsa-miR-1180-3p	25	2	10	37.0
hsa-miR-4707-3p	32	5	0	37.0
hsa-miR-1185-2-3p	37	0	0	36.5
hsa-miR-4786-5p	31	5	0	36.0
hsa-miR-7848-3p	27	9	0	36.0
hsa-miR-186-3p	28	8	0	36.0
hsa-miR-548a-5p	32	3	0	35.0
hsa-miR-6847-5p	22	12	0	34.0
hsa-miR-6129	17	16	0	33.0
hsa-miR-5010-3p	29	4	0	33.0
hsa-miR-4508	7	21	5	33.0
hsa-miR-1255a	27	6	0	33.0
hsa-miR-6511a-3p	25	4	4	32.959999999999994
hsa-miR-5683	32	0	0	32.0
hsa-miR-6513-5p	23	8	0	31.0
hsa-miR-616-5p	28	3	0	31.0
hsa-miR-3912-3p	31	0	0	31.0
hsa-miR-26a-2-3p	17	14	0	31.0
hsa-miR-7705	29	2	0	31.0
hsa-miR-1908-3p	18	8	4	30.0
hsa-miR-548al	28	2	0	30.0
hsa-miR-545-5p	30	0	0	30.0
hsa-miR-3182	9	9	11	29.0
hsa-miR-4732-5p	5	7	17	29.0
hsa-miR-3679-5p	25	2	0	27.0
hsa-miR-11401	15	9	3	27.0
hsa-miR-3196	12	14	0	26.0
hsa-miR-548n	24	2	0	26.0
hsa-miR-1537-3p	22	4	0	26.0
hsa-miR-556-3p	26	0	0	26.0
hsa-miR-219a-1-3p	20	6	0	26.0
hsa-miR-4661-5p	8	17	0	25.0
hsa-miR-4511	23	2	0	25.0
hsa-miR-5100	10	7	8	25.0
hsa-miR-590-5p	25	0	0	25.0
hsa-miR-188-5p	21	4	0	25.0
hsa-miR-651-5p	24	0	0	24.0
hsa-miR-548a-3p	20	4	0	24.0
hsa-miR-3617-5p	15	9	0	24.0
hsa-miR-487a-5p	20	4	0	24.0
hsa-miR-1294	12	12	0	24.0
hsa-miR-4687-5p	16	8	0	24.0
hsa-miR-204-5p	22	2	0	24.0
hsa-miR-4665-5p	17	7	0	24.0
hsa-miR-92a-1-5p	17	7	0	24.0
hsa-miR-3605-3p	15	6	3	24.0
hsa-miR-4449	14	10	0	24.0
hsa-miR-320e	10	14	0	23.5
hsa-miR-3188	23	0	0	23.0
hsa-miR-3174	23	0	0	23.0
hsa-miR-548j-3p	23	0	0	23.0
hsa-miR-541-3p	18	5	0	23.0
hsa-miR-6770-3p	16	6	0	22.05
hsa-miR-5010-5p	6	4	12	22.0
hsa-miR-6502-5p	16	6	0	22.0
hsa-miR-32-3p	22	0	0	22.0
hsa-miR-6818-5p	19	3	0	22.0
hsa-miR-6813-5p	18	4	0	22.0
hsa-miR-135a-5p	22	0	0	22.0
hsa-miR-6859-5p	12	10	0	21.919999999999998
hsa-miR-296-5p	15	4	2	21.0
hsa-miR-1343-3p	14	7	0	21.0
hsa-let-7e-3p	21	0	0	21.0
hsa-miR-10a-3p	20	0	0	20.0
hsa-miR-548l	17	3	0	20.0
hsa-miR-18b-5p	20	0	0	20.0
hsa-miR-27a-5p	9	11	0	20.0
hsa-miR-4767	10	10	0	20.0
hsa-miR-7-5p	19	0	0	19.009999999999998
hsa-miR-501-5p	12	7	0	19.0
hsa-miR-30c-2-3p	12	7	0	19.0
hsa-miR-12135	19	0	0	19.0
hsa-miR-4526	4	15	0	19.0
hsa-miR-505-5p	17	2	0	19.0
hsa-miR-19b-1-5p	19	0	0	19.0
hsa-miR-7855-5p	13	6	0	19.0
hsa-miR-125a-3p	15	4	0	19.0
hsa-miR-16-1-3p	16	3	0	19.0
hsa-miR-664b-5p	14	4	0	18.0
hsa-miR-6852-3p	18	0	0	18.0
hsa-miR-1304-5p	16	2	0	18.0
hsa-miR-6511b-3p	10	6	2	18.0
hsa-miR-3120-5p	9	9	0	18.0
hsa-miR-6513-3p	17	0	0	17.0
hsa-miR-561-5p	9	8	0	17.0
hsa-miR-193a-3p	17	0	0	17.0
hsa-miR-153-3p	17	0	0	17.0
hsa-miR-96-5p	17	0	0	17.0
hsa-miR-9985	10	6	1	16.67
hsa-miR-205-5p	11	5	0	16.0
hsa-miR-219b-3p	7	9	0	16.0
hsa-miR-4750-5p	14	2	0	16.0
hsa-miR-769-3p	9	6	0	15.0
hsa-miR-124-3p	15	0	0	15.0
hsa-miR-766-5p	7	8	0	15.0
hsa-miR-3190-3p	11	4	0	15.0
hsa-miR-2276-3p	4	9	2	15.0
hsa-miR-370-5p	15	0	0	15.0
hsa-miR-3157-3p	11	3	0	14.0
hsa-miR-5190	3	11	0	14.0
hsa-miR-378g	3	11	0	14.0
hsa-miR-7845-5p	8	6	0	14.0
hsa-miR-655-3p	14	0	0	14.0
hsa-miR-5706	9	5	0	14.0
hsa-miR-5000-3p	9	5	0	14.0
hsa-miR-9903	14	0	0	14.0
