name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-330-5p	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	2	15	14	0	0	0	0	0	0	50.0
hsa-miR-3940-3p	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	19	9	0	0	0	0	0	0	49.0
hsa-miR-3909	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	5	14	7	0	0	0	0	0	0	48.0
hsa-miR-411-5p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	21	16	2	0	0	0	0	0	0	47.0
hsa-miR-146b-3p	2	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	27	4	0	0	2	0	0	0	0	46.0
hsa-miR-4742-3p	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	3	14	9	0	0	0	0	0	0	44.0
hsa-miR-11400	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	15	14	0	0	0	0	0	0	44.0
hsa-miR-101-5p	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	17	8	6	0	0	0	0	0	0	44.0
hsa-miR-187-3p	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	31	0	0	0	0	0	0	0	0	0	0	0	0	43.0
hsa-miR-378b	2	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	0	24	4	0	0	2	2	0	0	0	43.0
hsa-miR-4492	0	3	6	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	29	0	0	0	0	0	0	0	0	43.0
hsa-miR-548u	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	13	7	12	0	0	0	0	0	0	42.0
hsa-miR-338-5p	5	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	18	4	4	0	0	0	0	0	0	41.0
hsa-miR-4433b-5p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	19	15	0	0	0	0	0	0	41.0
hsa-miR-654-3p	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0	0	41.0
hsa-miR-6130	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	17	6	9	0	0	0	0	0	0	40.0
hsa-miR-3074-5p	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	14	8	6	0	0	0	0	0	0	40.0
hsa-miR-892a	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	2	0	18	6	0	0	0	0	0	0	0	0	0	3	0	0	40.0
hsa-miR-708-3p	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	0	0	4	2	2	2	0	0	40.0
hsa-miR-362-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	20	5	3	0	2	0	0	0	0	40.0
hsa-miR-543	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	0	0	0	39.0
hsa-miR-3605-3p	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	12	13	0	0	0	0	0	0	39.0
hsa-miR-25-5p	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	7	12	3	0	0	0	0	0	0	39.0
hsa-miR-6131	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	22	8	6	0	0	0	0	0	0	38.0
hsa-miR-320e	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	2	0	4	15	1	1	0	0	0	0	1	0	37.629999999999995
hsa-miR-4677-3p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13	8	7	0	0	0	0	0	0	37.0
hsa-miR-365b-3p	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	3	0	0	1	14	3	0	0	4	0	3	0	0	35.5
hsa-miR-365a-3p	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	3	0	0	1	14	3	0	0	4	0	3	0	0	35.5
hsa-miR-147b-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	35.0
hsa-miR-580-3p	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	11	7	7	0	0	0	0	0	0	35.0
hsa-miR-493-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	11	9	0	0	0	0	0	0	0	35.0
hsa-miR-365a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	19	0	0	0	0	0	0	0	0	35.0
hsa-miR-509-3p	16	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	35.0
hsa-miR-618	3	0	0	0	0	2	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	34.0
hsa-miR-494-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0	34.0
hsa-miR-141-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0	34.0
hsa-miR-7-1-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	15	6	5	0	0	0	0	0	0	34.0
hsa-miR-301a-5p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	7	11	0	0	0	0	0	0	34.0
hsa-miR-6513-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	33.0
hsa-miR-11401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	20	0	0	0	0	0	0	33.0
hsa-miR-3065-5p	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	17	0	0	32.0
hsa-miR-32-3p	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	7	2	0	0	0	0	0	0	32.0
hsa-miR-27b-5p	8	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	3	2	0	0	0	32.0
hsa-miR-374b-3p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	6	10	0	0	0	0	0	0	32.0
hsa-miR-708-5p	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	19	0	0	0	0	31.0
hsa-miR-500a-5p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	16	6	5	0	0	0	0	0	0	31.0
hsa-miR-136-3p	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	20	3	0	0	0	0	0	0	0	31.0
hsa-miR-892c-3p	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	13	8	0	0	0	0	0	0	0	0	0	0	0	0	31.0
hsa-miR-6842-3p	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	31.0
hsa-miR-3200-5p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	7	12	0	0	0	0	0	0	30.0
hsa-miR-382-5p	4	5	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	3	0	0	0	0	2	0	0	30.0
hsa-miR-10399-5p	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0	30.0
hsa-miR-671-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	30.0
hsa-miR-493-5p	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	3	0	0	0	0	5	0	0	29.0
hsa-miR-505-5p	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	9	8	0	0	0	0	0	0	29.0
hsa-miR-500b-5p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	13	6	5	0	0	0	0	0	0	28.0
hsa-let-7g-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	10	3	2	0	0	0	0	0	0	28.0
hsa-miR-508-3p	7	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0	0	27.0
hsa-miR-7847-3p	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0
hsa-miR-628-5p	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	4	5	0	0	0	0	0	0	26.0
hsa-miR-4746-5p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	26.0
hsa-miR-1277-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	15	2	4	0	0	0	0	0	0	26.0
hsa-miR-432-5p	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	8	3	0	0	0	0	0	0	0	26.0
hsa-miR-9903	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	10	3	0	0	0	0	0	0	26.0
hsa-miR-181c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	15	6	0	0	2	0	0	0	0	25.0
hsa-miR-5695	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	9	5	0	0	0	0	0	0	25.0
hsa-miR-660-3p	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	4	3	4	0	0	0	2	0	0	25.0
hsa-miR-548ac	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	7	5	0	0	0	0	0	0	24.0
hsa-miR-410-3p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0	0	24.0
hsa-miR-889-3p	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	23.0
hsa-miR-1270	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	23.0
hsa-miR-579-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	11	4	0	0	0	0	0	0	23.0
hsa-miR-301a-3p	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	23.0
hsa-miR-296-5p	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	4	6	0	0	0	0	0	0	22.0
hsa-miR-202-5p	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	21.0
hsa-miR-6501-5p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0	0	0	21.0
hsa-miR-4637	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	21.0
hsa-miR-369-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	4	2	0	0	0	0	0	0	21.0
hsa-miR-1284	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	20.0
hsa-miR-451b	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	20.0
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	0	0	0	0	0	19.0
hsa-miR-3609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	19.0
hsa-miR-548j-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	19.0
hsa-miR-5001-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	2	6	0	0	0	0	0	0	19.0
hsa-miR-132-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	6	2	5	0	0	0	0	0	0	19.0
hsa-miR-516b-5p	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	19.0
hsa-miR-659-5p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	19.0
hsa-miR-497-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	19.0
hsa-miR-183-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	19.0
hsa-miR-658	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	7	0	0	0	0	0	0	0	0	19.0
hsa-miR-491-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	0	18.0
hsa-miR-4659a-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	18.0
hsa-miR-18b-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	2	6	0	0	0	0	0	0	18.0
hsa-miR-874-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	11	3	0	0	0	0	0	0	0	18.0
hsa-miR-10401-3p	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	5	0	0	0	0	0	0	18.0
hsa-miR-6511a-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	6	3	0	0	0	0	0	0	17.119999999999997
hsa-miR-766-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	4	3	0	0	0	0	0	0	0	17.0
hsa-miR-504-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	17.0
hsa-miR-99a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	3	0	0	0	0	16.0
hsa-miR-891b	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	16.0
hsa-miR-581	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	16.0
hsa-miR-548ay-3p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	16.0
hsa-miR-6840-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	16.0
hsa-miR-16-1-3p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	16.0
hsa-miR-483-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15.0
hsa-miR-92b-5p	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	0	15.0
hsa-miR-363-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	6	0	0	15.0
hsa-miR-5701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15.0
hsa-miR-31-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	15.0
hsa-miR-671-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	2	0	0	15.0
hsa-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	15.0
hsa-miR-3177-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	15.0
hsa-miR-1827	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	5	2	0	0	0	0	0	0	14.67
hsa-miR-873-5p	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	14.0
hsa-miR-1251-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14.0
hsa-miR-1296-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	4	0	0	14.0
hsa-miR-4690-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	4	5	0	0	0	0	0	0	14.0
hsa-miR-6806-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	14.0
hsa-miR-1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14.0
hsa-miR-548n	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	13.5
hsa-miR-548ab	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	13.5
hsa-miR-4510	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	0	2	0	0	13.3
hsa-miR-30b-3p	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	3	0	0	0	0	0	0	13.0
hsa-miR-1468-5p	2	4	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0
hsa-miR-376c-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	3	2	0	0	0	0	0	0	13.0
hsa-miR-6852-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0	0	0	0	13.0
hsa-miR-4521	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	13.0
hsa-miR-1273c	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	13.0
hsa-miR-877-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	0	0	0	0	0	13.0
hsa-miR-548ar-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	0	0	0	0	0	0	13.0
hsa-miR-30c-1-3p	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	0	0	0	0	13.0
hsa-miR-4678	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	4	4	0	0	0	0	0	0	13.0
hsa-miR-210-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	13.0
hsa-miR-125a-3p	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	13.0
hsa-miR-4429	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	12.379999999999999
hsa-miR-4659b-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	12.0
hsa-miR-3128	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	12.0
hsa-miR-3124-5p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	12.0
hsa-miR-4999-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	12.0
hsa-miR-1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	12.0
hsa-miR-188-5p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	12.0
hsa-miR-3135a	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	4	0	0	0	0	0	0	12.0
hsa-miR-6859-5p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	11.04
hsa-miR-934	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	11.0
hsa-miR-4511	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	11.0
hsa-miR-652-5p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	11.0
hsa-miR-1185-1-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	11.0
hsa-miR-3613-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	11.0
hsa-miR-3136-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	11.0
hsa-miR-20b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	11.0
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	10.02
hsa-miR-610	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	10.0
hsa-miR-1224-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	10.0
hsa-miR-5189-3p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	10.0
hsa-miR-203b-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	10.0
hsa-miR-129-5p	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10.0
hsa-miR-4433b-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	10.0
hsa-miR-24-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	0	0	0	0	0	0	10.0
hsa-miR-6510-3p	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	10.0
hsa-miR-382-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	10.0
hsa-miR-212-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	10.0
hsa-miR-369-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	10.0
hsa-miR-641	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	10.0
hsa-miR-1297	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	4	1	1	0	0	0	0	0	0	9.5
hsa-miR-3176	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9.0
hsa-miR-3163	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	9.0
hsa-miR-561-5p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	9.0
hsa-miR-1275	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	9.0
hsa-miR-3605-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	9.0
hsa-miR-4776-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9.0
hsa-miR-4473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	9.0
hsa-miR-214-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8.0
