name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-let-7c-5p	1181	8	2	849	440	32	12	34	146	4	11	470	0	6	1	305	218	0	148	1668	102	1	217	1437	609	580	22	159	21	1333	59	0	10073.119999999999
hsa-miR-205-5p	423	30	0	7	2	10	139	513	1690	73	129	15	0	132	0	275	0	0	47	116	162	76	684	3867	0	0	128	1286	134	7	42	0	9987.0
hsa-miR-19b-3p	8	2	0	2	24	96	4	157	31	10	2	1629	0	9	2	0	49	2	52	367	0	0	0	3923	1125	1563	8	72	0	75	0	2	9214.0
hsa-miR-16-2-3p	12	7	2	25	0	50	0	9	4	4	2	128	0	2	0	0	0	0	0	6	2	0	0	8347	176	129	0	3	0	2	2	0	8912.0
hsa-miR-128-3p	201	28	0	179	0	4	0	32	12	0	0	2789	0	3	4	10	0	2	2	12	4	4	11	311	2407	2764	0	3	0	16	0	2	8800.0
hsa-miR-107	11	4	0	1	1	22	0	4	25	1	1	2010	1	1	2	7	3	6	6	142	1	4	6	1307	2186	2366	1	6	1	11	1	3	8144.629999999999
hsa-miR-20b-5p	0	2	0	2	26	18	0	0	11	0	0	2035	2	0	0	0	20	3	43	207	0	4	0	1641	1421	1995	0	0	0	55	0	2	7486.66
hsa-miR-24-3p	383	8	3	122	25	120	20	432	298	31	10	764	0	79	0	149	25	0	42	616	59	16	175	1477	1001	1145	4	316	18	107	20	0	7465.0
hsa-miR-30c-5p	155	14	0	219	35	97	6	144	14	15	0	996	0	21	0	18	23	0	83	161	16	0	16	3284	732	980	0	25	2	153	6	0	7213.98
hsa-miR-340-5p	64	0	0	19	21	115	3	220	64	6	18	1355	0	31	0	7	22	2	20	107	0	2	0	2433	1295	1277	0	47	0	73	2	2	7205.0
