name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-26b-5p	1797.9172798943523	164.32953549517964	0.0	3724.8422949834785	6950.294860994102	6414.280645249338	1998.769987699877	9034.12212342564	5383.38840150393	5705.39419087137	10107.391029690461	2790.7684328264677	4329.004329004329	12646.95404346277	5560.704355885079	2775.306884895926	7922.633438720476	3042.5963488843818	14913.358471380758	7580.042393263595	710.8443250928046	3413.8655462184875	819.672131147541	9843.601564550947	2837.6844494892166	3300.9320513014545	1109.8779134295228	3191.575865994471	264.4453259288642	6505.42263504405	1601.708489054992	1711.3519680547633
hsa-miR-889-3p	0.0	0.0	0.0	0.0	0.0	40.94221688457024	0.0	0.0	0.0	0.0	0.0	1.5764826622378012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.721604741246617	2.489196885516857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5189-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.389670886559933	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-15a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328823	1.659464590344571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-34c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8886418964986467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.93414606357526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	337.7521258238413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-181c-5p	0.0	109.5530236634531	0.0	0.0	0.0	0.0	0.0	0.0	56.96707303178763	0.0	0.0	7.882413311189007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.571886183073353	0.0	0.0	0.0	2.203415545915088	8.297322951722856	13.541468357172954	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1224-5p	0.0	0.0	0.0	0.0	84.24599831508003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.28754473229341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-191-3p	0.0	0.0	0.0	30.039050765995796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-214-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.518189195331529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-93-5p	357.9923787400259	547.7651183172655	822.7067050596462	120.15620306398318	1053.0749789385004	3248.082539509239	922.5092250922509	1668.4639957677985	1737.4957274695225	1037.344398340249	842.2825858075385	6169.564898667635	0.0	2671.8916993231205	5560.704355885079	426.9702899839886	632.3228566114934	7606.490872210954	1016.8198957759607	1083.6183337650189	631.8616223047153	4989.495798319327	717.2131147540983	2912.285804400913	5338.497587138485	6029.936203752898	2774.694783573807	1605.9521873475362	264.4453259288642	391.3690087927571	667.3785371062467	6845.407872219053
hsa-miR-98-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.203415545915088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-33b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5931139243732888	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6505-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-296-5p	15.910772388445595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.305930648951205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328823	3.318929180689142	4.779341773119866	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-148a-3p	31455.597011956943	10297.98422436459	8844.097079391197	43872.03364373686	243828.9806234204	29109.91620492944	17681.426814268143	187875.150060024	87316.28118947249	107019.36376210235	57064.64518846073	8710.854950194971	11904.761904761905	70537.94086213039	23169.601482854498	10033.801814623732	381662.6371582667	6085.1926977687635	169300.51264669746	254230.07595900225	6239.6335202590635	49632.35294117647	17793.715846994535	13622.773999444738	6930.753861574101	7995.440507948443	3884.5726970033297	40585.86762075134	30278.989818854952	384654.8560196902	8275.493860117458	26240.730176839705
hsa-miR-3667-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5764826622378012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-127-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8886418964986467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1271-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2590945976657646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
